CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;eas;0;1.76;9.39;0.42;50;NA;NA;648;NA;NA
2;FALSE;acs;2;4.26;4.39;0.92;98;0.33;NA;NA;11;1
3;FALSE;as;3;3.01;1.89;0.18;26;NA;NA;NA;45;0
4;FALSE;ras;1;0.51;6.89;0.67;74;NA;3;NA;22;1
5;FALSE;mmas;2;1.14;8.14;0.3;14;NA;NA;NA;16;1
6;FALSE;ras;0;3.64;3.14;0.8;62;NA;91;NA;NA;NA
7;FALSE;as;1;4.89;0.64;0.05;38;NA;NA;NA;5;1
8;FALSE;eas;3;2.39;5.64;0.55;86;NA;NA;555;28;0
9;FALSE;acs;1;1.45;1.27;0.36;80;0.52;NA;NA;31;1
10;FALSE;eas;3;3.95;6.27;0.86;32;NA;NA;414;8;0
11;FALSE;mmas;0;0.2;3.77;0.61;8;NA;NA;NA;NA;NA
12;FALSE;ras;2;2.7;8.77;0.12;56;NA;35;NA;42;1
13;FALSE;acs;3;0.82;0.02;0.49;68;0.15;NA;NA;25;0
14;FALSE;mmas;1;3.32;5.02;0.98;20;NA;NA;NA;48;1
15;FALSE;as;2;2.07;2.52;0.73;44;NA;NA;NA;37;1
16;FALSE;ras;0;4.57;7.52;0.24;92;NA;97;NA;NA;NA
17;FALSE;eas;1;2.86;4.08;0.46;11;NA;NA;437;9;0
18;FALSE;as;3;0.36;9.08;0.95;59;NA;NA;NA;32;1
19;FALSE;mmas;0;4.11;1.58;0.7;83;NA;NA;NA;NA;NA
20;FALSE;ras;2;1.61;6.58;0.21;35;NA;44;NA;21;0
21;FALSE;acs;0;0.98;5.33;0.08;23;0.05;NA;NA;NA;NA
22;FALSE;mmas;2;3.48;0.33;0.58;71;NA;NA;NA;15;0
23;FALSE;ras;3;4.73;2.83;0.33;47;NA;57;NA;50;1
24;FALSE;as;1;2.23;7.83;0.83;95;NA;NA;NA;27;0
25;FALSE;acs;1;3.79;9.7;0.52;41;0.49;NA;NA;47;0
26;FALSE;mmas;3;1.29;4.7;0.02;89;NA;NA;NA;24;1
27;FALSE;as;0;2.54;7.2;0.27;65;NA;NA;NA;NA;NA
28;FALSE;eas;2;0.04;2.2;0.76;17;NA;NA;578;35;0
29;FALSE;ras;0;1.92;0.95;0.89;29;NA;88;NA;NA;NA
30;FALSE;as;2;4.42;5.95;0.39;77;NA;NA;NA;41;0
31;TRUE;acs;3;3.17;8.45;0.64;5;0.87;NA;NA;6;1
32;FALSE;eas;1;0.67;3.45;0.15;53;NA;NA;484;29;0
33;FALSE;acs;2;0.43;3.3;0.53;93;0.07;NA;NA;6;1
34;FALSE;eas;0;2.93;8.3;0.04;45;NA;NA;262;NA;NA
35;FALSE;ras;1;4.18;5.8;0.78;69;NA;46;NA;17;1
36;FALSE;mmas;3;1.68;0.8;0.29;21;NA;NA;NA;40;0
37;FALSE;as;1;1.06;2.05;0.41;33;NA;NA;NA;11;1
38;FALSE;ras;3;3.56;7.05;0.9;81;NA;83;NA;34;0
39;FALSE;acs;0;2.31;4.55;0.66;57;0.69;NA;NA;NA;NA
40;FALSE;mmas;2;4.81;9.55;0.16;9;NA;NA;NA;23;1
41;FALSE;as;2;3.25;3.92;0.84;51;NA;NA;NA;32;1
42;FALSE;eas;0;0.75;8.92;0.35;99;NA;NA;309;NA;NA
43;FALSE;acs;3;4.5;1.42;0.1;75;0.38;NA;NA;20;0
44;FALSE;mmas;1;2;6.42;0.59;27;NA;NA;NA;43;1
45;FALSE;as;0;3.87;2.67;0.97;15;NA;NA;NA;NA;NA
46;FALSE;ras;2;1.37;7.67;0.47;63;NA;14;NA;49;1
47;FALSE;acs;1;2.62;0.17;0.22;87;0.76;NA;NA;37;1
48;FALSE;eas;3;0.12;5.17;0.72;39;NA;NA;27;14;0
49;FALSE;ras;3;1.22;4.24;0.25;42;NA;99;NA;45;1
50;FALSE;mmas;1;3.72;9.24;0.75;90;NA;NA;NA;22;0
51;FALSE;eas;2;2.47;1.74;1;66;NA;NA;332;10;0
52;FALSE;acs;0;4.97;6.74;0.5;18;0.29;NA;NA;NA;NA
53;FALSE;acs;2;3.09;5.49;0.38;30;0.91;NA;NA;27;0
54;FALSE;mmas;0;0.59;0.49;0.87;78;NA;NA;NA;NA;NA
55;FALSE;eas;1;1.84;2.99;0.13;6;NA;NA;51;16;0
56;FALSE;as;3;4.34;7.99;0.63;54;NA;NA;NA;39;1
57;FALSE;eas;2;4.03;1.11;0.69;24;NA;NA;191;30;0
58;FALSE;as;0;1.53;6.11;0.19;72;NA;NA;NA;NA;NA
59;TRUE;mmas;3;2.78;3.61;0.44;96;NA;NA;NA;19;1
60;FALSE;ras;1;0.28;8.61;0.93;48;NA;30;NA;42;0
61;FALSE;ras;0;3.4;2.36;0.56;36;NA;68;NA;NA;NA
62;FALSE;as;2;0.9;7.36;0.07;84;NA;NA;NA;47;0
63;FALSE;eas;1;4.65;4.86;0.32;60;NA;NA;98;36;0
64;TRUE;acs;3;2.15;9.86;0.81;12;0.6;NA;NA;13;1
65;FALSE;mmas;1;4.22;7.13;0.25;51;NA;NA;NA;18;1
66;FALSE;ras;3;1.72;2.13;0.74;99;NA;39;NA;41;0
67;FALSE;eas;2;0.47;4.63;0.49;27;NA;NA;150;7;1
68;FALSE;acs;0;2.97;9.63;0.99;75;0.19;NA;NA;NA;NA
69;FALSE;as;3;3.6;5.88;0.12;15;NA;NA;NA;36;0
70;FALSE;ras;1;1.1;0.88;0.62;63;NA;76;NA;13;1
71;FALSE;mmas;0;2.35;3.38;0.37;39;NA;NA;NA;NA;NA
72;FALSE;acs;2;4.85;8.38;0.87;87;0.56;NA;NA;24;1
73;FALSE;eas;1;2.66;1.5;0.8;9;NA;NA;291;38;1
74;FALSE;acs;3;0.16;6.5;0.31;57;1;NA;NA;15;0
75;FALSE;ras;0;3.91;4;0.06;81;NA;20;NA;NA;NA
76;FALSE;as;2;1.41;9;0.56;33;NA;NA;NA;50;1
77;FALSE;ras;1;2.04;5.25;0.43;93;NA;82;NA;44;1
78;FALSE;mmas;3;4.54;0.25;0.93;45;NA;NA;NA;21;0
79;FALSE;as;0;0.79;7.75;0.68;21;NA;NA;NA;NA;NA
80;FALSE;eas;2;3.29;2.75;0.18;69;NA;NA;10;33;1
81;FALSE;eas;0;4.69;5.56;0.52;96;NA;NA;80;NA;NA
82;FALSE;acs;2;2.19;0.56;0.03;48;0.47;NA;NA;8;0
83;FALSE;mmas;3;0.94;3.06;0.77;72;NA;NA;NA;43;1
84;FALSE;ras;1;3.44;8.06;0.28;24;NA;92;NA;20;0
85;FALSE;eas;3;4.07;9.31;0.4;36;NA;NA;361;37;1
86;FALSE;as;1;1.57;4.31;0.9;84;NA;NA;NA;14;0
87;FALSE;mmas;2;2.82;6.81;0.65;60;NA;NA;NA;25;0
88;FALSE;acs;0;0.32;1.81;0.15;12;0.84;NA;NA;NA;NA
89;FALSE;as;0;3.13;1.19;0.46;54;NA;NA;NA;NA;NA
90;FALSE;ras;2;0.63;6.19;0.96;6;NA;73;NA;46;0
91;FALSE;acs;2;3.18;6.52;0.92;32;0.58;NA;NA;25;0
92;FALSE;acs;3;0.68;8.32;0.73;23;0.33;NA;NA;27;1
93;FALSE;mmas;2;1.41;9.63;0.41;65;NA;NA;NA;16;1
94;FALSE;eas;1;3.41;4.83;0.74;27;NA;NA;321;7;0
95;FALSE;acs;3;2.92;7.06;0.73;35;0.99;NA;NA;5;0
96;FALSE;ras;2;4.71;6.07;0.45;89;NA;30;NA;32;0
97;FALSE;as;3;2.05;3.25;0.07;97;NA;NA;NA;21;1
98;FALSE;mmas;0;2.09;6.21;0.66;66;NA;NA;NA;NA;NA
99;FALSE;acs;3;0.17;9.59;0.74;53;0.28;NA;NA;16;0
100;FALSE;as;0;2.74;7.5;0.99;63;NA;NA;NA;NA;NA
101;FALSE;eas;2;4.75;7.31;0.91;17;NA;NA;624;31;0
102;FALSE;acs;0;3.6;8.37;0.22;58;0.48;NA;NA;NA;NA
103;FALSE;ras;2;4.66;3.33;0.6;54;NA;30;NA;19;1
104;TRUE;acs;3;2.72;9.46;0.96;13;0.28;NA;NA;9;1
105;FALSE;as;1;4.75;7.84;0.82;38;NA;NA;NA;9;0
106;FALSE;eas;3;3.39;5.45;0.34;25;NA;NA;446;13;1
107;FALSE;mmas;3;4.06;3.21;0.63;21;NA;NA;NA;12;1
108;FALSE;ras;2;1.38;4.08;0.75;16;NA;86;NA;5;0
109;FALSE;eas;3;3.19;5.39;0.97;37;NA;NA;425;31;0
110;FALSE;as;1;3.66;8.9;0.6;54;NA;NA;NA;40;1
111;FALSE;mmas;0;2.92;8.17;0.58;27;NA;NA;NA;NA;NA
112;FALSE;mmas;3;4.53;2.62;0.87;32;NA;NA;NA;46;1
113;FALSE;eas;2;2.91;7.77;0.71;17;NA;NA;574;31;0
114;FALSE;acs;1;3.12;9.35;0.78;10;0.95;NA;NA;24;1
115;FALSE;mmas;1;0.81;8.46;0.75;41;NA;NA;NA;24;1
116;FALSE;ras;3;1.56;3.75;0.07;26;NA;41;NA;12;1
117;FALSE;mmas;1;1.24;9.45;0.4;22;NA;NA;NA;9;0
118;FALSE;eas;3;3.65;7.2;0.67;20;NA;NA;21;10;1
119;FALSE;acs;2;1.78;6.18;0.52;33;0.47;NA;NA;22;1
120;FALSE;ras;3;3.39;7.72;0.7;34;NA;90;NA;12;0
121;FALSE;ras;0;3.25;9.4;0.33;6;NA;87;NA;NA;NA
122;FALSE;ras;0;2.21;9.83;0.55;46;NA;97;NA;NA;NA
123;FALSE;acs;3;2.93;5.43;0.57;17;0.98;NA;NA;21;0
