EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;119;1021108190;2000-314.tsp;32336475
2;28;1099838394;2000-124.tsp;32469935
3;95;590061240;2000-239.tsp;32664561
4;68;2008903455;2000-214.tsp;32612028
5;325;1852559258;2000-806.tsp;32925948
6;226;1830975095;2000-530.tsp;32829281
7;321;1754831421;2000-802.tsp;32920371
8;308;1425180555;2000-730.tsp;32337027
9;108;1470586104;2000-304.tsp;32538468
10;229;1899740125;2000-533.tsp;32591564
11;329;1720458637;2000-810.tsp;32326824
12;277;441647870;2000-640.tsp;32227501
13;112;763342177;2000-308.tsp;32467541
14;51;914916219;2000-19.tsp;32416801
15;359;1953947054;2000-840.tsp;32636306
16;349;959751069;2000-830.tsp;32343075
17;169;199672142;2000-414.tsp;32702125
18;356;2724552;2000-837.tsp;32208886
19;111;141944393;2000-307.tsp;32458460
