CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;33994345;34246532.6;5;309;409;0.88125;0.893077396142781;4.92611480768906;5.04534092804252;309;409;0.88125;0.893077396142781
2;41183751;41771471;5;326;445.4;0.967880085653105;0.970888189384271;26.7661237878405;28.1277934855548;326;445.4;0.967880085653105;0.970888189384271
3;32855773;33084568;5;263;308;0.60813704496788;0.676889788203972;1.32517357980544;1.48048841997319;263;308;0.60813704496788;0.676889788203972
4;33051882;33248985.8;5;283;346.2;0.708333333333333;0.759436773972228;1.58273059295057;1.98589403287099;283;346.2;0.708333333333333;0.759436773972228
5;32871572;33084054.2;5;267;309.2;0.585416666666667;0.681081437859253;1.08155440999192;1.48050237192698;267;309.2;0.585416666666667;0.681081437859253
6;32860123;33062435;5;270;301;0.594377510040161;0.664416020039861;1.12444492978185;1.41317229084233;270;301;0.594377510040161;0.664416020039861
7;32728319;32993186.6;5;248;279;0.495983935742972;0.619163043387848;0.795763835067733;1.20118923554545;248;279;0.495983935742972;0.619163043387848
8;39740624;40100234.8;5;324;438;0.94578313253012;0.955294534592107;22.3920651519629;22.999219162788;324;438;0.94578313253012;0.955294534592107
9;37878308;38227093.8;5;318;421;0.910064239828694;0.919383112751546;16.4612997627282;17.2582791235942;318;421;0.910064239828694;0.919383112751546
10;33286815;33488833.6;5;290;375;0.795833333333333;0.819831706331334;2.49855799378415;2.72165690945169;290;375;0.795833333333333;0.819831706331334
11;32637336;32908298.6666667;6;219;256.666666666667;0.458823529411765;0.574474117613448;0.620073262583055;0.823202530657298;219;256.666666666667;0.458823529411765;0.574474117613448
12;33529651;33835200.8;5;299;394.4;0.839357429718876;0.861529467247825;3.2636837739281;3.78354701408955;299;394.4;0.839357429718876;0.861529467247825
13;32865008;33100232;5;265;316.2;0.610278372591006;0.69469685388873;1.34552541964775;1.52946879673341;265;316.2;0.610278372591006;0.69469685388873
14;63226434;64715911.2;5;335;458.8;1;1;95.5266738257649;98.4983063290207;335;458.8;1;1
15;32947469;33186350.8;5;279;331.2;0.656626506024096;0.728184891320469;1.47069589144542;1.79329197433158;279;331.2;0.656626506024096;0.728184891320469
16;33248055;33472425;5;288;373.2;0.777301927194861;0.815534839648908;2.54490792023808;2.67095127054889;288;373.2;0.777301927194861;0.815534839648908
17;34422616;34620498.4;5;311;412.8;0.88865096359743;0.90122540109791;5.8954688259849;6.19316308679245;311;412.8;0.88865096359743;0.90122540109791
18;32888481;33113831.6;5;271;318.6;0.644539614561028;0.700511630804713;1.37538967690397;1.57124840898701;271;318.6;0.644539614561028;0.700511630804713
19;38143673;38482421.4;5;320;424;0.913654618473896;0.925894571521936;17.4738200122667;18.0393137072557;320;424;0.913654618473896;0.925894571521936
20;32770573;33056902.4;5;254;299.6;0.571734475374732;0.658017005244402;1.09459606697301;1.39709368034716;254;299.6;0.571734475374732;0.658017005244402
21;33133045;33414434.8;5;294;365.2;0.759036144578313;0.800611497189796;2.04222767923619;2.49314078942366;294;365.2;0.759036144578313;0.800611497189796
22;37336936;37762160;5;314;418;0.901498929336188;0.91247127386219;15.1761917378962;15.829087817894;314;418;0.901498929336188;0.91247127386219
23;34497387;34928128.6;5;312;415;0.895074946466809;0.905931466402927;6.42915053571866;7.1346967042797;312;415;0.895074946466809;0.905931466402927
24;33036387;33223393.8;5;281;344.4;0.721627408993576;0.755492101429758;1.72732766866207;1.90729313848532;281;344.4;0.721627408993576;0.755492101429758
25;33301823;33528430;5;292;380;0.796573875802998;0.83033452163505;2.60253369771144;2.84213463379315;292;380;0.796573875802998;0.83033452163505
26;43698881;44089640.2;5;329;451.2;0.981927710843373;0.983312682031788;34.286644179258;35.2355161084133;329;451.2;0.981927710843373;0.983312682031788
27;32569486;32845136.8333333;6;196;227;0.382352941176471;0.508650842718253;0.425096120746598;0.630173803549883;196;227;0.382352941176471;0.508650842718253
28;33203599;33422132.8;5;291;366.2;0.776470588235294;0.802434488874368;2.21521943726571;2.51745162526368;291;366.2;0.776470588235294;0.802434488874368
29;32536627;32876150;6;218;246.833333333333;0.439759036144578;0.549616058995724;0.582760013214321;0.72425216525435;218;246.833333333333;0.439759036144578;0.549616058995724
30;32813739;33031364.6;5;260;293.8;0.564583333333333;0.648053097450516;0.965318346081553;1.31853252169118;260;293.8;0.564583333333333;0.648053097450516
31;38270152;38933994.2;5;319;430.6;0.92570281124498;0.939341004103667;17.8633465080851;19.4212306333177;319;430.6;0.92570281124498;0.939341004103667
32;32673937;32886967.2;5;217;247.4;0.45;0.55043794505938;0.525441012355868;0.875023009845077;217;247.4;0.45;0.55043794505938
