EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;346;99725373;2000-827.tsp;NA
2;106;1586494366;2000-302.tsp;NA
3;96;1392529394;2000-24.tsp;NA
4;214;654834744;2000-518.tsp;NA
5;182;1306234294;2000-427.tsp;NA
6;70;1596229461;2000-216.tsp;NA
7;359;1682936911;2000-840.tsp;NA
8;129;1335410843;2000-323.tsp;NA
9;5;1026176251;2000-103.tsp;NA
10;374;2097764319;2000-914.tsp;NA
11;239;451383834;2000-602.tsp;NA
12;271;997587345;2000-634.tsp;NA
13;299;1878358663;2000-721.tsp;NA
14;149;1874239610;2000-35.tsp;NA
15;21;46805914;2000-118.tsp;NA
16;153;259650640;2000-39.tsp;NA
17;52;1116907016;2000-2.tsp;NA
18;343;238579086;2000-824.tsp;NA
19;9;1166495749;2000-107.tsp;NA
20;303;1306135857;2000-725.tsp;NA
21;393;520369819;2000-933.tsp;NA
