CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;33994345;34254549;5;250;427.4;0.813725490196078;0.854881162574556;4.92611480768906;5.06992204271592;250;427.4;0.813725490196078;0.854881162574556
2;41183751;41778214.2;5;291;477;0.947712418300654;0.958889086080206;26.8365674276835;28.148273381836;291;477;0.947712418300654;0.958889086080206
3;32855773;33084568;5;156;308.2;0.506535947712418;0.61165227170052;1.32517357980544;1.48048841997319;156;308.2;0.506535947712418;0.61165227170052
4;33051882;33268310.2;5;193;352.2;0.627450980392157;0.698434077402705;1.58273059295057;2.04513844977684;193;352.2;0.627450980392157;0.698434077402705
5;32871572;33084054.2;5;177;310;0.533018867924528;0.613293956910268;1.08155440999192;1.48050237192698;177;310;0.533018867924528;0.613293956910268
6;32869965;33070775;5;164;299.2;0.532679738562091;0.601841604841354;1.02719274261791;1.4382466001179;164;299.2;0.532679738562091;0.601841604841354
7;32728319;32993186.6;5;172;277.2;0.47877358490566;0.558676036923743;0.795763835067733;1.20118923554545;172;277.2;0.47877358490566;0.558676036923743
8;39796739;40161347;5;287;470.8;0.934640522875817;0.946420778839531;22.5634572618422;23.1862603636736;287;470.8;0.934640522875817;0.946420778839531
9;37878308;38144762.2;5;270;447.2;0.879084967320261;0.898616556009733;16.4612997627282;17.0036700482389;270;447.2;0.879084967320261;0.898616556009733
10;33286815;33488833.6;5;213;383.2;0.69281045751634;0.761123084437948;2.49855799378415;2.72165690945169;213;383.2;0.69281045751634;0.761123084437948
11;32637336;32908298.6666667;6;136;234;0.391509433962264;0.498743678510617;0.620073262583055;0.823202530657298;136;234;0.391509433962264;0.498743678510617
12;33529651;33835200.8;5;239;410.8;0.777777777777778;0.8213587595836;3.2636837739281;3.78354701408955;239;410.8;0.777777777777778;0.8213587595836
13;32899322;33111068.8;5;157;323.4;0.509803921568627;0.632211470543118;1.34552541964775;1.56290682066647;157;323.4;0.509803921568627;0.632211470543118
14;63226434;64715911.2;5;306;495.4;0.996732026143791;0.997797174834345;95.5266738257649;98.4983063290207;306;495.4;0.996732026143791;0.997797174834345
15;32947469;33186350.8;5;176;335.8;0.571895424836601;0.667083384255374;1.47069589144542;1.79329197433158;176;335.8;0.571895424836601;0.667083384255374
16;33248055;33474577;5;205;382;0.666666666666667;0.755966139158839;2.54490792023808;2.67757894011459;205;382;0.666666666666667;0.755966139158839
17;34422616;34620498.4;5;258;435.8;0.839869281045752;0.873294352135086;5.8954688259849;6.19316308679245;258;435.8;0.839869281045752;0.873294352135086
18;32888481;33113831.6;5;168;321.6;0.545751633986928;0.633800671942347;1.37538967690397;1.57124840898701;168;321.6;0.545751633986928;0.633800671942347
19;38143673;38463631.6;5;271;451.6;0.882352941176471;0.907418559324328;17.4738200122667;17.9816975418335;271;451.6;0.882352941176471;0.907418559324328
20;32770573;33056902.4;5;151;306.6;0.490196078431373;0.594018214630537;1.09459606697301;1.39709368034716;151;306.6;0.490196078431373;0.594018214630537
21;33133045;33414434.8;5;200;371.4;0.650326797385621;0.739705298839892;2.04222767923619;2.49314078942366;200;371.4;0.650326797385621;0.739705298839892
22;37336936;37806208;5;265;443.4;0.862745098039216;0.888720631637837;15.1761917378962;15.964745619488;265;443.4;0.862745098039216;0.888720631637837
23;34497387;34928128.6;5;261;438.4;0.849673202614379;0.879146405228758;6.42915053571866;7.1346967042797;261;438.4;0.849673202614379;0.879146405228758
24;33036387;33223393.8;5;189;345.4;0.61437908496732;0.685996338906785;1.72732766866207;1.90729313848532;189;345.4;0.61437908496732;0.685996338906785
25;33301823;33531012.6;5;210;388.4;0.683006535947712;0.771144169591751;2.60253369771144;2.84997829557625;210;388.4;0.683006535947712;0.771144169591751
26;43698881;44089640.2;5;295;482.4;0.96078431372549;0.970144615106972;34.286644179258;35.2355161084133;295;482.4;0.96078431372549;0.970144615106972
27;32569486;32860958;8;138;201.875;0.339622641509434;0.475198921182522;0.425096120746598;0.686755498023944;138;201.875;0.339622641509434;0.475198921182522
28;33203599;33422132.8;5;214;373.8;0.696078431372549;0.745770514784837;2.21521943726571;2.51745162526368;214;373.8;0.696078431372549;0.745770514784837
29;32536627;32876150;6;142;218;0.398584905660377;0.468717736911214;0.582760013214321;0.72425216525435;142;218;0.398584905660377;0.468717736911214
30;32808850;33035813.8;5;166;294.8;0.528301886792453;0.584402338142804;0.965318346081553;1.33212818225964;166;294.8;0.528301886792453;0.584402338142804
31;38270152;38933994.2;5;284;459.8;0.90961262553802;0.926024984103781;17.8633465080851;19.4212306333177;284;459.8;0.90961262553802;0.926024984103781
32;32673937;32886967.2;5;148;240;0.4368;0.486664061431291;0.525441012355868;0.875023009845077;148;240;0.4368;0.486664061431291
33;32857121;33131225.6;5;179;323.4;0.516509433962264;0.634229073146669;1.07076036200993;1.62477754941256;179;323.4;0.516509433962264;0.634229073146669
34;33225368;33480897.6;5;217;380.4;0.705882352941177;0.758982803930592;2.45411332052251;2.69610831671651;217;380.4;0.705882352941177;0.758982803930592
35;38263602;38747830.4;5;281;456;0.905660377358491;0.91689798014251;18.2379744996256;18.8518459034199;281;456;0.905660377358491;0.91689798014251
36;32911601;33088837.6;5;160;311.8;0.519607843137255;0.617822800321233;1.18018729839963;1.49446030000018;160;311.8;0.519607843137255;0.617822800321233
37;32843467;33211378;5;209;325.8;0.560975609756098;0.664862212837889;1.15039343318673;1.8689740732995;209;325.8;0.560975609756098;0.664862212837889
38;32959928;33132993.6;5;171;327.8;0.555555555555556;0.646315064442098;1.36045589332766;1.63038923825909;171;327.8;0.555555555555556;0.646315064442098
39;45363129;45748718.6;5;299;486.8;0.973856209150327;0.979647336142618;39.0993807560818;40.3304075696106;299;486.8;0.973856209150327;0.979647336142618
40;33611424;33803183.6;5;236;408.6;0.76797385620915;0.814597012653811;2.96897146287178;3.68742867821281;236;408.6;0.76797385620915;0.814597012653811
41;33936711;34120993;5;244;423.8;0.794117647058823;0.846126038818657;4.25190187386556;4.66129543205775;244;423.8;0.794117647058823;0.846126038818657
