EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;28;1238063273;2000-124.tsp;NA
2;103;1878399250;2000-3.tsp;NA
3;149;1817308137;2000-35.tsp;NA
4;10;271696267;2000-108.tsp;NA
5;102;326312785;2000-29.tsp;NA
6;86;1421689503;2000-230.tsp;NA
7;230;299719296;2000-534.tsp;NA
8;144;341915173;2000-337.tsp;NA
9;291;387708794;2000-713.tsp;NA
10;216;571126833;2000-520.tsp;NA
11;90;722254518;2000-234.tsp;NA
12;235;1695806084;2000-539.tsp;NA
13;351;616481275;2000-832.tsp;NA
14;158;825236848;2000-403.tsp;NA
15;364;1581608384;2000-904.tsp;NA
16;232;772094763;2000-536.tsp;NA
17;99;141968774;2000-26.tsp;NA
18;358;1175214429;2000-839.tsp;NA
19;1;1611191616;2000-1.tsp;NA
