CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;acs;0;0.12;2.94;0.84;82;0.34;NA;NA;NA;NA
2;FALSE;eas;2;2.62;7.94;0.34;34;NA;NA;232;29;0
3;FALSE;mmas;1;1.37;0.44;0.1;10;NA;NA;NA;40;0
4;TRUE;ras;3;3.87;5.44;0.59;58;NA;34;NA;17;1
5;TRUE;acs;2;2;4.19;0.96;70;0.97;NA;NA;46;0
6;FALSE;mmas;0;4.5;9.19;0.47;22;NA;NA;NA;NA;NA
7;FALSE;as;3;0.75;1.69;0.22;46;NA;NA;NA;12;1
8;FALSE;ras;1;3.25;6.69;0.72;94;NA;96;NA;35;0
9;FALSE;eas;2;1.06;9.82;0.03;88;NA;NA;373;9;0
10;FALSE;as;0;3.56;4.82;0.53;40;NA;NA;NA;NA;NA
11;FALSE;acs;1;4.81;2.32;0.28;64;0.16;NA;NA;20;0
12;FALSE;mmas;3;2.31;7.32;0.78;16;NA;NA;NA;43;1
13;FALSE;eas;1;0.43;6.07;0.9;52;NA;NA;91;14;0
14;FALSE;acs;3;2.93;1.07;0.41;100;0.53;NA;NA;37;1
15;FALSE;ras;0;1.68;8.57;0.16;76;NA;3;NA;NA;NA
16;FALSE;as;2;4.18;3.57;0.65;28;NA;NA;NA;26;0
17;FALSE;ras;2;3.72;1.38;0.87;49;NA;56;NA;24;1
18;FALSE;as;0;1.22;6.38;0.38;97;NA;NA;NA;NA;NA
19;FALSE;eas;3;4.97;3.88;0.13;73;NA;NA;162;36;0
20;FALSE;acs;1;2.47;8.88;0.62;25;0.87;NA;NA;13;1
21;FALSE;ras;3;0.59;7.63;0.75;37;NA;43;NA;42;0
22;FALSE;mmas;1;3.09;2.63;0.25;85;NA;NA;NA;19;1
23;FALSE;eas;0;4.34;0.13;0.99;13;NA;NA;256;NA;NA
24;FALSE;as;2;1.84;5.13;0.5;61;NA;NA;NA;7;1
25;FALSE;ras;1;0.9;4.5;0.44;31;NA;87;NA;45;1
26;FALSE;mmas;3;3.4;9.5;0.93;79;NA;NA;NA;22;0
27;TRUE;acs;2;4.65;7;0.19;7;0.06;NA;NA;33;1
28;FALSE;eas;0;2.15;2;0.68;55;NA;NA;302;NA;NA
29;FALSE;acs;0;2.78;5.75;0.07;43;0.69;NA;NA;NA;NA
30;FALSE;mmas;2;0.28;0.75;0.56;91;NA;NA;NA;50;1
31;FALSE;as;1;4.03;8.25;0.81;67;NA;NA;NA;39;1
32;FALSE;eas;3;1.53;3.25;0.31;19;NA;NA;21;16;0
33;FALSE;eas;3;0.98;2.79;0.45;65;NA;NA;525;29;0
34;FALSE;acs;1;3.48;7.79;0.95;17;0.61;NA;NA;6;1
35;FALSE;mmas;0;4.73;5.29;0.21;89;NA;NA;NA;NA;NA
36;FALSE;ras;2;2.23;0.29;0.7;41;NA;98;NA;18;1
37;FALSE;eas;0;0.36;1.54;0.58;5;NA;NA;619;NA;NA
38;FALSE;as;2;2.86;6.54;0.08;53;NA;NA;NA;12;1
39;FALSE;mmas;1;1.61;4.04;0.33;77;NA;NA;NA;24;1
40;FALSE;acs;3;4.11;9.04;0.82;29;0.23;NA;NA;47;0
