CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;32943014;33098108.6;5;130;158.8;0.646153846153846;0.689860957891374;1.47650842044978;1.73273670881462;130;158.8;0.646153846153846;0.689860957891374
2;40744927;41154209.8;5;184;223.6;0.965384615384615;0.97244480659187;25.7319769622933;26.4963068306351;184;223.6;0.965384615384615;0.97244480659187
3;33264582;33476326.6;5;162;186.6;0.772321428571429;0.81236782259295;2.009752767315;2.89714874662589;162;186.6;0.772321428571429;0.81236782259295
4;33265681;33426937;5;149;183.6;0.779342723004695;0.797449968496193;2.60393366761411;2.74346175917841;149;183.6;0.779342723004695;0.797449968496193
5;32507988;32732899.6666667;6;100;112.666666666667;0.4;0.512868344820697;0.587276137280023;0.736698277293189;100;112.666666666667;0.4;0.512868344820697
6;42236282;42727258.2;5;186;225.2;0.973076923076923;0.979604839895895;29.7852323177329;31.3308558261643;186;225.2;0.973076923076923;0.979604839895895
7;33062512;33437455.6;5;161;183.2;0.703846153846154;0.79915133325869;1.9772836796185;2.77724921525248;161;183.2;0.703846153846154;0.79915133325869
8;32880664;33020102.8;5;126;151.2;0.615384615384615;0.658647221572753;1.22214378920748;1.49332144222164;126;151.2;0.615384615384615;0.658647221572753
9;32751456;32938355.6;5;122;141.8;0.55;0.619907401309109;1.06547279551056;1.24203043040989;122;141.8;0.55;0.619907401309109
10;33923181;34088907.4;5;168;202.2;0.863849765258216;0.878753703343904;4.30686761661978;4.77985825073657;168;202.2;0.863849765258216;0.878753703343904
11;42748458;43259861.8;5;185;225.8;0.976923076923077;0.98191129592613;31.4343565936262;32.964491006467;185;225.8;0.976923076923077;0.98191129592613
12;33788863;34051421.4;5;166;201.2;0.857692307692308;0.874735340575916;4.26673593741095;4.66272320602584;166;201.2;0.857692307692308;0.874735340575916
13;33141978;33288234.8;5;141;175.4;0.741784037558685;0.761207812889338;2.0935496485749;2.3174591679783;141;175.4;0.741784037558685;0.761207812889338
14;33754511;33964257.6;5;167;199.8;0.859154929577465;0.868934972354586;4.11167015119127;4.39553729276343;167;199.8;0.859154929577465;0.868934972354586
15;38030105;38568539;5;174;210.2;0.9;0.914779474720664;16.9273142405054;18.546949692201;174;210.2;0.9;0.914779474720664
16;32943770;33182168.8;5;148;165;0.673076923076923;0.720906401310207;1.6589213840312;1.99163639769763;148;165;0.673076923076923;0.720906401310207
17;33203975;33359233;5;157;180.4;0.75;0.78575159632097;1.84849316672587;2.53684960813609;157;180.4;0.75;0.78575159632097
18;33057378;33327669;5;154;178.6;0.71830985915493;0.777656594229864;2.00949652283884;2.43815763110058;154;178.6;0.71830985915493;0.777656594229864
19;33335143;33554970.4;5;163;191.6;0.807692307692308;0.833948729200078;2.86663249416924;3.13748412515375;163;191.6;0.807692307692308;0.833948729200078
20;37954854;39361664.2;5;180;215.6;0.896153846153846;0.938998959660857;17.0671155711491;20.9829106823034;180;215.6;0.896153846153846;0.938998959660857
21;34735441;34949256.6;5;173;207;0.892018779342723;0.900448413338734;7.18771609499016;7.42272778175344;173;207;0.892018779342723;0.900448413338734
22;32567683;32766134.3333333;6;95;119.333333333333;0.361538461538462;0.545352039267794;0.563790662502399;0.838514582456626;95;119.333333333333;0.361538461538462;0.545352039267794
23;32749454;33079279.4;5;139;153.4;0.546153846153846;0.673115712825782;1.0592949609576;1.67441719171053;139;153.4;0.546153846153846;0.673115712825782
24;39890595;40387325.8;5;182;221.6;0.957692307692308;0.963576575382464;22.8622337777943;24.1381316576659;182;221.6;0.957692307692308;0.963576575382464
25;38571363;38903656.2;5;176;212.2;0.911538461538462;0.923092386836019;19.0247248232953;19.5756696455159;176;212.2;0.911538461538462;0.923092386836019
26;33143238;33351809.2;5;154;178.6;0.726923076923077;0.778625666986095;2.22627317570764;2.51311015237563;154;178.6;0.726923076923077;0.778625666986095
27;33197119;33364127.8;5;150;179.6;0.753846153846154;0.781525973901236;2.39246254516455;2.55052973072625;150;179.6;0.753846153846154;0.781525973901236
28;32756867;32894302;5;123;138;0.557692307692308;0.602676214131488;0.858662980523725;1.10714954321567;123;138;0.557692307692308;0.602676214131488
29;39328578;39838061;5;183;218.8;0.938461538461538;0.952515218150145;21.3613626809481;22.4480089859895;183;218.8;0.938461538461538;0.952515218150145
30;32917994;33124750;5;143;161.2;0.630769230769231;0.703273691521744;1.3986022520388;1.8156550348391;143;161.2;0.630769230769231;0.703273691521744
