EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;332;1008301677;2000-813.tsp;NA
2;233;1635489800;2000-537.tsp;NA
3;56;502579736;2000-203.tsp;NA
4;131;989231085;2000-325.tsp;NA
5;189;873527900;2000-434.tsp;NA
6;222;842767195;2000-526.tsp;NA
7;57;789996173;2000-204.tsp;NA
8;229;1985082171;2000-533.tsp;NA
9;30;328111867;2000-126.tsp;NA
10;287;1563589239;2000-709.tsp;NA
11;305;426362382;2000-727.tsp;NA
12;97;673215620;2000-240.tsp;NA
13;385;307690612;2000-925.tsp;NA
14;71;1268580202;2000-217.tsp;NA
15;379;14420341;2000-919.tsp;NA
16;306;1708298396;2000-728.tsp;NA
17;5;1928335571;2000-103.tsp;NA
18;347;2019093558;2000-828.tsp;NA
19;338;951183123;2000-819.tsp;NA
20;32;1271569678;2000-128.tsp;NA
