EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;210;534022852;2000-514.tsp;NA
2;108;314652879;2000-304.tsp;NA
3;276;925913034;2000-639.tsp;NA
4;378;1049889211;2000-918.tsp;NA
5;208;1899248422;2000-512.tsp;NA
6;53;1556421980;2000-20.tsp;NA
7;251;906232382;2000-614.tsp;NA
8;107;1845821902;2000-303.tsp;NA
9;20;327495091;2000-117.tsp;NA
10;233;2130633448;2000-537.tsp;NA
11;179;1411121129;2000-424.tsp;NA
12;331;860590239;2000-812.tsp;NA
13;255;1463899155;2000-618.tsp;NA
14;361;675817450;2000-901.tsp;NA
15;99;30288025;2000-26.tsp;NA
16;133;489431588;2000-327.tsp;NA
17;232;1938557955;2000-536.tsp;NA
18;43;282658597;2000-138.tsp;NA
19;110;1788722354;2000-306.tsp;NA
20;303;1189222780;2000-725.tsp;NA
