CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;32501120;32854136.2857143;7;69;91.7142857142857;0.219354838709677;0.349138458774511;0.395981867528564;0.533297123499942;69;91.7142857142857;0.219354838709677;0.349138458774511
2;32789907;33113286;5;122;190.6;0.47741935483871;0.591185072834735;1.3482011896624;1.5683759302395;122;190.6;0.47741935483871;0.591185072834735
3;32777444;33007715;5;124;162.6;0.421917808219178;0.514528425055126;0.951778214555888;1.24557724357894;124;162.6;0.421917808219178;0.514528425055126
4;39778147;40105341.2;5;218;294.6;0.907949790794979;0.924720970692472;22.8143165384335;23.016376964729;218;294.6;0.907949790794979;0.924720970692472
5;32773463;32963175.4;5;96;157.4;0.397489539748954;0.489263823319899;0.893595355529193;1.10951893654946;96;157.4;0.397489539748954;0.489263823319899
6;33101933;33371565.8;5;156;227.2;0.648535564853556;0.708416743556966;2.28469318782518;2.36122107689015;156;227.2;0.648535564853556;0.708416743556966
7;62854699;64107252.4;5;239;317.6;0.99581589958159;0.997970073420516;94.3770896487635;96.6297010648435;239;317.6;0.99581589958159;0.997970073420516
8;33307323;33453135.4;5;164;234.8;0.682008368200837;0.733806858732323;2.30467168325723;2.61261527059785;164;234.8;0.682008368200837;0.733806858732323
9;39406163;39881660.4;5;217;292.6;0.903225806451613;0.918454349801731;21.8628901263975;22.329551564754;217;292.6;0.903225806451613;0.918454349801731
10;33609192;33873381.4;5;185;255.2;0.769874476987448;0.799299400577957;3.75248269829801;3.90059367931089;185;255.2;0.769874476987448;0.799299400577957
11;33250397;33673222.2;5;159;241.8;0.661087866108787;0.754490521827886;2.40364509507025;3.28526902419729;159;241.8;0.661087866108787;0.754490521827886
12;33121717;33298330.6;5;146;219.2;0.606694560669456;0.6829662837366;1.97884184024393;2.13712619428473;146;219.2;0.606694560669456;0.6829662837366
13;32895015;33073182;5;116;183.8;0.481171548117155;0.573924127831404;1.21180566302422;1.44716331492762;116;183.8;0.481171548117155;0.573924127831404
14;34034338;34266850.4;5;195;266.6;0.809677419354839;0.835426184758048;4.88925597377537;5.10773055337622;195;266.6;0.809677419354839;0.835426184758048
15;46406751;46670197;5;232;310.4;0.96652719665272;0.975042423287881;41.9999114376297;43.1551424112339;232;310.4;0.96652719665272;0.975042423287881
16;33467671;33591465.8;5;162;242.8;0.673640167364017;0.757103683104258;2.45865848311875;3.0384823529272;162;242.8;0.673640167364017;0.757103683104258
17;37459588;37801879;5;207;278.4;0.858064516129032;0.873892632204024;14.8643316508866;15.9520039236507;207;278.4;0.858064516129032;0.873892632204024
18;32945175;33165318.2;5;148;197.4;0.570967741935484;0.620595235158032;1.31996806895279;1.72929626023194;148;197.4;0.570967741935484;0.620595235158032
19;33995468;34177637.2;5;190;263.2;0.790794979079498;0.824412626109175;4.54921772865706;4.83414145523533;190;263.2;0.790794979079498;0.824412626109175
20;32812463;33071630.6;5;129;184.8;0.503225806451613;0.576577481723556;1.37811116806351;1.441040462248;129;184.8;0.503225806451613;0.576577481723556
21;42322096;42843605.2;5;226;303.8;0.941422594142259;0.953552388369076;30.880363428605;31.4126151350013;226;303.8;0.941422594142259;0.953552388369076
22;34146289;34298783;5;194;267.8;0.807531380753138;0.839468116374627;4.82542839011368;5.20646257656346;194;267.8;0.807531380753138;0.839468116374627
23;34024854;34271742.6;5;198;267.4;0.824267782426778;0.838501124993038;4.33222368139755;5.12326762932697;198;267.4;0.824267782426778;0.838501124993038
24;32767765;33080845.8;5;128;187;0.451612903225806;0.580896679395419;1.33375700350765;1.46888959643978;128;187;0.451612903225806;0.580896679395419
25;38138939;38393442.8;5;211;282.6;0.876712328767123;0.887672058705442;17.2856806083939;17.7660639338495;211;282.6;0.876712328767123;0.887672058705442
26;32652422;32929250.6;5;98;148.2;0.364383561643836;0.463481283607968;0.764547265031482;1.00411847327016;98;148.2;0.364383561643836;0.463481283607968
27;32976714;33251564.6;5;136;212.6;0.564853556485356;0.660363898121545;1.75708775023794;1.99314972605047;136;212.6;0.564853556485356;0.660363898121545
28;33390227;33631880.4;5;169;244.2;0.702928870292887;0.764000699064541;2.77740453943342;3.16085068028428;169;244.2;0.702928870292887;0.764000699064541
29;32680391;32892900.6;5;87;137.2;0.334246575342466;0.429194020614552;0.717248125073241;0.893182460606609;87;137.2;0.334246575342466;0.429194020614552
30;34326353;34546776.8;5;203;273.6;0.845188284518828;0.858748804807168;5.76976516891703;5.96610410979024;203;273.6;0.845188284518828;0.858748804807168
31;33400191;33602159.6;5;176;242.8;0.732217573221757;0.760527102400216;2.84195613745123;3.0691795779006;176;242.8;0.732217573221757;0.760527102400216
32;49433616;49860475.6;5;234;312.6;0.97489539748954;0.981927697061871;52.4453837064965;52.9374418459033;234;312.6;0.97489539748954;0.981927697061871
33;36938919;37349617.4;5;204;276.6;0.849372384937239;0.867767134580065;13.2677765393799;14.5622056923266;204;276.6;0.849372384937239;0.867767134580065
34;32642790;32876129;7;68;93.8571428571429;0.201072386058981;0.365871392295518;0.344014392539282;0.601517629217453;68;93.8571428571429;0.201072386058981;0.365871392295518
35;32944477;33198920.6;5;139;200.4;0.572602739726027;0.630633303860134;1.20749750318503;1.83406833772369;139;200.4;0.572602739726027;0.630633303860134
36;34111422;34297298.8;5;193;267.8;0.803347280334728;0.839155967823217;4.79205276936065;5.20119427242786;193;267.8;0.803347280334728;0.839155967823217
37;33462989;33678874.8;5;177;247.2;0.736401673640167;0.773917336416573;3.05838000599632;3.30439238762164;177;247.2;0.736401673640167;0.773917336416573
38;61941000;63261511.8;5;238;317.2;0.99163179916318;0.996585077452585;89.9329903678483;94.0528047015692;238;317.2;0.99163179916318;0.996585077452585
39;34253453;34596197.8;5;200;273.4;0.832635983263598;0.857249001736996;5.31592633374133;6.1172555222129;200;273.4;0.832635983263598;0.857249001736996
