CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;acs;1;1.81;6.99;0.16;12;0.66;NA;NA;30;0
2;FALSE;mmas;3;4.31;1.99;0.66;60;NA;NA;NA;7;1
3;FALSE;ras;2;3.06;4.49;0.41;36;NA;13;NA;41;0
4;FALSE;as;0;0.56;9.49;0.91;84;NA;NA;NA;NA;NA
5;FALSE;ras;3;1.18;5.74;0.04;48;NA;100;NA;24;1
6;FALSE;mmas;1;3.68;0.74;0.53;96;NA;NA;NA;47;0
7;FALSE;eas;0;4.93;3.24;0.29;24;NA;NA;729;NA;NA
8;FALSE;as;2;2.43;8.24;0.78;72;NA;NA;NA;35;0
9;FALSE;as;1;4.62;5.11;0.47;54;NA;NA;NA;10;0
10;FALSE;eas;3;2.12;0.11;0.97;6;NA;NA;494;33;1
11;FALSE;acs;0;3.37;7.61;0.72;30;0.85;NA;NA;NA;NA
12;FALSE;mmas;2;0.87;2.61;0.23;78;NA;NA;NA;21;0
13;FALSE;eas;0;1.49;3.86;0.1;66;NA;NA;588;NA;NA
14;TRUE;acs;2;3.99;8.86;0.6;18;0.47;NA;NA;15;0
15;FALSE;as;3;2.74;6.36;0.35;90;NA;NA;NA;50;1
16;FALSE;ras;1;0.24;1.36;0.84;42;NA;31;NA;27;0
17;FALSE;acs;2;1.34;2.3;0.32;57;0.5;NA;NA;17;1
18;FALSE;mmas;0;3.84;7.3;0.81;9;NA;NA;NA;NA;NA
19;FALSE;eas;1;2.59;9.8;0.07;81;NA;NA;377;5;1
20;FALSE;as;3;0.09;4.8;0.57;33;NA;NA;NA;28;0
21;FALSE;ras;3;4.46;8.55;0.19;69;NA;78;NA;46;0
22;FALSE;mmas;1;1.96;3.55;0.69;21;NA;NA;NA;23;1
23;FALSE;eas;2;3.21;6.05;0.94;45;NA;NA;659;11;1
24;FALSE;acs;0;0.71;1.05;0.44;93;0.13;NA;NA;NA;NA
25;FALSE;as;0;2.9;1.68;0.26;51;NA;NA;NA;NA;NA
26;FALSE;eas;2;0.4;6.68;0.75;99;NA;NA;612;37;1
27;FALSE;ras;1;4.15;4.18;1;75;NA;47;NA;48;1
28;FALSE;mmas;3;1.65;9.18;0.5;27;NA;NA;NA;25;0
29;TRUE;acs;3;3.52;2.93;0.88;87;0.94;NA;NA;8;0
30;FALSE;eas;1;1.02;7.93;0.38;39;NA;NA;518;31;1
31;FALSE;ras;0;2.27;5.43;0.63;63;NA;60;NA;NA;NA
32;FALSE;as;2;4.77;0.43;0.13;15;NA;NA;NA;43;1
33;FALSE;ras;1;3.76;0.27;0.74;49;NA;24;NA;20;0
34;FALSE;as;3;1.26;5.27;0.24;97;NA;NA;NA;43;1
35;FALSE;mmas;0;2.51;2.77;0.49;73;NA;NA;NA;NA;NA
36;FALSE;acs;2;0.01;7.77;0.98;25;0.24;NA;NA;9;0
37;FALSE;ras;0;1.88;9.02;0.86;37;NA;86;NA;NA;NA
38;FALSE;mmas;2;4.38;4.02;0.36;85;NA;NA;NA;26;0
39;FALSE;eas;3;3.13;1.52;0.61;13;NA;NA;131;38;1
40;FALSE;as;1;0.63;6.52;0.12;61;NA;NA;NA;15;0
41;FALSE;mmas;0;4.07;8.4;0.55;79;NA;NA;NA;NA;NA
42;FALSE;ras;2;1.57;3.4;0.06;31;NA;42;NA;46;0
43;FALSE;eas;3;0.32;0.9;0.8;55;NA;NA;84;12;1
44;FALSE;acs;1;2.82;5.9;0.3;7;0.93;NA;NA;35;0
45;TRUE;acs;3;4.7;7.15;0.43;43;0.3;NA;NA;17;1
46;FALSE;mmas;1;2.2;2.15;0.92;91;NA;NA;NA;40;0
47;FALSE;as;2;3.45;9.65;0.67;67;NA;NA;NA;29;0
48;FALSE;eas;0;0.95;4.65;0.18;19;NA;NA;366;NA;NA
49;FALSE;ras;2;4.23;5.58;0.83;94;NA;27;NA;30;1
50;FALSE;as;0;1.73;0.58;0.33;46;NA;NA;NA;NA;NA
51;FALSE;mmas;3;2.98;8.08;0.09;22;NA;NA;NA;19;0
52;FALSE;acs;1;0.48;3.08;0.58;70;0.08;NA;NA;42;1
53;FALSE;eas;1;4.85;9.33;0.21;34;NA;NA;155;36;1
54;FALSE;acs;3;2.35;4.33;0.7;82;0.71;NA;NA;13;0
55;TRUE;mmas;2;1.1;1.83;0.46;10;NA;NA;NA;48;1
56;FALSE;ras;0;3.6;6.83;0.95;58;NA;89;NA;NA;NA
57;FALSE;acs;0;4.54;2.46;0.02;100;0.39;NA;NA;NA;NA
58;FALSE;eas;2;2.04;7.46;0.52;52;NA;NA;295;5;1
59;FALSE;ras;3;0.79;9.96;0.27;76;NA;70;NA;39;0
60;FALSE;as;1;3.29;4.96;0.77;28;NA;NA;NA;16;1
61;FALSE;acs;2;2.67;1.21;0.15;64;0.77;NA;NA;22;1
62;FALSE;mmas;0;0.17;6.21;0.64;16;NA;NA;NA;NA;NA
63;FALSE;eas;1;1.42;8.71;0.4;88;NA;NA;14;10;1
64;TRUE;as;3;3.92;3.71;0.89;40;NA;NA;NA;33;0
65;FALSE;acs;0;2.78;3.94;0.51;41;0.01;NA;NA;NA;NA
66;FALSE;eas;2;0.28;8.94;0.02;89;NA;NA;114;8;0
67;FALSE;ras;3;1.53;6.44;0.76;17;NA;17;NA;42;1
68;FALSE;as;1;4.03;1.44;0.26;65;NA;NA;NA;19;0
69;FALSE;as;3;3.41;0.19;0.39;77;NA;NA;NA;37;1
70;FALSE;eas;1;0.91;5.19;0.88;29;NA;NA;207;14;0
71;FALSE;ras;2;4.66;2.69;0.64;5;NA;79;NA;25;0
72;FALSE;mmas;0;2.16;7.69;0.14;53;NA;NA;NA;NA;NA
73;FALSE;ras;0;4.35;9.57;0.45;11;NA;48;NA;NA;NA
74;FALSE;mmas;2;1.85;4.57;0.94;59;NA;NA;NA;45;0
75;FALSE;eas;1;3.1;7.07;0.7;83;NA;NA;348;34;0
