network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.15;472;0;472;85;462;110;0;0;0;85;462;110;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-L1;min;20;0.15;472;0;472;85;462;110;0;0;0;85;462;110;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-L2;min;20;0.15;472;0;472;85;462;110;0;0;0;85;462;110;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-L3;min;20;0.15;472;0;472;85;462;110;0;0;0;85;462;110;3;1;0;0;3;1;1;0;2;0;3;0;0;0;0;0;0;0;1;0;2;0;3;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-L4;min;20;0.16;472;0;472;85;462;110;0;0;0;85;462;110;3;1;0;0;3;1;1;0;3;0;3;0;0;0;0;0;0;0;1;0;3;0;3;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-L5;min;20;0.16;472;0;472;85;462;110;0;0;0;85;462;110;8;1;0;0;8;1;1;0;8;0;4;0;0;0;0;0;0;0;1;0;8;0;4;0;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0;0;0;0.180084745762712;0.978813559322034;0.233050847457627
BH-90-L0;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BH-90-L1;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BH-90-L2;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;3;1;0;0;3;1;1;0;3;0;2;0;0;0;0;0;0;0;1;0;3;0;2;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BH-90-L3;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;6;1;0;0;6;1;1;0;5;0;5;0;0;0;0;0;0;0;1;0;5;0;5;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BH-90-L4;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;8;1;0;0;8;1;1;0;7;0;5;0;0;0;0;0;0;0;1;0;7;0;5;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BH-90-L5;min;20;0.2;594;0;594;86;587;107;0;0;0;86;587;107;7;1;0;0;7;1;1;0;7;0;5;0;0;0;0;0;0;0;1;0;7;0;5;0;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0;0;0;0.144781144781145;0.988215488215488;0.18013468013468
BL-L0;min;20;0.11;425;0;425;83;413;112;0;0;0;83;413;112;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-L1;min;20;0.11;425;0;425;83;413;112;0;0;0;83;413;112;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-L2;min;20;0.11;425;0;425;83;413;112;0;0;0;83;413;112;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-L3;min;20;0.11;425;0;425;83;413;112;0;0;0;83;413;112;2;1;0;0;2;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-L4;min;20;0.14;425;0;425;83;413;112;0;0;0;83;413;112;3;1;0;0;3;1;1;0;3;0;3;0;0;0;0;0;0;0;1;0;3;0;3;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-L5;min;20;0.11;425;0;425;83;413;112;0;0;0;83;413;112;4;1;0;0;4;1;1;0;4;0;3;0;0;0;0;0;0;0;1;0;4;0;3;0;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0;0;0;0.195294117647059;0.971764705882353;0.263529411764706
BL-45-L0;min;20;0.17;478;0;478;62;469;109;0;0;0;62;469;109;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
BL-45-L1;min;20;0.17;478;0;478;62;469;109;0;0;0;62;469;109;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
BL-45-L2;min;20;0.17;478;0;478;62;469;109;0;0;0;62;469;109;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
BL-45-L3;min;20;0.18;478;0;478;62;469;109;0;0;0;62;469;109;3;1;0;0;3;1;1;0;3;0;2;0;0;0;0;0;0;0;1;0;3;0;2;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
BL-45-L4;min;20;0.21;478;0;478;62;469;109;0;0;0;62;469;109;4;1;0;0;4;1;1;0;4;0;3;0;0;0;0;0;0;0;1;0;4;0;3;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
BL-45-L5;min;20;0.18;478;0;478;62;469;109;0;0;0;62;469;109;7;1;0;0;7;1;2;0;7;0;3;0;0;0;0;0;0;0;2;0;7;0;3;0;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0;0;0;0.129707112970711;0.981171548117155;0.228033472803347
