network_name;problem_type;number_of_runs;best_known_solution;components;single_components;multiple_components;max_distance;mean_distance;sd_distance;min_nodes_multiple_components;max_nodes_multiple_components;mean_nodes_multiple_components;sd_nodes_multiple_components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;max_degree;min_degree;average_degree;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.15;85;29;56;7;3.03571428571429;1.86804988948646;2;24;7.91071428571429;6.37402908318175;472;0;472;85;462;110;387;252;20;115;7;0;1.63983050847458;NA;0.819915254237288;0.819915254237288;1;1;2;0.1;0;1;1;8;1;0.00211864406779661;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0.651162790697674;0.0516795865633075;0.297157622739018
BH-L1;min;20;0.15;85;29;56;7;3.03571428571429;1.86804988948646;2;24;7.91071428571429;6.37402908318175;472;0;472;85;462;110;387;252;20;115;7;0;1.63983050847458;NA;0.819915254237288;0.819915254237288;1;1;2;0.1;0;1;1;8;1;0.00211864406779661;0;1;0.180084745762712;0.978813559322034;0.233050847457627;0.651162790697674;0.0516795865633075;0.297157622739018
BH-L2;min;20;0.15;85;29;56;7;3.03571428571429;1.86804988948646;2;24;7.82142857142857;6.29605112274827;467;0;467;85;457;109;382;251;21;110;6;0;1.63597430406852;NA;0.817987152034261;0.817987152034261;1;1;2;0.1;0;1;1;8;1;0.00214132762312634;0;1;0.182012847965739;0.978586723768737;0.233404710920771;0.657068062827225;0.0549738219895288;0.287958115183246
BH-L3;min;20;0.15;84;29;55;6;2.98181818181818;1.83071438283397;2;27;7.8;6.60359049361841;458;0;458;85;452;107;378;246;17;115;8;0;1.65065502183406;NA;0.825327510917031;0.825327510917031;1;1;2;0.1;0;1;1;8;1;0.00218340611353712;0;1;0.185589519650655;0.986899563318777;0.233624454148472;0.650793650793651;0.044973544973545;0.304232804232804
BH-L4;min;20;0.16;78;29;49;7;2.97959183673469;1.994678294011;2;35;8.38775510204082;8.0358994687657;440;0;440;85;432;100;369;239;16;114;8;0;1.67727272727273;NA;0.838636363636364;0.838636363636364;3;1;0.666666666666667;0.5;0;3;3;10.3333333333333;3;0.00681818181818182;0;1;0.193181818181818;0.981818181818182;0.227272727272727;0.64769647696477;0.043360433604336;0.308943089430894
BH-L5;min;20;0.16;64;28;36;8;2.47222222222222;1.90467261695489;2;139;10.2777777777778;24.5852581974426;398;0;398;85;394;92;353;228;15;110;8;0;1.77386934673367;NA;0.886934673366834;0.886934673366834;2;1;0;0.3;0;2;2;9;2;0.0050251256281407;0;1;0.21356783919598;0.989949748743719;0.231155778894472;0.645892351274788;0.0424929178470255;0.311614730878187
BH-90-L0;min;20;0.2;86;40;46;8;3.8695652173913;2.49985506826273;2;29;12.0434782608696;9.66541721060568;594;0;594;86;587;107;508;345;14;149;6;0;1.71043771043771;NA;0.855218855218855;0.855218855218855;3;1;0.333333333333333;0.3;0;2;3;12.3333333333333;3;0.00505050505050505;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0.679133858267717;0.0275590551181102;0.293307086614173
BH-90-L1;min;20;0.2;86;40;46;8;3.8695652173913;2.49985506826273;2;29;12.0434782608696;9.66541721060568;594;0;594;86;587;107;508;345;14;149;6;0;1.71043771043771;NA;0.855218855218855;0.855218855218855;3;1;0.333333333333333;0.3;0;2;3;12.3333333333333;3;0.00505050505050505;0;1;0.144781144781145;0.988215488215488;0.18013468013468;0.679133858267717;0.0275590551181102;0.293307086614173
BH-90-L2;min;20;0.2;85;40;45;8;3.75555555555556;2.432316101201;2;42;11.9555555555556;10.1666915051858;578;0;578;86;573;100;497;337;14;146;6;0;1.719723183391;NA;0.859861591695502;0.859861591695502;3;1;0.333333333333333;0.3;0;2;3;12.3333333333333;3;0.00519031141868512;0;1;0.14878892733564;0.991349480968858;0.173010380622837;0.678068410462777;0.028169014084507;0.293762575452716
BH-90-L3;min;20;0.2;80;40;40;9;3.45;2.43847367140879;2;97;12.275;16.5993319297139;531;0;531;86;529;78;467;326;10;131;6;0;1.75894538606403;NA;0.879472693032015;0.879472693032015;2;1;0;0.15;0;1;2;13;2;0.00376647834274953;0;1;0.16195856873823;0.99623352165725;0.146892655367232;0.698072805139186;0.0214132762312634;0.28051391862955
