network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-L1;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-L2;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;4;1;4;0;2;0;1;0;4;0;2;0;1;0;4;0;1;0;1;0;2;0;2;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-L3;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;10;1;8;0;3;0;2;0;10;0;3;0;2;0;8;0;2;0;1;0;3;0;2;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-L4;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;17;1;16;0;4;0;2;0;17;0;3;0;2;0;16;0;3;0;1;0;4;0;3;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-L5;min;20;0.11904422;17339;16866;473;3660;13678;164;3597;13222;47;63;456;117;35;1;31;0;6;0;3;0;35;0;4;0;3;0;31;0;3;0;1;0;6;0;4;0;0.972720456773747;0.027279543226253;0.21108483764923;0.78885748889786;0.00945844627717861;0.207451410115924;0.762558394371071;0.00271065228675241;0.00363342753330642;0.0262990945267893;0.00674779399042621
BH-90-L0;min;20;0.12464368;12299;11785;514;1800;8878;1800;1721;8423;1641;79;455;159;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.958207984388975;0.0417920156110253;0.146353362061956;0.721847304658915;0.146353362061956;0.139930075615904;0.684852427026588;0.133425481746483;0.00642328644605252;0.0369948776323278;0.0129278803154728
BH-90-L1;min;20;0.12464368;12299;11785;514;1800;8878;1800;1721;8423;1641;79;455;159;2;1;2;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;0.958207984388975;0.0417920156110253;0.146353362061956;0.721847304658915;0.146353362061956;0.139930075615904;0.684852427026588;0.133425481746483;0.00642328644605252;0.0369948776323278;0.0129278803154728
BH-90-L2;min;20;0.12464368;12299;11785;514;1800;8878;1800;1721;8423;1641;79;455;159;5;1;4;0;2;0;1;0;3;0;4;0;1;0;3;0;4;0;1;0;2;0;2;0;0.958207984388975;0.0417920156110253;0.146353362061956;0.721847304658915;0.146353362061956;0.139930075615904;0.684852427026588;0.133425481746483;0.00642328644605252;0.0369948776323278;0.0129278803154728
BH-90-L3;min;20;0.12464368;12299;11785;514;1800;8878;1800;1721;8423;1641;79;455;159;17;1;14;0;4;0;1;0;10;0;10;0;1;0;7;0;9;0;1;0;3;0;4;0;0.958207984388975;0.0417920156110253;0.146353362061956;0.721847304658915;0.146353362061956;0.139930075615904;0.684852427026588;0.133425481746483;0.00642328644605252;0.0369948776323278;0.0129278803154728
