network_name;problem_type;number_of_runs;best_known_elite_solution;elite_components;single_elite_components;multiple_elite_components;elite_nodes;elite_best_nodes;elite_start_nodes;elite_standard_nodes;elite_end_nodes;elite_edges;elite_to_elite_worsening_edges;elite_to_elite_equal_edges;elite_to_elite_improving_edges;elite_to_regular_worsening_edges;elite_to_regular_equal_edges;elite_to_regular_improving_edges;max_elite_to_elite_degree;min_elite_to_elite_degree;average_elite_to_elite_degree;max_in_elite_to_elite_degree;min_in_elite_to_elite_degree;average_in_elite_to_elite_degree;max_out_elite_to_elite_degree;min_out_elite_to_elite_degree;average_out_elite_to_elite_degree;max_out_elite_to_regular_degree;min_out_elite_to_regular_degree;average_out_elite_to_regular_degree;best_elite_nodes_rate;start_elite_nodes_rate;standard_elite_nodes_rate;end_elite_nodes_rate;elite_to_elite_worsening_edges_rate;elite_to_elite_equal_edges_rate;elite_to_elite_improving_edges_rate
BH-L0;min;20;0.14521522;63;29;34;473;1;63;0;117;410;230;0;180;1002;0;12267;8;0;1.73361522198732;1;0;0.866807610993658;8;0;0.866807610993658;324;0;28.0528541226216;0.00211416490486258;0.133192389006343;0;0.247357293868922;0.560975609756098;0;0.439024390243902
BH-L1;min;20;0.14521522;63;29;34;473;1;63;0;117;410;230;0;180;1002;0;12267;8;0;1.73361522198732;1;0;0.866807610993658;8;0;0.866807610993658;324;0;28.0528541226216;0.00211416490486258;0.133192389006343;0;0.247357293868922;0.560975609756098;0;0.439024390243902
BH-L2;min;20;0.14521522;56;29;27;469;1;63;0;117;433;243;0;190;1019;0;12112;9;0;1.84648187633262;3;0;0.923240938166311;8;0;0.923240938166311;324;0;27.997867803838;0.00213219616204691;0.134328358208955;0;0.249466950959488;0.561200923787529;0;0.438799076212471
BH-L3;min;20;0.14521522;34;27;7;444;1;63;0;109;612;314;0;298;1058;0;11317;13;0;2.75675675675676;6;0;1.37837837837838;11;0;1.37837837837838;310;0;27.8716216216216;0.00225225225225225;0.141891891891892;0;0.245495495495495;0.513071895424837;0;0.486928104575163
BH-L4;min;20;0.13239098;27;23;4;410;1;64;0;102;1018;530;0;488;1063;0;10020;26;0;4.96585365853659;11;0;2.48292682926829;20;0;2.48292682926829;291;0;27.0317073170732;0.0024390243902439;0.15609756097561;0;0.248780487804878;0.520628683693517;0;0.479371316306483
BH-L5;min;20;0.13239098;15;12;3;377;1;69;0;100;1500;749;0;751;886;0;8977;34;0;7.95755968169761;14;0;3.97877984084881;24;0;3.97877984084881;278;0;26.1618037135279;0.0026525198938992;0.183023872679045;0;0.26525198938992;0.499333333333333;0;0.500666666666667
BH-90-L0;min;20;0.12464368;79;40;39;514;1;79;0;159;435;285;0;150;738;0;9326;8;0;1.69260700389105;1;0;0.846303501945525;7;0;0.846303501945525;112;0;19.579766536965;0.00194552529182879;0.153696498054475;0;0.309338521400778;0.655172413793103;0;0.344827586206897
BH-90-L1;min;20;0.12464368;79;40;39;514;1;79;0;159;435;285;0;150;738;0;9324;8;0;1.69260700389105;1;0;0.846303501945525;7;0;0.846303501945525;112;0;19.5758754863813;0.00194552529182879;0.153696498054475;0;0.309338521400778;0.655172413793103;0;0.344827586206897
BH-90-L2;min;20;0.12464368;74;40;34;511;1;79;0;157;455;296;0;159;734;0;9100;9;0;1.78082191780822;3;0;0.89041095890411;8;0;0.89041095890411;104;0;19.2446183953033;0.00195694716242661;0.154598825831703;0;0.307240704500978;0.650549450549451;0;0.349450549450549
BH-90-L3;min;20;0.12464368;55;40;15;492;1;79;0;173;609;364;0;245;759;0;8219;12;0;2.47560975609756;6;0;1.23780487804878;9;0;1.23780487804878;103;0;18.2479674796748;0.00203252032520325;0.160569105691057;0;0.351626016260163;0.597701149425287;0;0.402298850574713
BH-90-L4;min;20;0.12464368;49;38;11;462;1;80;0;203;940;518;0;422;782;0;6987;26;0;4.06926406926407;8;0;2.03463203463203;20;0;2.03463203463203;102;0;16.8160173160173;0.00216450216450216;0.173160173160173;0;0.439393939393939;0.551063829787234;0;0.448936170212766
