network_name;problem_type;number_of_runs;best_known_solution;components;single_components;multiple_components;max_distance;mean_distance;sd_distance;min_nodes_multiple_components;max_nodes_multiple_components;mean_nodes_multiple_components;sd_nodes_multiple_components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;max_degree;min_degree;average_degree;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.15465301;3660;3575;85;7;2.91764705882353;1.97732241214442;6;578;153.964705882353;162.058811125176;16662;16190;472;3660;13033;154;13002;765;0;12237;175;0;1.56067698955708;0.779184681902409;0.819915254237288;27.5466101694915;1;1;7;0.1;0;1;1;8;1;6.00168047053175e-05;0.97167206817909;0.0283279318209099;0.219661505221462;0.782199015724403;0.00924258792461889;0.0588371019843101;0;0.94116289801569
BH-L1;min;20;0.15465301;3660;3575;85;7;2.91764705882353;1.97732241214442;6;578;153.917647058824;161.987081478204;16658;16186;472;3660;13029;154;12999;765;0;12234;175;0;1.560691559611;0.779191894229581;0.819915254237288;27.5402542372881;1;1;7;0.1;0;1;1;8;1;6.00312162324409e-05;0.971665265938288;0.0283347340617121;0.219714251410734;0.782146716292472;0.00924480729979589;0.0588506808216017;0;0.941149319178398
BH-L2;min;20;0.15465301;3634;3571;63;8;2.41269841269841;1.8719915273702;6;5688;204.142857142857;728.37826616224;16432;15965;467;3660;12818;153;12886;776;0;12110;171;0;1.56840311587147;0.781960538678359;0.860813704496788;27.593147751606;1;1;7;0.1;0;1;1;8;1;6.0856864654333e-05;0.971579844206427;0.0284201557935735;0.222736124634859;0.780063291139241;0.00931110029211295;0.0602203942262921;0;0.939779605773708
BH-L3;min;20;0.15465301;3581;3548;33;10;1.57575757575758;1.62076955160008;6;10748;358.030303030303;1865.36882219121;15363;14905;458;3658;11799;147;12348;844;0;11504;151;0;1.6074985354423;0.795840322039584;1.06113537117904;26.9606986899563;1;2;6;0.15;0;1;1;8;2;6.50914534921565e-05;0.970188114300592;0.0298118856994077;0.238104536874308;0.768014059753954;0.009568443663347;0.068351149983803;0;0.931648850016197
BH-L4;min;20;0.15465301;3485;3474;11;36;4.36363636363636;10.5002164479855;6;9788;906.272727272727;2945.75457534768;13443;13003;440;3649;9956;135;11570;1052;0;10518;136;0;1.72134196235959;0.836114742751673;1.58636363636364;26.2954545454545;1;4;7;0.5;0;1;1;7.2;5;7.43881574053411e-05;0.96726921074165;0.0327307892583501;0.27144238637209;0.740608495127576;0.010042401249721;0.0909248055315471;0;0.909075194468453
BH-L5;min;20;0.15465301;3249;3245;4;25;7;12;6;8012;2010;4001.3347772962;11285;10887;398;3610;8037;122;10830;1160;0;9670;146;0;1.91936198493576;0.906769541655185;2.4070351758794;27.2110552763819;1;4;6;0.35;0;1;1;9.07547169811321;53;8.86132033673017e-05;0.964731945059814;0.0352680549401861;0.319893664155959;0.712184315463004;0.0108108108108108;0.107109879963066;0;0.892890120036934
BH-90-L0;min;20;0.19584867;1800;1714;86;8;3;2.53446827002523;4;539;139.790697674419;180.893541411001;13736;13142;594;1800;11962;160;11936;789;0;11147;142;0;1.73791496796738;0.869578450768528;0.855218855218855;20.0942760942761;1;1;0;0.05;0;0;1;14;1;7.28013977868375e-05;0.956755969714619;0.0432440302853815;0.131042516016308;0.87085032032615;0.011648223645894;0.0661025469168901;0;0.93389745308311
BH-90-L1;min;20;0.19584867;1800;1714;86;8;3;2.53446827002523;4;538;139.616279069767;180.597841730616;13721;13127;594;1800;11951;158;11924;789;0;11135;142;0;1.73806573864879;0.869505599146797;0.858585858585859;20.0740740740741;1;1;0;0.05;0;0;1;14;1;7.28809853509219e-05;0.956708694701552;0.0432913052984476;0.13118577363166;0.871000655928868;0.0115151956854457;0.0661690707816169;0;0.933830929218383
BH-90-L2;min;20;0.19584867;1779;1712;67;9;2;1.80906806746658;4;4376;166.850746268657;607.325239952011;12891;12313;578;1800;11151;141;11436;828;0;10608;131;0;1.774261112404;0.883943799236579;0.955017301038062;19.7854671280277;1;2;0;0.15;0;1;1;10;1;7.75735008920953e-05;0.955162516484369;0.0448374835156311;0.139632301605771;0.865022108447754;0.0109378636257854;0.0724029380902413;0;0.927597061909759
BH-90-L3;min;20;0.19584867;1759;1710;49;14;1.51020408163265;1.88328667692494;4;7911;185.102040816327;1126.86904453775;10780;10249;531;1800;9065;108;10057;881;0;9176;130;0;1.86586270871985;0.912284125280515;1.33145009416196;18.939736346516;1;1;0;0.05;0;0;1;13;5;9.27643784786642e-05;0.950742115027829;0.0492578849721707;0.166975881261596;0.840909090909091;0.0100185528756957;0.087600676145968;0;0.912399323854032
BH-90-L4;min;20;0.19584867;1721;1686;35;26;1.8;4.22039864300546;4;6767;210.742857142857;1140.90243803282;9062;8570;492;1798;7371;96;8957;999;0;7958;128;0;1.97682630765835;0.93757292882147;1.8739837398374;18.2052845528455;1;5;9;0.95;0;1;1;10.6666666666667;9;0.000110350915912602;0.945707349371;0.0542926506290002;0.198410946810859;0.81339660119179;0.0105936879276098;0.11153287931227;0;0.88846712068773
BH-90-L5;min;20;0.19584867;1633;1621;12;22;2.75;6.06217782649107;4;5826;493.25;1679.38365993978;7540;7095;445;1792;5919;90;8236;1085;0;7151;126;0;2.18461538461538;0.998026779422128;2.59550561797753;18.5078651685393;1;5;18;0.9;0;1;1;12.3;40;0.00013262599469496;0.940981432360743;0.0590185676392573;0.237665782493369;0.785013262599469;0.0119363395225464;0.131738708110733;0;0.868261291889267
BL-L0;min;20;0.1134177;1820;1737;83;7;2.65060240963855;1.92818463175611;3;337;84.855421686747;94.8827431083178;8780;8355;425;1820;7004;139;6960;523;0;6437;115;0;1.58542141230068;0.792100538599641;0.804705882352941;16.3764705882353;1;1;0;0.05;0;0;1;5;1;0.000113895216400911;0.951594533029613;0.0484054669703872;0.207289293849658;0.797722095671982;0.0158314350797267;0.0751436781609195;0;0.924856321839081
BL-L1;min;20;0.1134177;1820;1737;83;7;2.65060240963855;1.92818463175611;3;337;84.855421686747;94.8827431083178;8780;8355;425;1820;7004;139;6960;523;0;6437;115;0;1.58542141230068;0.792100538599641;0.804705882352941;16.3764705882353;1;1;0;0.05;0;0;1;5;1;0.000113895216400911;0.951594533029613;0.0484054669703872;0.207289293849658;0.797722095671982;0.0158314350797267;0.0751436781609195;0;0.924856321839081
BL-L2;min;20;0.1134177;1814;1736;78;8;2.55128205128205;1.91811213935843;3;1139;90.0512820512821;150.325006986887;8760;8336;424;1820;6985;138;6952;524;0;6428;115;0;1.58721461187215;0.792826295585413;0.808962264150943;16.3962264150943;1;1;0;0.05;0;0;1;5;1;0.000114155251141553;0.951598173515982;0.0484018264840183;0.207762557077626;0.797374429223744;0.0157534246575342;0.0753739930955121;0;0.924626006904488
BL-L3;min;20;0.1134177;1775;1728;47;10;1.68085106382979;1.57571768298329;3;5400;145.276595744681;784.160495498978;8556;8133;423;1818;6794;137;6871;546;0;6325;115;0;1.60612435717625;0.798475347350301;0.891252955082742;16.2434988179669;1;1;0;0.05;0;0;1;5;1;0.000116877045348294;0.950561009817672;0.0494389901823282;0.212482468443198;0.794062646096307;0.0160121552127162;0.0794644156600204;0;0.92053558433998
BL-L4;min;20;0.1134177;1732;1702;30;14;1.5;2.37443278163075;3;5921;209.366666666667;1078.79097343638;7983;7572;411;1812;6264;130;6689;589;0;6100;124;0;1.67581109858449;0.822239830956154;1.12652068126521;16.2749391727494;1;2;3;0.15;0;1;1;2;1;0.000125266190655142;0.948515595640737;0.0514844043592634;0.226982337467118;0.784667418263811;0.0162846047851685;0.0880550156974137;0;0.911944984302586
BL-L5;min;20;0.1134177;1637;1623;14;24;2.71428571428571;6.13224229824586;3;5246;384.214285714286;1399.32990438948;7002;6612;390;1785;5365;123;6487;732;0;5755;116;0;1.85289917166524;0.884603750756201;1.63589743589744;16.6333333333333;1;3;0;0.15;0;1;1;8.125;8;0.000142816338189089;0.944301628106255;0.0556983718937446;0.254927163667524;0.766209654384462;0.0175664095972579;0.112841066748882;0;0.887158933251118
BL-45-L0;min;20;0.1728769;900;838;62;8;3.5;2.34520787991171;3;284;100.951612903226;95.9857276650476;7097;6619;478;900;6213;146;6197;485;0;5712;105;0;1.7463717063548;0.873394772624263;0.870292887029289;12.9644351464435;1;1;25;0.1;0;1;1;7;1;0.000140904607580668;0.932647597576441;0.0673524024235592;0.126814146822601;0.87544032689869;0.0205720727067775;0.0782636759722446;0;0.921736324027755
BL-45-L1;min;20;0.1728769;900;838;62;8;3.5;2.34520787991171;3;284;100.935483870968;95.9552270879483;7096;6618;478;900;6212;146;6196;485;0;5711;104;0;1.74633596392334;0.873375642187972;0.870292887029289;12.9623430962343;1;1;25;0.1;0;1;1;7;1;0.000140924464487035;0.932638105975197;0.0673618940248027;0.126832018038331;0.875422773393461;0.0205749718151071;0.078276307295029;0;0.921723692704971
BL-45-L2;min;20;0.1728769;895;838;57;8;3.2280701754386;2.22820831178365;3;1004;107.19298245614;166.806607289966;6948;6473;475;900;6070;143;6096;491;0;5605;99;0;1.75474956822107;0.876255213965704;0.892631578947368;12.8336842105263;1;1;20;0.1;0;1;1;7;1;0.000143926309729419;0.931635002878526;0.0683649971214738;0.129533678756477;0.873632700057571;0.0205814622913069;0.0805446194225722;0;0.919455380577428
BL-45-L3;min;20;0.1728769;873;837;36;12;2.44444444444444;2.33537325795434;3;3683;151.416666666667;608.428578975615;6288;5829;459;900;5437;129;5728;527;0;5201;99;0;1.82188295165394;0.90152684851604;1.03050108932462;12.479302832244;1;2;18;0.15;0;1;1;8.66666666666667;3;0.000159033078880407;0.927003816793893;0.0729961832061069;0.143129770992366;0.864662849872774;0.0205152671755725;0.0920041899441341;0;0.907995810055866
BL-45-L4;min;20;0.1728769;850;830;20;21;2.45;4.45415240918073;3;4175;231.2;928.653615102049;5454;5022;432;898;4616;121;5307;579;0;4728;91;0;1.94609460946095;0.926125049780964;1.51851851851852;12.2847222222222;1;1;11;0.1;0;1;1;17.25;4;0.000183351668500183;0.920792079207921;0.0792079207920792;0.164649798313165;0.846351301796846;0.0221855518885222;0.109101187111362;0;0.890898812888638
BL-45-L5;min;20;0.1728769;817;808;9;21;3.22222222222222;6.66666666666667;3;3669;417.333333333333;1219.39359929434;4564;4161;403;892;3752;109;4903;687;0;4216;84;0;2.14855390008764;0.989665945686133;1.94789081885856;12.166253101737;1;2;12;0.2;0;1;1;11.4;5;0.000219106047326906;0.911700262927257;0.0882997370727432;0.1954425942156;0.822085889570552;0.0238825591586328;0.140118294921477;0;0.859881705078523
