PATH;ORIGIN_ITER;ORIGIN_CONFIG_ID;DESTINY_ITER;DESTINY_CONFIG_ID
FALSE;1;6;1;6
FALSE;1;58;1;58
FALSE;1;85;1;85
TRUE;1;85;2;85
TRUE;1;58;2;58
TRUE;1;6;2;6
TRUE;1;6;2;94
TRUE;1;6;2;101
TRUE;1;85;2;106
TRUE;1;58;2;162
TRUE;2;58;3;162
TRUE;2;85;3;85
TRUE;2;85;3;106
TRUE;2;6;3;94
TRUE;2;6;3;101
TRUE;2;162;3;190
TRUE;2;162;3;207
TRUE;2;162;3;221
TRUE;2;162;3;248
TRUE;3;162;4;190
TRUE;3;162;4;207
TRUE;3;162;4;162
TRUE;3;162;4;221
TRUE;3;162;4;248
TRUE;3;162;4;342
TRUE;3;207;4;346
TRUE;4;162;5;342
TRUE;4;162;5;190
TRUE;4;207;5;346
TRUE;4;162;5;162
TRUE;4;162;5;221
TRUE;4;346;5;369
TRUE;4;190;5;424
TRUE;5;162;6;190
TRUE;5;190;6;424
TRUE;5;346;6;369
TRUE;5;162;6;342
TRUE;5;346;6;346
TRUE;5;190;6;433
TRUE;5;190;6;485
TRUE;5;424;6;493
TRUE;6;190;7;433
TRUE;6;190;7;485
TRUE;6;190;7;424
TRUE;6;424;7;493
TRUE;6;346;7;369
TRUE;6;485;7;534
TRUE;6;493;7;536
TRUE;6;485;7;564
TRUE;6;433;7;578
TRUE;6;433;7;584
TRUE;7;485;8;564
TRUE;7;433;8;578
TRUE;7;493;8;536
TRUE;7;485;8;534
TRUE;7;433;8;584
TRUE;7;536;8;613
TRUE;7;534;8;652
TRUE;7;578;8;657
TRUE;8;536;9;613
TRUE;8;578;9;657
TRUE;8;564;9;564
TRUE;8;534;9;534
TRUE;8;534;9;652
TRUE;8;657;9;679
TRUE;9;613;10;613
TRUE;9;534;10;652
TRUE;9;657;10;657
TRUE;9;564;10;564
TRUE;9;657;10;679
TRUE;9;657;10;680
TRUE;10;657;11;657
TRUE;10;613;11;613
TRUE;10;652;11;652
TRUE;10;564;11;564
TRUE;10;657;11;680
TRUE;10;657;11;683
