CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
55;TRUE;ras;3;3.39;4.6;0.46;46;NA;24;NA;18;0
10;TRUE;mmas;3;1.75;7.26;0.6;29;NA;NA;NA;29;1
18;TRUE;mmas;3;4.1;3.82;0.32;92;NA;NA;NA;50;0
21;TRUE;acs;3;0.97;7.57;0.94;8;0.95;NA;NA;33;0
48;TRUE;as;3;3.86;0.54;0.05;19;NA;NA;NA;19;1
153;TRUE;acs;3;3.42;6.25;0.12;50;0.6;NA;NA;22;0
131;TRUE;acs;2;3.13;3.59;0.34;55;0.04;NA;NA;42;0
155;TRUE;acs;3;2.7;7;0.42;57;0.4;NA;NA;21;0
140;TRUE;acs;3;2.01;9.98;0.4;12;0.71;NA;NA;14;0
126;TRUE;mmas;3;1.22;4.05;0.63;27;NA;NA;NA;28;0
239;TRUE;acs;3;3.69;3.84;0.09;51;0.33;NA;NA;15;1
194;TRUE;acs;3;3.9;8.78;0.48;43;0.4;NA;NA;10;0
258;TRUE;acs;3;2.48;7.1;0.24;27;0.3;NA;NA;22;0
265;TRUE;acs;3;3.05;6.89;0.21;43;0.4;NA;NA;18;1
336;TRUE;acs;3;3.18;3.66;0.15;44;0.42;NA;NA;11;1
317;TRUE;acs;3;3.64;5.97;0.24;58;0.34;NA;NA;14;1
297;TRUE;acs;3;3.52;2.01;0.37;59;0.3;NA;NA;12;1
431;TRUE;acs;3;3.55;7.75;0.4;54;0.35;NA;NA;21;1
367;TRUE;acs;3;3.04;6.37;0.32;52;0.25;NA;NA;11;1
359;TRUE;acs;3;3.78;4.51;0.26;62;0.56;NA;NA;12;1
369;TRUE;acs;3;3.75;5.54;0.15;54;0.51;NA;NA;12;1
365;TRUE;acs;3;2.41;1.97;0.3;52;0.61;NA;NA;15;1
443;TRUE;acs;3;4;5.24;0.11;53;0.38;NA;NA;11;1
516;TRUE;acs;3;3.41;6.45;0.29;55;0.17;NA;NA;13;1
546;TRUE;acs;3;3.88;4.78;0.16;51;0.36;NA;NA;10;1
574;TRUE;acs;3;3.23;6.29;0.27;55;0.22;NA;NA;14;1
579;TRUE;acs;3;4.01;4.99;0.14;51;0.23;NA;NA;12;1
563;TRUE;acs;3;4.14;4.86;0.15;53;0.24;NA;NA;10;1
