CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
17;TRUE;FALSE;ras;3;2.32;0.05;0.64;26;NA;39;NA;38;0;17;17
46;TRUE;FALSE;acs;3;4.59;7.08;0.25;39;0.01;NA;NA;25;0;46;46
104;TRUE;FALSE;mmas;3;2.53;3.14;0.26;25;NA;NA;NA;13;0;104;104
107;TRUE;FALSE;acs;3;4.97;7.02;0.58;66;0.16;NA;NA;25;0;107;107
114;TRUE;FALSE;acs;3;4.33;5.65;0.25;56;0.22;NA;NA;18;0;114;114
177;TRUE;FALSE;acs;3;4.81;7.3;0.21;52;0.39;NA;NA;45;1;177;177
207;TRUE;FALSE;acs;3;4.88;5.87;0.39;66;0.13;NA;NA;20;0;207;207
233;TRUE;FALSE;acs;3;3.91;7.52;0.44;56;0.03;NA;NA;38;0;233;233
302;TRUE;FALSE;acs;3;4.45;8.62;0.51;61;0.13;NA;NA;18;0;302;302
303;TRUE;FALSE;acs;3;3.75;3.58;0.3;52;0.24;NA;NA;20;0;303;303
304;TRUE;FALSE;acs;3;4.18;7.63;0.13;48;0.54;NA;NA;36;1;304;304
305;TRUE;FALSE;acs;3;3.91;6.06;0.22;53;0.52;NA;NA;46;1;305;305
355;TRUE;FALSE;acs;3;4.36;6.34;0.29;54;0.2;NA;NA;13;0;355;355
365;TRUE;FALSE;acs;3;4.6;9.1;0.56;64;0.16;NA;NA;17;0;365;365
374;TRUE;FALSE;acs;3;3.6;4.56;0.28;53;0.21;NA;NA;19;0;374;374
413;TRUE;FALSE;acs;3;4.2;8.43;0.66;63;0.15;NA;NA;19;0;413;413
479;TRUE;FALSE;acs;3;4.27;7.19;0.27;56;0.25;NA;NA;13;0;479;479
505;TRUE;FALSE;acs;3;4.29;5.62;0.17;52;0.32;NA;NA;15;0;505;505
506;TRUE;FALSE;acs;3;4.45;6.97;0.25;58;0.13;NA;NA;11;0;506;506
534;TRUE;FALSE;acs;3;4.15;7.14;0.28;56;0.21;NA;NA;11;0;534;534
542;TRUE;FALSE;acs;3;4.23;9.51;0.74;63;0.18;NA;NA;17;0;542;542
547;TRUE;FALSE;acs;3;4.32;7.32;0.34;56;0.28;NA;NA;12;0;547;547
629;TRUE;FALSE;acs;3;4.28;7.62;0.35;54;0.27;NA;NA;13;0;629;629
639;TRUE;TRUE;acs;3;4.19;7.01;0.25;54;0.27;NA;NA;14;0;639;639
646;TRUE;FALSE;acs;3;4.01;7.08;0.28;57;0.26;NA;NA;14;0;646;646
652;TRUE;FALSE;acs;3;4.38;7.71;0.27;58;0.28;NA;NA;11;0;652;652
