CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
66;32183289;32578670.05;40;2;7.575;0.0555555555555556;0.365277777777778;0.0109398731047835;0.180440835930228;2;7.575;0.0555555555555556;0.365277777777778
10;32226119;32672243.2;40;8;16.025;0.388888888888889;0.834722222222222;0.140343877302585;0.46799850414623;8;16.025;0.388888888888889;0.834722222222222
23;32184268;32599554.55;40;1;9.9;0;0.494444444444444;0;0.244444707594376;1;9.9;0;0.494444444444444
97;32129941;32563911;40;1;5.75;0;0.263888888888889;0;0.134940894638532;1;5.75;0;0.263888888888889
155;32183213;32589409.275;40;1;8.925;0;0.440277777777778;0;0.213370153867523;1;8.925;0;0.440277777777778
164;32339463;32734217.875;40;3;17.525;0.111111111111111;0.918055555555556;0.118406939439372;0.658378574882726;3;17.525;0.111111111111111;0.918055555555556
244;32156326;32576597.05;40;1;7.35;0;0.352777777777778;0;0.173998043578152;1;7.35;0;0.352777777777778
182;32173139;32602787.35;40;1;10.075;0;0.504166666666667;0;0.254305903010276;1;10.075;0;0.504166666666667
321;32244584;32606287.825;40;1;10.55;0;0.530555555555556;0;0.265223804141744;1;10.55;0;0.530555555555556
294;32194108;32580115.35;40;1;7.55;0;0.363888888888889;0;0.184605585299044;1;7.55;0;0.363888888888889
319;32216341;32604320;40;1;10.225;0;0.5125;0;0.258998298554385;1;10.225;0;0.5125
286;32126680;32598344.225;40;2;9.375;0.0555555555555556;0.465277777777778;0.0242092467152966;0.240715797273528;2;9.375;0.0555555555555556;0.465277777777778
393;32219292;32577634.625;40;1;7.6;0;0.366666666666667;0;0.17711008716874;1;7.6;0;0.366666666666667
435;32103609;32569775.725;40;1;6.9;0;0.327777777777778;0;0.152863766563594;1;6.9;0;0.327777777777778
382;32177337;32582126.075;40;1;8.025;0;0.390277777777778;0;0.19100044914955;1;8.025;0;0.390277777777778
434;32164226;32563313.025;40;1;6.125;0;0.284722222222222;0;0.133166531114036;1;6.125;0;0.284722222222222
474;32203196;32616019.125;40;4;12;0.166666666666667;0.611111111111111;0.0844600755901042;0.29507894235565;4;12;0.166666666666667;0.611111111111111
461;32256595;32608593.375;40;1;11.1;0;0.561111111111111;0;0.272268473071211;1;11.1;0;0.561111111111111
447;32218818;32874992.6;40;6;17.425;0.277777777777778;0.9125;0.117656545618363;1.09176123855627;6;17.425;0.277777777777778;0.9125
