CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
10;32641133;32797654.25;8;112;185.25;0.272727272727273;0.477897618128065;0.573421438585747;0.726023026045945;112;185.25;0.272727272727273;0.477897618128065;0.796496030213442
40;32504618;32775719;8;77;171.625;0.186732186732187;0.412473757958594;0.462063174253936;0.657969196445282;77;171.625;0.186732186732187;0.412473757958594;0.687456263264324
82;32613988;32789196.125;8;37;173.5;0.0884520884520884;0.438308242149501;0.359869687827886;0.700207824579065;37;173.5;0.0884520884520884;0.438308242149501;0.730513736915835
118;32519693;32761892.75;8;82;156.75;0.199017199017199;0.409278840912944;0.402886609804659;0.615728826431665;82;156.75;0.199017199017199;0.409278840912944;0.682131401521574
145;32468340;32745077.8;10;62;140.5;0.11275415896488;0.459504111366433;0.378944331173985;0.580782191983545;62;140.5;0.11275415896488;0.459504111366433;0.727548176330186
235;32371273;32677836.5833333;12;2;98.1666666666667;0.00245700245700246;0.364887263378547;0.101975438317599;0.4730579376318;2;98.1666666666667;0.00245700245700246;0.364887263378547;0.547330895067821
252;32461070;32681825.2857143;14;29;85.2857142857143;0.088724584103512;0.279469862797493;0.239718431782877;0.42549339958592;29;85.2857142857143;0.088724584103512;0.279469862797493;0.395915638963115
300;32437441;32679235.5714286;14;6;84.1428571428571;0.0229357798165138;0.280275808104077;0.133991193042537;0.417462178178076;6;84.1428571428571;0.0229357798165138;0.280275808104077;0.397057394814109
302;32329169;32678952;12;25;101.25;0.103194103194103;0.342609226306201;0.197586164778221;0.476389348100832;25;101.25;0.103194103194103;0.342609226306201;0.513913839459302
316;32461745;32679233.1666667;12;12;110.5;0.0412844036697248;0.359911237852501;0.207671114546241;0.47756281245201;12;110.5;0.0412844036697248;0.359911237852501;0.539866856778752
348;32371555;32687938.7857143;14;19;98.8571428571429;0.033271719038817;0.347998701117646;0.240662299410657;0.443887160497357;19;98.8571428571429;0.033271719038817;0.347998701117646;0.492998159916665
403;32201681;32622948.875;16;5;66.75;0.0186046511627907;0.257348540734418;0.137846665692461;0.382534113857118;5;66.75;0.0186046511627907;0.257348540734418;0.343131387645891
426;32455119;32682202.4285714;14;4;84.9285714285714;0.00533807829181495;0.276335822243563;0.111874569027848;0.426637072981132;4;84.9285714285714;0.00533807829181495;0.276335822243563;0.391475748178382
449;32127317;32623082;16;2;76.1875;0.00900900900900901;0.256772522806936;0.112057582903452;0.38264504204958;2;76.1875;0.00900900900900901;0.256772522806936;0.342363363742581
464;32157258;32613352.875;16;1;60.9375;0;0.288790773688667;0.00879226876310161;0.353065807198709;1;60.9375;0;0.288790773688667;0.385054364918223
490;32209248;32619500.0625;16;1;61.875;0;0.273181841849764;0.0854298440378707;0.372233911440657;1;61.875;0;0.273181841849764;0.364242455799685
508;32171692;32616004.875;16;1;59.875;0;0.294837670678799;0.0351274279319422;0.361387721101771;1;59.875;0;0.294837670678799;0.393116894238398
626;32099985;32620569.85;20;5;43.8;0.00854700854700855;0.249806991361395;0.146754873025178;0.333293370461846;5;43.8;0.00854700854700855;0.249806991361395;0.291441489921627
634;32094887;32614299.6666667;24;1;32.125;0;0.265125703989742;0.0937473771274834;0.298688739682568;1;32.125;0;0.265125703989742;0.265125703989742
647;32072146;32625097;20;4;55.35;0.013953488372093;0.263025774103152;0.0956489264047145;0.346949380503619;4;55.35;0.013953488372093;0.263025774103152;0.306863403120344
654;32043416;32618460.3;20;3;50;0.00597014925373134;0.243679718387703;0.14942989826259;0.326557867843261;3;50;0.00597014925373134;0.243679718387703;0.284293004785653
668;32153508;32618256.45;20;2;49.4;0.0045045045045045;0.266276492145271;0.108524859989476;0.32628638953016;2;49.4;0.0045045045045045;0.266276492145271;0.310655907502816
723;32173512;32616771.1666667;24;1;35.875;0;0.282372992586495;0.0979461775140053;0.306239883949586;1;35.875;0;0.282372992586495;0.282372992586495
744;32065064;32618103;24;3;35.7083333333333;0.0260869565217391;0.278817742214746;0.101605954137732;0.310191532322983;3;35.7083333333333;0.0260869565217391;0.278817742214746;0.278817742214746
759;32033147;32607979.375;24;1;29.75;0;0.195043978371563;0;0.278961550940924;1;29.75;0;0.195043978371563;0.195043978371563
778;32103230;32615783.4166667;24;2;37.75;0.0163934426229508;0.232878051677166;0.121185255300297;0.303342119597505;2;37.75;0.0163934426229508;0.232878051677166;0.232878051677166
804;32195558;32621795.7916667;24;1;37.5833333333333;0;0.305879596417649;0.0507153866716665;0.321923946881526;1;37.5833333333333;0;0.305879596417649;0.305879596417649
