CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
78;TRUE;acs;3;3.02;9.87;0.79;38;0.21;NA;NA;37;1
58;TRUE;acs;3;2.28;4.95;0.58;46;0.66;NA;NA;44;1
133;TRUE;mmas;3;3.78;1.16;0.13;31;NA;NA;NA;20;1
12;TRUE;mmas;3;2.51;6.98;0.47;29;NA;NA;NA;8;0
32;TRUE;acs;2;1.42;1.67;0.44;20;0.61;NA;NA;35;0
195;TRUE;acs;3;1.57;1.62;0.4;32;0.3;NA;NA;16;1
218;TRUE;acs;3;2.67;6.26;0.36;27;0.5;NA;NA;13;1
283;TRUE;acs;3;1.52;6.37;0.52;43;0.47;NA;NA;20;1
286;TRUE;acs;3;3.6;6.81;0.79;31;0.16;NA;NA;29;1
465;TRUE;acs;3;2.74;5.12;0.08;35;0.43;NA;NA;11;1
423;TRUE;acs;3;1.9;5.6;0.49;45;0.6;NA;NA;8;1
588;TRUE;acs;3;2.08;4.57;0.33;35;0.29;NA;NA;9;1
586;TRUE;acs;3;2.74;3.37;0.1;44;0.55;NA;NA;14;1
534;TRUE;acs;3;2.13;7.4;0.43;43;0.4;NA;NA;10;1
575;TRUE;acs;3;2.61;5.25;0.12;44;0.38;NA;NA;9;1
504;TRUE;acs;3;2.79;3.05;0.17;50;0.69;NA;NA;15;1
683;TRUE;acs;3;3.31;4.21;0.03;37;0.67;NA;NA;12;1
725;TRUE;acs;3;2.17;4.97;0.31;44;0.3;NA;NA;9;1
886;TRUE;acs;3;2.62;5.86;0.3;52;0.24;NA;NA;11;1
854;TRUE;acs;3;2.2;5.62;0.32;45;0.31;NA;NA;10;1
911;TRUE;acs;3;1.95;4.71;0.27;36;0.21;NA;NA;10;1
913;TRUE;acs;3;2.73;5.75;0.37;51;0.17;NA;NA;13;1
915;TRUE;acs;3;2.2;5.33;0.32;46;0.4;NA;NA;9;1
