CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
4;TRUE;FALSE;acs;3;2.42;6.24;0.36;35;0.65;NA;NA;42;1;4;4
163;TRUE;FALSE;acs;3;2.08;6.28;0.76;19;0.16;NA;NA;23;0;163;163
179;TRUE;FALSE;acs;3;4.43;4.71;0.11;58;0.82;NA;NA;10;1;179;179
201;TRUE;FALSE;acs;3;2.78;8.18;0.97;20;0.21;NA;NA;20;0;201;201
209;TRUE;FALSE;acs;3;4.05;4.75;0.44;20;0.49;NA;NA;23;0;209;209
232;TRUE;FALSE;acs;3;3.31;6.23;0.08;19;0.87;NA;NA;25;0;232;232
380;TRUE;FALSE;acs;3;2.76;3.17;0.48;42;0.41;NA;NA;29;0;380;380
410;TRUE;FALSE;mmas;3;3.23;5.81;0.21;19;NA;NA;NA;38;0;410;410
423;TRUE;FALSE;acs;3;2.01;7.32;0.97;42;0.34;NA;NA;26;0;423;423
430;TRUE;FALSE;acs;3;4.66;3.46;0.19;62;0.86;NA;NA;11;0;430;430
437;TRUE;FALSE;acs;3;2.39;5.31;0.1;20;0.68;NA;NA;26;0;437;437
506;TRUE;FALSE;acs;3;1.94;7.21;0.15;15;0.75;NA;NA;21;0;506;506
587;TRUE;FALSE;acs;3;2.12;4.7;0.16;31;0.47;NA;NA;29;0;587;587
608;TRUE;FALSE;acs;3;2;3.8;0.15;19;0.5;NA;NA;13;0;608;608
640;TRUE;TRUE;acs;3;2.21;2.84;0.14;29;0.44;NA;NA;22;0;640;640
689;TRUE;FALSE;acs;3;1.89;6.12;0.14;29;0.77;NA;NA;22;0;689;689
695;TRUE;FALSE;acs;3;2.1;5.17;0.18;27;0.45;NA;NA;23;0;695;695
799;TRUE;FALSE;acs;3;2.38;3.19;0.08;26;0.43;NA;NA;22;0;799;799
845;TRUE;FALSE;mmas;3;3.13;5.44;0.19;20;NA;NA;NA;39;0;845;845
