CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
1;TRUE;FALSE;ras;3;2.69;2.81;0.48;31;NA;8;NA;21;1;1;1
15;TRUE;FALSE;acs;3;4.25;8.43;0.54;25;0.8;NA;NA;36;1;15;15
45;TRUE;FALSE;mmas;3;4.8;3.28;0.28;77;NA;NA;NA;46;1;45;45
53;TRUE;FALSE;acs;3;3.26;6.74;0.47;16;0.72;NA;NA;35;1;53;53
55;TRUE;FALSE;acs;3;4.65;4.91;0.76;64;0.14;NA;NA;18;1;55;55
68;TRUE;FALSE;acs;3;4.68;7.44;0.7;7;0.44;NA;NA;45;0;68;68
74;TRUE;FALSE;acs;3;3.92;5;0.78;64;0.87;NA;NA;40;1;74;74
98;TRUE;FALSE;acs;3;3.03;5.98;0.58;63;0.36;NA;NA;25;1;98;98
100;TRUE;FALSE;ras;3;2.45;1.43;0.39;48;NA;5;NA;31;0;100;100
114;TRUE;FALSE;acs;3;3.4;6.43;0.61;55;0.12;NA;NA;8;0;114;114
132;TRUE;FALSE;ras;3;3.23;1.14;0.45;63;NA;17;NA;35;0;132;132
142;TRUE;FALSE;acs;3;3.74;5.58;0.55;60;0.15;NA;NA;10;0;142;142
152;TRUE;FALSE;acs;3;2.47;7.46;0.75;58;0.31;NA;NA;12;0;152;152
153;TRUE;FALSE;acs;3;3.05;5.7;0.84;62;0.36;NA;NA;27;1;153;153
168;TRUE;FALSE;ras;3;2.72;0.72;0.31;33;NA;17;NA;36;0;168;168
169;TRUE;FALSE;acs;3;4.06;5.45;0.66;65;0.29;NA;NA;8;0;169;169
197;TRUE;FALSE;acs;3;3.82;6.01;0.38;61;0.16;NA;NA;16;0;197;197
199;TRUE;FALSE;acs;3;2.99;9.08;0.73;54;0.42;NA;NA;12;0;199;199
214;TRUE;FALSE;acs;3;4.32;3.92;0.45;65;0.25;NA;NA;12;0;214;214
222;TRUE;FALSE;acs;3;4.24;6.27;0.58;69;0.38;NA;NA;11;0;222;222
243;TRUE;FALSE;acs;3;3.48;8.29;0.65;61;0.34;NA;NA;8;0;243;243
244;TRUE;FALSE;acs;3;4.15;6.21;0.34;57;0.14;NA;NA;15;0;244;244
246;TRUE;FALSE;acs;3;4.8;6.11;0.34;65;0.25;NA;NA;19;0;246;246
288;TRUE;FALSE;acs;3;3.7;9.25;0.55;59;0.32;NA;NA;8;0;288;288
296;TRUE;FALSE;acs;3;4.54;6.41;0.62;67;0.47;NA;NA;10;0;296;296
302;TRUE;TRUE;acs;3;4.57;5.63;0.23;58;0.14;NA;NA;15;0;302;302
306;TRUE;FALSE;acs;3;4.13;6.25;0.58;68;0.46;NA;NA;13;0;306;306
326;TRUE;FALSE;acs;3;3.39;9.46;0.49;52;0.41;NA;NA;9;0;326;326
