CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
5;32286692;32634198.375;8;44;73.75;0.19634703196347;0.39486266028588;0.333482105785361;0.487492379819776;44;73.75;0.19634703196347;0.39486266028588;0.652381786559281
11;32312396;32669744.8571429;7;44;91.4285714285714;0.2;0.427943746683674;0.377485100463202;0.528251401822334;44;91.4285714285714;0.2;0.427943746683674;0.725643744376665
15;32257516;32663349.25;8;32;90.125;0.172222222222222;0.462352717078274;0.271029279312534;0.577146089069591;32;90.125;0.172222222222222;0.462352717078274;0.763887097781496
17;32275745;32681896;7;11;99.2857142857143;0.053475935828877;0.440542808378579;0.13256465405855;0.566096012887559;11;99.2857142857143;0.053475935828877;0.440542808378579;0.747007370728895
40;32319057;32677539.8571429;7;61;96.7142857142857;0.277777777777778;0.457741274833722;0.396728700853098;0.55325254804906;61;96.7142857142857;0.277777777777778;0.457741274833722;0.776169987761529
47;32272706;32655365.25;8;42;94.625;0.227777777777778;0.462922063779208;0.318246707175013;0.552413272629982;42;94.625;0.227777777777778;0.462922063779208;0.764827757548257
67;32292238;32664480.75;8;39;93.25;0.17351598173516;0.470908162395608;0.312693561174782;0.580034608110525;39;93.25;0.17351598173516;0.470908162395608;0.778022181349265
73;32305573;32639324.75;8;51;85.375;0.228310502283105;0.427101533658621;0.355667693557469;0.5033923137196;51;85.375;0.228310502283105;0.427101533658621;0.705646012131635
95;32258289;32603940.5882353;17;9;37.1176470588235;0.0584795321637427;0.292790758788956;0.171382744953235;0.308763490421175;9;37.1176470588235;0.0584795321637427;0.292790758788956;0.369170956733902
104;32214804;32611480.8666667;15;5;52.9333333333333;0.0319634703196347;0.34779636112652;0.160886443073914;0.365917630897917;5;52.9333333333333;0.0319634703196347;0.34779636112652;0.468769008474875
106;32289595;32581850;10;13;64.5;0.0547945205479452;0.348472031984678;0.20410165008315;0.409498111616946;13;64.5;0.0547945205479452;0.348472031984678;0.545434484845584
112;32257217;32623632;12;6;54.8333333333333;0.0206611570247934;0.372693671256172;0.109334668330493;0.405111676243042;6;54.8333333333333;0.0206611570247934;0.372693671256172;0.550938470552602
133;32241099;32597365.2666667;15;6;42.2;0.015625;0.282671352240609;0.119380746274471;0.322478683724315;6;42.2;0.015625;0.282671352240609;0.380991822585169
141;32245680;32622693.6666667;12;16;60.25;0.13903743315508;0.333139809932165;0.190058062446342;0.40249795778418;16;60.25;0.13903743315508;0.333139809932165;0.492467545117113
179;32251076;32626140.1052632;19;1;29.5789473684211;0;0.27882294782824;0.0991854143170728;0.291279375795637;1;29.5789473684211;0;0.27882294782824;0.327313895276629
184;32294494;32609219.2307692;13;10;53.4615384615385;0.0418604651162791;0.336526404307965;0.140942071966995;0.377621985436454;10;53.4615384615385;0.0418604651162791;0.336526404307965;0.482842232267949
215;32202994;32643777.6086957;23;1;24.1739130434783;0;0.261586422108737;0;0.246717340446772;1;24.1739130434783;0;0.261586422108737;0.261586422108737
224;32228704;32631915.4736842;19;12;35.7368421052632;0.0604651162790698;0.299045861787282;0.181468480657252;0.308739667512155;12;35.7368421052632;0.0604651162790698;0.299045861787282;0.351053837750287
231;32226081;32633099.9473684;19;1;35.7368421052632;0;0.311483806715684;0;0.312269114014133;1;35.7368421052632;0;0.311483806715684;0.365654903535803
280;32200226;32639019.3333333;21;2;30.1904761904762;0.00462962962962963;0.28419047096573;0.0921071779982284;0.277769340053383;2;30.1904761904762;0.00462962962962963;0.28419047096573;0.308902685832316
314;32264468;32632663;21;2;28.4285714285714;0.0087719298245614;0.228811036501696;0.0723519347634638;0.258595254998749;2;28.4285714285714;0.0087719298245614;0.228811036501696;0.248707648371409
320;32266588;32645027.1304348;23;2;20.5217391304348;0.00465116279069767;0.260435235631302;0.0926129080613991;0.250652238450178;2;20.5217391304348;0.00465116279069767;0.260435235631302;0.260435235631302
326;32252156;32647359.6521739;23;3;23.7826086956522;0.0232558139534884;0.260884960853179;0.0455331026448798;0.257925809579233;3;23.7826086956522;0.0232558139534884;0.260884960853179;0.260884960853179
335;32170255;32649727.9130435;23;1;25.8695652173913;0;0.280064432195851;0.0147661745472182;0.265073169684904;1;25.8695652173913;0;0.280064432195851;0.280064432195851
345;32247108;32646198.8695652;23;1;22.3913043478261;0;0.288963586163439;0.0419652325173369;0.254267960528251;1;22.3913043478261;0;0.288963586163439;0.288963586163439
354;32251752;32644354.6956522;23;1;25.1739130434783;0;0.235686646643764;0.0115234156782367;0.248665694101971;1;25.1739130434783;0;0.235686646643764;0.235686646643764
362;32266466;32646171.1304348;23;1;31.0434782608696;0;0.282529128980468;0;0.25434385197193;1;31.0434782608696;0;0.282529128980468;0.282529128980468
