CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
45;TRUE;acs;3;4.7;7.15;0.43;43;0.3;NA;NA;17;1
29;TRUE;acs;3;3.52;2.93;0.88;87;0.94;NA;NA;8;0
14;TRUE;acs;2;3.99;8.86;0.6;18;0.47;NA;NA;15;0
76;TRUE;acs;3;4.05;8.05;0.39;28;0.44;NA;NA;36;0
71;TRUE;mmas;3;3;2.44;0.42;68;NA;NA;NA;34;0
111;TRUE;acs;3;2.76;5.84;0.97;31;0.3;NA;NA;14;1
108;TRUE;acs;3;3.21;2;0.79;76;0.97;NA;NA;7;0
121;TRUE;acs;3;2.88;1.78;0.61;57;0.64;NA;NA;14;0
109;TRUE;acs;3;3.9;4.52;0.9;61;0.76;NA;NA;13;0
124;TRUE;acs;3;3.55;4.07;0.94;70;0.58;NA;NA;18;0
153;TRUE;acs;3;2.19;5.43;0.76;33;0.28;NA;NA;18;1
143;TRUE;acs;3;2.18;5.69;0.87;48;0.48;NA;NA;11;1
138;TRUE;acs;3;1.31;3.78;0.89;12;0.29;NA;NA;11;1
148;TRUE;acs;3;3.49;3.51;0.65;24;0.27;NA;NA;15;1
196;TRUE;acs;3;1.88;5.54;0.86;51;0.41;NA;NA;13;1
195;TRUE;acs;3;1.73;5.25;0.93;42;0.43;NA;NA;13;1
193;TRUE;acs;3;1.92;6.46;0.83;46;0.33;NA;NA;21;1
176;TRUE;acs;3;1.12;5.04;0.79;25;0.33;NA;NA;12;1
238;TRUE;acs;3;1.79;5.57;0.72;46;0.29;NA;NA;12;1
234;TRUE;acs;3;2.1;5.76;0.88;58;0.45;NA;NA;10;1
209;TRUE;acs;3;2.01;6.63;0.83;43;0.42;NA;NA;16;1
222;TRUE;acs;3;1.58;5.94;0.92;43;0.49;NA;NA;10;1
256;TRUE;acs;3;1.53;4.49;0.74;35;0.26;NA;NA;13;1
269;TRUE;acs;3;1.61;5.44;0.81;47;0.43;NA;NA;11;1
310;TRUE;acs;3;1.47;4.38;0.7;33;0.24;NA;NA;12;1
