PATH;ORIGIN_ITER;ORIGIN_CONFIG_ID;DESTINY_ITER;DESTINY_CONFIG_ID
FALSE;1;4;1;4
FALSE;1;5;1;5
FALSE;1;10;1;10
FALSE;1;29;1;29
FALSE;1;29;2;29
FALSE;1;10;2;10
FALSE;1;5;2;5
FALSE;1;4;2;4
TRUE;1;29;2;63
TRUE;1;29;2;64
TRUE;2;29;3;63
TRUE;2;29;3;64
TRUE;2;63;3;120
TRUE;2;63;3;127
FALSE;3;64;4;64
FALSE;3;63;4;63
TRUE;3;63;4;127
TRUE;3;63;4;120
TRUE;3;120;4;138
TRUE;3;127;4;143
TRUE;3;64;4;165
TRUE;4;63;5;127
TRUE;4;127;5;143
TRUE;4;64;5;165
TRUE;4;120;5;138
TRUE;4;63;5;120
TRUE;4;165;5;176
TRUE;4;127;5;185
TRUE;4;138;5;189
TRUE;4;127;5;198
TRUE;5;127;6;185
TRUE;5;138;6;189
TRUE;5;127;6;198
FALSE;5;127;6;127
TRUE;5;165;6;176
TRUE;5;185;6;212
TRUE;5;189;6;223
TRUE;5;189;6;235
TRUE;5;189;6;236
TRUE;6;127;7;185
TRUE;6;189;7;236
TRUE;6;185;7;212
TRUE;6;189;7;223
TRUE;6;189;7;235
TRUE;6;236;7;286
TRUE;6;223;7;287
TRUE;6;185;7;289
TRUE;7;223;8;287
TRUE;7;185;8;289
FALSE;7;236;8;236
FALSE;7;185;8;185
TRUE;7;236;8;286
TRUE;7;289;8;298
