CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;TRUE;ras;3;2.69;2.81;0.48;31;NA;8;NA;21;1
15;TRUE;acs;3;4.25;8.43;0.54;25;0.8;NA;NA;36;1
45;TRUE;mmas;3;4.8;3.28;0.28;77;NA;NA;NA;46;1
53;TRUE;ras;3;3.08;1.71;0.25;56;NA;38;NA;48;0
27;TRUE;mmas;2;1.28;8.74;0.39;22;NA;NA;NA;46;1
113;TRUE;acs;3;2.17;0.77;0.42;39;0.13;NA;NA;13;1
227;TRUE;acs;3;2.2;1.03;0.35;27;0.23;NA;NA;14;1
182;TRUE;mmas;3;0.98;0.32;0.86;35;NA;NA;NA;12;1
185;TRUE;acs;3;2.33;3.78;0.72;23;0.63;NA;NA;15;1
229;TRUE;acs;3;3.28;2.09;0.47;33;0.14;NA;NA;10;1
289;TRUE;acs;3;4.23;2.52;0.45;65;0.4;NA;NA;9;1
297;TRUE;acs;3;2.3;2.36;0.39;37;0.33;NA;NA;10;1
307;TRUE;acs;3;1.91;3.08;0.38;33;0.21;NA;NA;16;1
409;TRUE;acs;3;3.89;4.44;0.49;66;0.52;NA;NA;12;1
377;TRUE;acs;3;1.91;3.48;0.62;52;0.33;NA;NA;10;1
366;TRUE;acs;3;2.5;2.82;0.4;50;0.23;NA;NA;9;1
400;TRUE;acs;3;1.74;3.7;0.41;34;0.26;NA;NA;13;1
423;TRUE;acs;3;3.49;5.36;0.51;63;0.44;NA;NA;16;1
452;TRUE;acs;3;3.92;3.98;0.47;70;0.49;NA;NA;10;1
