PATH;ORIGIN_ITER;ORIGIN_CONFIG_ID;DESTINY_ITER;DESTINY_CONFIG_ID
FALSE;1;1;1;1
FALSE;1;15;1;15
FALSE;1;45;1;45
FALSE;1;51;1;51
FALSE;1;53;1;53
TRUE;1;1;2;1
TRUE;1;45;2;45
TRUE;1;15;2;15
TRUE;1;53;2;53
TRUE;1;51;2;51
TRUE;1;1;2;100
TRUE;1;53;2;115
TRUE;1;53;2;132
TRUE;1;15;2;152
TRUE;2;15;3;152
TRUE;2;1;3;1
TRUE;2;1;3;100
TRUE;2;53;3;132
TRUE;2;53;3;115
TRUE;2;100;3;224
TRUE;2;100;3;227
TRUE;2;152;3;228
TRUE;3;100;4;224
TRUE;3;100;4;227
TRUE;3;1;4;1
TRUE;3;152;4;228
TRUE;3;152;4;152
TRUE;3;227;4;272
TRUE;3;1;4;297
TRUE;3;1;4;301
TRUE;3;227;4;303
TRUE;4;1;5;1
TRUE;4;1;5;301
TRUE;4;227;5;272
TRUE;4;1;5;297
TRUE;4;227;5;303
TRUE;4;272;5;333
TRUE;4;1;5;341
TRUE;4;301;5;354
TRUE;4;297;5;398
TRUE;4;301;5;415
TRUE;5;272;6;333
TRUE;5;297;6;398
TRUE;5;301;6;354
TRUE;5;1;6;341
TRUE;5;301;6;415
TRUE;5;354;6;418
TRUE;5;333;6;424
TRUE;6;333;7;333
TRUE;6;398;7;398
TRUE;6;354;7;354
TRUE;6;333;7;424
TRUE;6;354;7;418
TRUE;7;333;8;333
TRUE;7;398;8;398
TRUE;7;354;8;354
TRUE;7;354;8;418
TRUE;7;333;8;424
TRUE;7;418;8;447
TRUE;7;354;8;448
