CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
56;32208920;32610857.375;40;1;12.475;0;0.521590909090909;0;0.273283084832295;1;12.475;0;0.521590909090909
20;32157186;32593861.175;40;1;10.125;0;0.414772727272727;0;0.221203302096552;1;10.125;0;0.414772727272727
8;32229748;32645333.8;40;4;16.25;0.136363636363636;0.693181818181818;0.0177839172878124;0.379548316284496;4;16.25;0.136363636363636;0.693181818181818
77;32169123;32575072.15;40;1;7.175;0;0.280681818181818;0;0.163205842028855;1;7.175;0;0.280681818181818
14;32260226;32630193.175;40;4;15.2;0.136363636363636;0.645454545454546;0.11608700214715;0.332853624814931;4;15.2;0.136363636363636;0.645454545454546
126;32199444;32584183.625;40;1;8.425;0;0.3375;0;0.191283125688887;1;8.425;0;0.3375
105;32249827;32776969;40;5;19.25;0.181818181818182;0.829545454545455;0.11677333437318;0.784884862964617;5;19.25;0.181818181818182;0.829545454545455
136;32431016;32895050.325;40;22;22.825;0.954545454545455;0.992045454545455;0.643401151519619;1.14730418009711;22;22.825;0.954545454545455;0.992045454545455
248;32116345;32589954.05;40;1;9.35;0;0.379545454545455;0;0.209062778836113;1;9.35;0;0.379545454545455
220;32180350;32598679.725;40;1;10.45;0;0.429545454545455;0;0.236035183588501;1;10.45;0;0.429545454545455
229;32165355;32591028.725;40;1;9.85;0;0.402272727272727;0;0.212520237192331;1;9.85;0;0.402272727272727
249;32207552;32589163;40;1;9.55;0;0.388636363636364;0;0.206683586160119;1;9.55;0;0.388636363636364
276;32140551;32616776.85;40;2;12.775;0.0454545454545455;0.535227272727273;0.0753697221772901;0.291291704720602;2;12.775;0.0454545454545455;0.535227272727273
305;32342528;32726895.325;40;15;20.925;0.636363636363636;0.905681818181818;0.281243550870244;0.630198361728073;15;20.925;0.636363636363636;0.905681818181818
265;32204041;32602962.15;40;1;11.55;0;0.479545454545455;0;0.249132663377868;1;11.55;0;0.479545454545455
394;32177525;32565995.075;40;1;6.3;0;0.240909090909091;0;0.135500856586382;1;6.3;0;0.240909090909091
388;32207494;32635136.425;40;2;14.875;0.0454545454545455;0.630681818181818;0.0252963095197737;0.348014476589566;2;14.875;0.0454545454545455;0.630681818181818
377;32211426;32611899.825;40;1;12.675;0;0.530681818181818;0;0.276474611505534;1;12.675;0;0.530681818181818
410;32226505;32600816.55;40;2;11.075;0.0454545454545455;0.457954545454545;0.0193392842753049;0.242466182199758;2;11.075;0.0454545454545455;0.457954545454545
409;32241679;32613669.05;40;1;11.85;0;0.493181818181818;0;0.281919522862801;1;11.85;0;0.493181818181818
431;32151523;32566327.45;40;1;6.825;0;0.264772727272727;0;0.136463571359126;1;6.825;0;0.264772727272727
441;32199958;32581037.5;40;1;7.975;0;0.317045454545455;0;0.181724244881636;1;7.975;0;0.317045454545455
437;32180184;32580461.45;40;1;8.25;0;0.329545454545455;0;0.179811901056571;1;8.25;0;0.329545454545455
