CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
29;32440301;32621923.4444444;9;21;66.5555555555556;0.0790513833992095;0.308404688054155;0.204343017379389;0.40025312129714;21;66.5555555555556;0.0790513833992095;0.308404688054155;0.484635938370814
39;32402004;32606853;7;13;79.2857142857143;0.0497925311203319;0.313587688553281;0.229458678398562;0.496084972620351;13;79.2857142857143;0.0497925311203319;0.313587688553281;0.522646147588802
57;32417758;32592902.4545455;11;7;42.5454545454545;0.0204081632653061;0.248067405439012;0.145428872386157;0.3147391683664;7;42.5454545454545;0.0204081632653061;0.248067405439012;0.36619474136235
67;32410799;32622942.5714286;7;5;89.1428571428571;0.0136054421768707;0.341980358562443;0.152589106182272;0.545787822148692;5;89.1428571428571;0.0136054421768707;0.341980358562443;0.569967264270738
87;32453688;32606023.5714286;7;52;82.2857142857143;0.180272108843537;0.325780757661292;0.389333337457747;0.49356413983548;52;82.2857142857143;0.180272108843537;0.325780757661292;0.542967929435486
108;32409574;32634571.3333333;9;15;64.6666666666667;0.0401146131805158;0.335870542208291;0.16999451669475;0.438912429665783;15;64.6666666666667;0.0401146131805158;0.335870542208291;0.527796566327315
151;32397740;32626487.4444444;9;7;66.5555555555556;0.0397350993377483;0.286313709178043;0.112356318383895;0.414160799893279;7;66.5555555555556;0.0397350993377483;0.286313709178043;0.449921542994067
167;32412802;32644723.2222222;9;21;76.8888888888889;0.0829875518672199;0.363261719379585;0.262860245005657;0.470336220648432;21;76.8888888888889;0.0829875518672199;0.363261719379585;0.570839844739348
194;32438599;32599034;11;12;43;0.0553359683794466;0.208445154067237;0.153256331762547;0.333655692798571;12;43;0.0553359683794466;0.208445154067237;0.307704751242112
201;32455483;32604775.2727273;11;7;45.7272727272727;0.08;0.241285025863665;0.157524294647649;0.351251327809933;7;45.7272727272727;0.08;0.241285025863665;0.356182657227314
226;32401060;32594752.9090909;11;8;43.3636363636364;0.0463576158940397;0.203818333987871;0.115193383914478;0.320334018548449;8;43.3636363636364;0.0463576158940397;0.203818333987871;0.300874683505904
227;32410960;32600024.6363636;11;14;44.8181818181818;0.0501930501930502;0.253278763121014;0.155761594564767;0.336638353472269;14;44.8181818181818;0.0501930501930502;0.253278763121014;0.373887697940544
275;32383577;32599928.8;15;2;34.6666666666667;0.0222222222222222;0.29823732909956;0.0656882317410657;0.319420970630916;2;34.6666666666667;0.0222222222222222;0.29823732909956;0.383447994556577
281;32391664;32589841.1333333;15;10;32.2;0.0659025787965616;0.224339517022988;0.180962345724521;0.288042182110143;10;32.2;0.0659025787965616;0.224339517022988;0.288436521886699
284;32353680;32588017.8;15;5;31.0666666666667;0.0114613180515759;0.278937893338376;0.133022926929062;0.282124946097213;5;31.0666666666667;0.0114613180515759;0.278937893338376;0.358634434292197
290;32395494;32595524.4;15;8;32.6;0.0495867768595041;0.289720604078756;0.112629787121177;0.305518527954555;8;32.6;0.0495867768595041;0.289720604078756;0.372497919529829
314;32323231;32588754.3333333;15;1;31.6;0;0.24439053498361;0.0895327806437275;0.284538607362428;1;31.6;0;0.24439053498361;0.314216402121784
326;32395894;32614153.6470588;17;4;26;0.0165289256198347;0.280457750090512;0.0893973534826542;0.286198328834834;4;26;0.0165289256198347;0.280457750090512;0.333878273917277
335;32364866;32608048;17;3;23.2941176470588;0.00952380952380952;0.238791053295366;0.108244867711565;0.267420234588387;3;23.2941176470588;0.00952380952380952;0.238791053295366;0.284275063446865
339;32369919;32618020;21;1;17.3809523809524;0;0.216683780725138;0.0729394066668515;0.247846164313783;1;17.3809523809524;0;0.216683780725138;0.216683780725138
367;32368974;32625934.0952381;21;1;18.047619047619;0;0.315785988050862;0.0276348725095565;0.272277954283101;1;18.047619047619;0;0.315785988050862;0.315785988050862
384;32371305;32606466.1176471;17;1;23.9411764705882;0;0.26435236283112;0.0509852203850937;0.262376696965101;1;23.9411764705882;0;0.26435236283112;0.314705193846571
409;32326138;32611687;21;1;16.2857142857143;0;0.214847643036675;0.0422309915103694;0.228135413081375;1;16.2857142857143;0;0.214847643036675;0.214847643036675
410;32334834;32623420.5714286;21;1;26;0;0.222146426803917;0.0874609863186203;0.26453407357175;1;26;0;0.222146426803917;0.222146426803917
412;32363769;32614902.8571429;21;1;11.8095238095238;0;0.238695943375689;0.0678883940146575;0.238156253782208;1;11.8095238095238;0;0.238695943375689;0.238695943375689
