CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
14;TRUE;FALSE;acs;2;3.99;8.86;0.6;18;0.47;NA;NA;15;0;14;14
29;TRUE;FALSE;acs;3;3.52;2.93;0.88;87;0.94;NA;NA;8;0;29;29
45;TRUE;FALSE;acs;3;4.7;7.15;0.43;43;0.3;NA;NA;17;1;45;45
64;TRUE;FALSE;as;3;3.92;3.71;0.89;40;NA;NA;NA;33;0;64;64
102;TRUE;FALSE;ras;3;3.51;3.31;0.92;65;NA;16;NA;37;0;102;102
119;TRUE;FALSE;ras;3;3.64;3.09;0.7;53;NA;22;NA;10;0;119;119
172;TRUE;FALSE;ras;3;3.37;3.94;0.79;75;NA;22;NA;24;0;172;172
189;TRUE;FALSE;acs;3;4.13;4.94;0.5;76;0.94;NA;NA;11;1;189;189
233;TRUE;FALSE;ras;3;2.28;2.85;0.97;49;NA;10;NA;21;0;233;233
249;TRUE;FALSE;ras;3;3.3;4.22;0.73;52;NA;17;NA;41;0;249;249
265;TRUE;FALSE;ras;3;2.41;2.2;0.85;59;NA;10;NA;23;0;265;265
308;TRUE;FALSE;ras;3;3.02;2.72;0.83;61;NA;19;NA;23;0;308;308
367;TRUE;FALSE;ras;3;3.34;2.89;0.95;72;NA;21;NA;45;0;367;367
446;TRUE;TRUE;acs;3;3.44;5;0.53;72;0.9;NA;NA;10;1;446;446
448;TRUE;FALSE;ras;3;2.52;2.09;0.88;53;NA;16;NA;19;0;448;448
460;TRUE;FALSE;ras;3;2.37;2.72;0.91;47;NA;21;NA;20;0;460;460
466;TRUE;FALSE;acs;3;4.39;3.2;0.59;85;0.96;NA;NA;11;1;466;466
