ESCENARIO;SEED_ID;CONFIG_ID
BH;100003;793
BH;1000193;759
BH;1100211;804
BH;1200239;785
BH;1300277;800
BH;1400299;766
BH;1500311;798
BH;1600333;671
BH;1700359;741
BH;1800371;674
BH;1900393;808
BH;200009;825
BH;2000419;759
BH;300017;749
BH;400031;475
BH;500057;831
BH;600083;640
BH;700099;796
BH;800123;758
BH;900149;697
BH-90;100003;533
BH-90;1000193;502
BH-90;1100211;485
BH-90;1200239;657
BH-90;1300277;646
BH-90;1400299;653
BH-90;1500311;666
BH-90;1600333;554
BH-90;1700359;589
BH-90;1800371;632
BH-90;1900393;576
BH-90;200009;485
BH-90;2000419;547
BH-90;300017;620
BH-90;400031;639
BH-90;500057;498
BH-90;600083;643
BH-90;700099;613
BH-90;800123;647
BH-90;900149;658
BL;100003;405
BL;1000193;371
BL;1100211;448
BL;1200239;440
BL;1300277;388
BL;1400299;424
BL;1500311;360
BL;1600333;398
BL;1700359;308
BL;1800371;468
BL;1900393;409
BL;200009;415
BL;2000419;281
BL;300017;417
BL;400031;199
BL;500057;446
BL;600083;425
BL;700099;425
BL;800123;331
BL;900149;435
BL-45;100003;132
BL-45;1000193;183
BL-45;1100211;302
BL-45;1200239;345
BL-45;1300277;357
BL-45;1400299;310
BL-45;1500311;188
BL-45;1600333;339
BL-45;1700359;259
BL-45;1800371;88
BL-45;1900393;185
BL-45;200009;395
BL-45;2000419;350
BL-45;300017;320
BL-45;400031;269
BL-45;500057;213
BL-45;600083;251
BL-45;700099;346
BL-45;800123;322
BL-45;900149;178
