CONFIG_ID;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;MNRG
1;acs;3;2.04;1.09;0.87;6;0.74;NA;NA;16;1;0.541488443534231
10;acs;3;4.05;0.85;0.67;62;0.36;NA;NA;14;1;0.354832870099473
100;acs;3;2.81;8.02;0.74;51;0.63;NA;NA;39;1;0.656411644236396
1000;acs;3;4.43;5.58;0.68;59;0.36;NA;NA;15;1;0.558888604447045
1001;acs;3;4.76;4.66;0.65;68;0.14;NA;NA;18;1;0.36066559391457
1002;acs;3;3.91;8.56;0.28;52;0.15;NA;NA;10;1;0.283438048566413
1003;acs;3;1.64;6.94;0.32;35;0.88;NA;NA;9;1;0.364747659449971
1004;acs;3;1.74;7.79;0.34;24;0.42;NA;NA;17;1;0.421316193680515
1005;acs;3;1.87;6.92;0.29;12;0.57;NA;NA;14;1;0.418413911644236
1006;acs;3;4.9;5.22;0.84;77;0.08;NA;NA;11;1;0.342772454651843
1007;acs;3;4.53;4.13;0.7;69;0.2;NA;NA;12;1;0.283426345816267
1008;acs;3;3.85;5.8;0.45;64;0.16;NA;NA;16;1;0.342515725570509
1009;acs;3;4.11;8.18;0.23;57;0.21;NA;NA;15;1;0.364158133411352
101;acs;3;2.19;2.76;0.7;37;0.17;NA;NA;19;1;0.460942071386776
1010;acs;3;4.69;4.57;0.75;75;0.1;NA;NA;13;1;0.361110664131071
1011;acs;3;4.54;4.38;0.74;74;0.17;NA;NA;12;1;0.341974473376243
1012;acs;3;4.4;4.32;0.78;72;0.17;NA;NA;11;1;0.276644602106495
1013;acs;2;2.97;1.95;0.31;31;0.43;NA;NA;16;1;0.966593768285547
1014;acs;3;3.36;3.98;0.7;6;0.35;NA;NA;14;0;0.706550614394383
1015;mmas;3;3.47;1.71;0.06;14;NA;NA;NA;31;1;0.622306173200702
1016;eas;3;4.41;7.34;0.99;44;NA;NA;23;22;1;0.799976228788765
1017;acs;3;2.69;7.65;0.52;17;0.51;NA;NA;27;0;0.695082650672908
1018;acs;3;3.95;5.38;0.26;10;0.26;NA;NA;23;1;0.617288253364541
1019;acs;3;4.16;0.79;0.37;5;0.14;NA;NA;29;1;0.717138311878291
102;acs;3;1.44;3.19;0.89;51;0.62;NA;NA;13;1;0.39814803978935
1020;acs;3;2.71;7.44;0.5;54;0.88;NA;NA;35;1;0.649309172030427
1021;acs;3;2.77;9.07;0.55;36;0.19;NA;NA;29;0;0.611268651258046
1022;acs;3;3;2.91;0.14;21;0.2;NA;NA;21;1;0.551020333528379
1023;acs;3;2.66;5.68;0.62;52;0.72;NA;NA;28;1;0.626296445289643
1024;acs;3;4.58;1.82;0.4;6;0.33;NA;NA;21;1;0.609358543007607
1025;acs;3;2.03;5.07;0.57;44;0.82;NA;NA;19;1;0.452732592159157
1026;acs;3;1.33;4.89;0.54;45;0.91;NA;NA;21;1;0.46258118782914
1027;acs;3;1.57;4.83;0.44;46;0.77;NA;NA;17;1;0.37239942949093
1028;acs;3;1.9;4.5;0.73;54;0.56;NA;NA;19;1;0.402957138677589
1029;acs;3;2.55;5.87;0.52;54;0.65;NA;NA;22;1;0.415353642480983
103;acs;3;2.36;5.23;0.8;59;0.32;NA;NA;21;1;0.453796445289643
1030;acs;3;1.49;3.86;0.57;41;0.74;NA;NA;20;1;0.42946862200117
1031;acs;3;1.88;4.98;0.37;47;0.9;NA;NA;16;1;0.35251243417203
1032;acs;3;1.69;3.97;0.8;50;0.7;NA;NA;18;1;0.364831407255705
1033;acs;3;1.45;5.22;0.56;39;0.7;NA;NA;17;1;0.3970410327677
1034;ras;3;3.07;5.89;0.52;69;NA;7;NA;25;0;0.689982080163839
1035;mmas;3;2.06;3.54;0.41;53;NA;NA;NA;39;1;0.788907255705091
1036;acs;3;3.35;3.62;0.94;30;0.67;NA;NA;31;1;0.770271723229959
1037;acs;3;3.69;7.06;0.71;55;0.42;NA;NA;37;1;0.732157328847279
1038;mmas;3;2.13;4.46;0.45;66;NA;NA;NA;25;1;0.796942656524283
1039;acs;3;1.49;2.52;0.28;38;0.72;NA;NA;25;1;0.737028964306612
104;acs;3;3.64;3.08;0.55;58;0.16;NA;NA;10;1;0.386115418373318
1040;acs;3;2.57;6.5;0.96;8;0.67;NA;NA;16;1;0.508614321240492
1041;acs;3;1.57;4.17;0.1;16;0.61;NA;NA;25;1;0.746627413692218
1042;acs;3;1.31;4.94;0.2;36;0.96;NA;NA;27;1;0.638443534230544
1043;acs;3;2.71;1.49;0.64;5;0.65;NA;NA;18;1;0.579362200117028
1044;acs;3;1.8;3.22;0.32;48;0.56;NA;NA;13;1;0.450830895260386
1045;acs;3;1.56;0.78;0.58;45;0.77;NA;NA;9;1;0.419381217086015
1046;acs;3;2.1;4.9;0.07;32;0.53;NA;NA;17;1;0.454946240491515
1047;acs;3;2.13;6.06;0.34;29;0.46;NA;NA;22;1;0.488161571094207
1048;acs;3;1.95;0.09;0.65;6;0.64;NA;NA;15;1;0.617335430076068
1049;acs;3;2.28;6.19;0.13;36;0.63;NA;NA;20;1;0.391806612053833
105;acs;3;2.28;0.83;0.84;11;0.15;NA;NA;19;1;0.637043227033353
1050;acs;3;1.2;0.92;0.69;21;0.76;NA;NA;12;1;0.477762946167349
1051;acs;3;2.79;2.65;0.25;49;0.58;NA;NA;16;1;0.317220596840257
1052;acs;3;2.47;0.65;0.31;45;0.47;NA;NA;18;1;0.405653891164424
1053;acs;3;1.2;3.18;0.57;13;0.68;NA;NA;15;1;0.532587770626097
1054;acs;3;2.53;1.51;0.32;44;0.42;NA;NA;16;1;0.332075409596255
1055;acs;3;2.77;1.72;0.2;48;0.58;NA;NA;18;1;0.355096547688707
1056;acs;3;2.38;2.86;0.35;48;0.51;NA;NA;14;1;0.312842671152721
1057;acs;3;1.28;1.15;0.76;28;0.72;NA;NA;15;1;0.464449605032183
1058;acs;3;2.3;3.05;0.33;47;0.42;NA;NA;13;1;0.290573434757168
1059;acs;3;2.45;3.12;0.52;53;0.4;NA;NA;9;1;0.309463867758923
106;acs;3;3.06;3.83;0.83;67;0.23;NA;NA;14;1;0.329305880631948
1060;acs;3;4.85;3.96;1;6;0.58;NA;NA;36;1;0.719444119368052
1061;acs;2;3.84;1.93;0.02;29;0.66;NA;NA;40;0;0.857524502633119
1062;acs;3;1.02;2.55;0.58;11;0.84;NA;NA;31;1;0.884239321240492
1063;eas;3;1.38;4.66;0.34;29;NA;NA;528;12;1;0.778537887653599
1064;acs;3;3.09;2.47;0.49;62;0.96;NA;NA;34;0;0.831515140433002
1065;acs;3;3.21;5.04;0.55;21;0.14;NA;NA;34;0;0.730642188414277
1066;acs;3;2.73;4.43;0.29;28;0.27;NA;NA;25;1;0.592695289643066
1067;acs;3;3.99;7.11;0.28;21;0.7;NA;NA;31;1;0.740048273844353
1068;acs;3;3.35;6.71;0.59;11;0.53;NA;NA;25;1;0.629184464599181
1069;acs;3;2.09;5.84;0.32;34;0.24;NA;NA;22;1;0.477838648332358
107;acs;3;1.75;4.95;0.91;47;0.23;NA;NA;17;1;0.401295713867759
1070;acs;3;4.12;6.12;0.55;64;0.06;NA;NA;30;1;0.625562097717964
1071;acs;3;3.49;3.03;0.04;32;0.32;NA;NA;9;1;0.34686256582797
1072;acs;3;2.96;5.4;0.02;18;0.26;NA;NA;12;1;0.329215550029257
1073;acs;3;1.83;6.4;0.35;32;0.22;NA;NA;19;1;0.469848595669982
1074;acs;3;2.17;3.65;0.34;45;0.4;NA;NA;22;1;0.456334844938561
1075;acs;3;4.13;5.36;0.51;59;0.03;NA;NA;23;1;0.512400160912814
1076;acs;3;2.5;4.03;0.29;48;0.31;NA;NA;14;1;0.304942217671153
1077;acs;3;2.21;5.13;0.38;42;0.13;NA;NA;14;1;0.291267919836162
1078;acs;3;2.63;4.26;0.2;46;0.32;NA;NA;23;1;0.453906889994149
1079;acs;3;2.52;5.19;0.21;39;0.18;NA;NA;19;1;0.369821167349327
108;acs;3;3.48;4.29;0.82;70;0.2;NA;NA;14;1;0.34673383557636
1080;acs;3;2.26;4.35;0.2;37;0.29;NA;NA;13;1;0.294780939145699
1081;acs;3;2.71;8.78;0.66;6;0.09;NA;NA;42;1;0.767095157987127
1082;mmas;3;1.15;8.16;0.97;60;NA;NA;NA;16;1;0.401353861907548
1083;acs;2;2.4;5.66;0.23;36;0.4;NA;NA;28;0;0.875335356933879
1084;acs;3;1.97;3.86;0.95;25;0.54;NA;NA;38;1;0.729636117612639
1085;acs;3;3.11;8.59;0.85;24;0.9;NA;NA;10;1;0.671336673493271
1086;mmas;3;1.53;9.36;0.89;46;NA;NA;NA;13;1;0.559905280866004
1087;acs;3;2.37;8.46;0.93;24;0.72;NA;NA;10;1;0.500025599765945
1088;mmas;3;1.43;8.61;0.83;45;NA;NA;NA;18;1;0.490694119368052
1089;mmas;3;1.29;8.88;0.88;81;NA;NA;NA;27;1;0.729075117027501
109;acs;3;2.12;5.31;0.95;54;0.14;NA;NA;18;1;0.3725599765945
