CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;eas;0;4.36;7.23;0.61;23;NA;NA;682;NA;NA
2;FALSE;acs;2;1.86;2.23;0.11;71;0.81;NA;NA;22;0
3;FALSE;mmas;3;0.61;4.73;0.85;47;NA;NA;NA;34;1
4;FALSE;ras;1;3.11;9.73;0.36;95;NA;92;NA;11;0
5;FALSE;ras;3;4.98;8.48;0.48;59;NA;29;NA;40;1
6;FALSE;as;1;2.48;3.48;0.98;11;NA;NA;NA;17;0
7;FALSE;mmas;2;3.73;5.98;0.73;35;NA;NA;NA;5;0
8;FALSE;acs;0;1.23;0.98;0.24;83;0.44;NA;NA;NA;NA
9;FALSE;acs;3;3.42;2.86;0.54;89;0.75;NA;NA;14;1
10;FALSE;mmas;1;0.92;7.86;0.05;41;NA;NA;NA;37;0
11;FALSE;eas;0;2.17;5.36;0.79;65;NA;NA;635;NA;NA
12;FALSE;as;2;4.67;0.36;0.3;17;NA;NA;NA;48;0
13;FALSE;acs;1;4.04;4.11;0.67;53;0.12;NA;NA;43;0
14;TRUE;eas;3;1.54;9.11;0.17;5;NA;NA;541;20;1
15;FALSE;ras;2;0.29;6.61;0.92;77;NA;73;NA;31;0
16;FALSE;as;0;2.79;1.61;0.42;29;NA;NA;NA;NA;NA
17;TRUE;ras;3;2.32;0.05;0.64;26;NA;39;NA;38;0
18;FALSE;mmas;1;4.82;5.05;0.14;74;NA;NA;NA;15;1
19;FALSE;eas;2;1.07;2.55;0.39;98;NA;NA;564;27;1
20;FALSE;acs;0;3.57;7.55;0.88;50;0.59;NA;NA;NA;NA
21;FALSE;mmas;0;1.7;3.8;0.27;62;NA;NA;NA;NA;NA
22;FALSE;acs;2;4.2;8.8;0.76;14;0.22;NA;NA;9;1
23;FALSE;as;3;2.95;6.3;0.02;86;NA;NA;NA;44;0
24;FALSE;eas;1;0.45;1.3;0.51;38;NA;NA;471;21;1
25;FALSE;ras;1;1.39;6.92;0.45;20;NA;83;NA;35;1
26;FALSE;mmas;3;3.89;1.92;0.95;68;NA;NA;NA;12;0
27;FALSE;eas;2;2.64;4.42;0.2;44;NA;NA;705;47;1
28;FALSE;as;0;0.14;9.42;0.7;92;NA;NA;NA;NA;NA
29;FALSE;eas;1;3.26;0.67;0.82;80;NA;NA;424;41;1
30;FALSE;acs;3;0.76;5.67;0.33;32;0.28;NA;NA;18;0
31;FALSE;as;2;2.01;8.17;0.58;56;NA;NA;NA;30;1
32;FALSE;ras;0;4.51;3.17;0.08;8;NA;20;NA;NA;NA
33;FALSE;mmas;2;4.9;3.95;0.06;93;NA;NA;NA;22;1
34;FALSE;acs;0;2.4;8.95;0.56;45;0.83;NA;NA;NA;NA
35;FALSE;as;1;1.15;6.45;0.31;69;NA;NA;NA;10;1
36;TRUE;ras;3;3.65;1.45;0.81;21;NA;9;NA;33;0
37;FALSE;mmas;0;3.03;2.7;0.19;57;NA;NA;NA;NA;NA
38;FALSE;ras;2;0.53;7.7;0.68;9;NA;97;NA;16;1
39;FALSE;as;3;1.78;5.2;0.44;81;NA;NA;NA;50;0
40;FALSE;eas;1;4.28;0.2;0.93;33;NA;NA;107;27;1
41;FALSE;as;0;3.96;8.33;0.87;99;NA;NA;NA;NA;NA
42;FALSE;eas;2;1.46;3.33;0.37;51;NA;NA;342;42;1
43;FALSE;acs;1;2.71;5.83;0.13;27;0.64;NA;NA;30;1
44;FALSE;mmas;3;0.21;0.83;0.62;75;NA;NA;NA;7;0
45;FALSE;eas;1;2.09;2.08;0.75;87;NA;NA;61;48;1
46;TRUE;acs;3;4.59;7.08;0.25;39;0.01;NA;NA;25;0
47;FALSE;as;2;3.34;9.58;0.99;63;NA;NA;NA;36;1
48;FALSE;ras;0;0.84;4.58;0.5;15;NA;28;NA;NA;NA
49;FALSE;mmas;0;1.31;0.52;0.03;36;NA;NA;NA;NA;NA
50;FALSE;ras;2;3.81;5.52;0.53;84;NA;81;NA;37;0
51;FALSE;eas;3;2.56;8.02;0.28;12;NA;NA;178;26;1
52;FALSE;acs;1;0.06;3.02;0.78;60;0.36;NA;NA;49;0
53;FALSE;mmas;1;4.43;9.27;0.41;48;NA;NA;NA;32;0
54;FALSE;acs;3;1.93;4.27;0.9;96;0.98;NA;NA;9;1
55;FALSE;ras;0;3.18;6.77;0.65;72;NA;44;NA;NA;NA
56;FALSE;as;2;0.68;1.77;0.16;24;NA;NA;NA;43;0
57;FALSE;eas;0;0.37;6.14;0.96;18;NA;NA;318;NA;NA
58;FALSE;acs;2;2.87;1.14;0.47;66;0.55;NA;NA;17;0
59;FALSE;as;3;4.12;3.64;0.71;42;NA;NA;NA;29;1
60;FALSE;ras;1;1.62;8.64;0.22;90;NA;62;NA;6;0
61;FALSE;eas;3;1;9.89;0.1;54;NA;NA;37;46;1
62;FALSE;as;1;3.5;4.89;0.59;6;NA;NA;NA;23;0
63;FALSE;mmas;2;2.25;7.39;0.84;30;NA;NA;NA;12;0
64;FALSE;ras;0;4.75;2.39;0.34;78;NA;50;NA;NA;NA
65;FALSE;acs;3;0.1;2.16;0.4;45;0.62;NA;NA;5;0
66;FALSE;mmas;1;2.6;7.16;0.89;93;NA;NA;NA;28;1
67;FALSE;as;2;1.35;4.66;0.64;69;NA;NA;NA;40;1
68;FALSE;eas;0;3.85;9.66;0.15;21;NA;NA;90;NA;NA
69;FALSE;as;0;0.72;3.41;0.52;81;NA;NA;NA;NA;NA
70;FALSE;ras;2;3.22;8.41;0.03;33;NA;33;NA;34;1
71;FALSE;eas;3;4.47;5.91;0.77;57;NA;NA;371;23;0
72;FALSE;acs;1;1.97;0.91;0.27;9;0.24;NA;NA;46;1
73;FALSE;ras;0;2.91;4.03;0.83;39;NA;90;NA;NA;NA
74;FALSE;mmas;2;0.41;9.03;0.34;87;NA;NA;NA;14;1
75;FALSE;as;1;4.16;1.53;0.09;63;NA;NA;NA;26;1
76;FALSE;eas;3;1.66;6.53;0.58;15;NA;NA;230;49;0
77;FALSE;ras;1;1.04;5.28;0.71;51;NA;2;NA;8;1
78;FALSE;as;3;3.54;0.28;0.21;99;NA;NA;NA;31;0
79;FALSE;acs;2;4.79;2.78;0.95;27;0.93;NA;NA;20;1
80;FALSE;mmas;0;2.29;7.78;0.46;75;NA;NA;NA;NA;NA
81;FALSE;eas;1;0.25;4.34;0.24;30;NA;NA;254;50;0
82;FALSE;acs;3;2.75;9.34;0.74;78;0.4;NA;NA;27;1
83;FALSE;mmas;2;4;6.84;0.49;6;NA;NA;NA;39;0
84;FALSE;ras;0;1.5;1.84;0.99;54;NA;86;NA;NA;NA
85;TRUE;mmas;3;2.13;3.09;0.12;18;NA;NA;NA;10;1
86;FALSE;acs;1;4.63;8.09;0.61;66;0.77;NA;NA;33;0
87;FALSE;as;0;3.38;5.59;0.37;42;NA;NA;NA;NA;NA
88;FALSE;eas;2;0.88;0.59;0.86;90;NA;NA;160;44;0
89;FALSE;as;1;1.82;9.97;0.8;24;NA;NA;NA;7;0
90;FALSE;ras;3;4.32;4.97;0.3;72;NA;55;NA;30;1
91;FALSE;as;0;4.37;4.21;0.32;81;NA;NA;NA;NA;NA
92;FALSE;ras;2;3.06;8.41;0.87;53;NA;41;NA;48;0
93;FALSE;ras;2;2.87;1.74;0.3;46;NA;41;NA;20;1
94;FALSE;mmas;3;3.35;2.96;0.39;27;NA;NA;NA;13;1
95;FALSE;as;3;1.66;0.25;0.16;48;NA;NA;NA;31;0
96;FALSE;ras;2;2.76;7.59;0.33;33;NA;66;NA;29;1
97;FALSE;as;3;0.18;5.07;0.84;26;NA;NA;NA;40;0
98;FALSE;as;0;1.16;7.38;0.28;78;NA;NA;NA;NA;NA
99;FALSE;acs;1;1.39;8.47;0.09;14;0.04;NA;NA;25;0
100;FALSE;mmas;0;4.03;2.42;0.99;53;NA;NA;NA;NA;NA
101;FALSE;eas;3;0.68;1.17;0.54;55;NA;NA;134;21;0
102;FALSE;as;1;4.1;6.8;0.7;52;NA;NA;NA;23;0
103;FALSE;acs;1;2.36;3.47;0.23;72;0.51;NA;NA;47;0
104;FALSE;ras;3;3.47;8.4;0.17;98;NA;4;NA;47;0
105;FALSE;mmas;1;4.89;8.53;0.05;14;NA;NA;NA;18;0
106;FALSE;ras;0;0.47;4.19;0.46;63;NA;29;NA;NA;NA
107;FALSE;acs;3;1.69;8.06;0.79;85;0.33;NA;NA;17;0
108;FALSE;acs;3;3.79;1.44;0.19;79;0.12;NA;NA;7;1
109;FALSE;mmas;1;2.71;1.64;0.66;41;NA;NA;NA;38;0
110;FALSE;eas;0;3.12;2.57;0.17;7;NA;NA;501;NA;NA
111;FALSE;acs;2;3.76;5.95;0.09;48;0.57;NA;NA;34;1
112;FALSE;acs;3;4.63;4.35;0.43;73;0.08;NA;NA;42;1
113;FALSE;acs;0;4.26;9.77;0.45;82;0.4;NA;NA;NA;NA
114;FALSE;as;1;2.69;6.48;0.47;38;NA;NA;NA;33;0
