EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;229;85126756;2000-533.tsp;32619078
2;343;1049324618;2000-824.tsp;32490037
3;315;297657888;2000-737.tsp;32539531
4;249;311909327;2000-612.tsp;32658828
5;54;1381933336;2000-201.tsp;32584263
6;35;1567130559;2000-130.tsp;32536731
7;398;2039941326;2000-938.tsp;32242154
8;226;2011378134;2000-530.tsp;32860423
9;291;2124946898;2000-713.tsp;32552910
10;81;1634480864;2000-226.tsp;32806971
11;99;1977279430;2000-26.tsp;32778444
12;26;2018016462;2000-122.tsp;32503974
13;245;307306380;2000-608.tsp;32662912
14;1;812539579;2000-1.tsp;32525797
15;314;1487462064;2000-736.tsp;32508852
16;261;2063394925;2000-624.tsp;32420096
17;263;358046138;2000-626.tsp;32373993
18;133;2036970844;2000-327.tsp;32633139
19;113;669291782;2000-309.tsp;32830754
20;12;912788114;2000-11.tsp;32536169
21;283;357151532;2000-705.tsp;32400745
22;76;1981974138;2000-221.tsp;32316435
23;391;1601475565;2000-931.tsp;32713670
