EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;367;971887215;2000-907.tsp;32430215
2;397;1288917194;2000-937.tsp;32670919
3;154;384938457;2000-4.tsp;32535503
4;371;1938797524;2000-911.tsp;32072576
5;146;1168190699;2000-339.tsp;32439066
6;136;363784859;2000-33.tsp;32374666
7;292;447208324;2000-714.tsp;33051885
8;314;1557984218;2000-736.tsp;32508852
9;362;563220973;2000-902.tsp;32398086
10;383;918670712;2000-923.tsp;32375760
11;272;797064569;2000-635.tsp;32157454
12;316;1317376786;2000-738.tsp;32489654
13;156;2076576040;2000-401.tsp;32787847
14;295;1516226175;2000-717.tsp;32414542
15;22;406939246;2000-119.tsp;32465958
16;160;297772659;2000-405.tsp;32150434
17;18;954718822;2000-115.tsp;32267252
18;304;1668165073;2000-726.tsp;32533296
19;148;1017014485;2000-340.tsp;32443456
20;158;1485292379;2000-403.tsp;32518474
21;16;1093044984;2000-113.tsp;32615539
22;26;613577312;2000-122.tsp;32503974
23;65;1583142033;2000-211.tsp;32368871
24;30;859419046;2000-126.tsp;32693414
25;339;2069528805;2000-820.tsp;32427404
26;263;1042717079;2000-626.tsp;32373993
27;103;410734386;2000-3.tsp;32550968
28;392;941982079;2000-932.tsp;32337887
