EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;346;1849759295;2000-827.tsp;32401361
2;106;1927977624;2000-302.tsp;32548523
3;96;1500969891;2000-24.tsp;32452683
4;214;1982869468;2000-518.tsp;32796203
5;182;1307084120;2000-427.tsp;32573141
6;70;662234402;2000-216.tsp;32302101
7;359;334575659;2000-840.tsp;32688712
8;129;1287369504;2000-323.tsp;32621278
9;5;1733829229;2000-103.tsp;32779235
10;374;2058184634;2000-914.tsp;32551992
11;239;39269020;2000-602.tsp;32685626
12;271;431466779;2000-634.tsp;32455580
13;299;986900232;2000-721.tsp;32387902
14;149;860969608;2000-35.tsp;32322162
15;21;59878917;2000-118.tsp;32557623
16;153;1383135437;2000-39.tsp;32635451
17;52;512173648;2000-2.tsp;32513045
18;343;240843375;2000-824.tsp;32490037
19;9;1467264245;2000-107.tsp;32668787
20;303;264242567;2000-725.tsp;32523632
21;393;166116425;2000-933.tsp;32583150
22;356;1318098196;2000-837.tsp;32240681
