CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;acs;0;2.5;7.88;0.72;58;0.21;NA;NA;NA;NA
2;FALSE;eas;2;5;2.88;0.22;10;NA;NA;181;21;0
3;FALSE;ras;3;3.75;0.38;0.96;82;NA;1;NA;32;1
4;FALSE;mmas;1;1.25;5.38;0.47;34;NA;NA;NA;9;0
5;FALSE;eas;1;4.37;1.63;0.84;70;NA;NA;275;26;0
6;FALSE;as;3;1.87;6.63;0.35;22;NA;NA;NA;49;1
7;FALSE;mmas;0;3.12;4.13;0.1;46;NA;NA;NA;NA;NA
8;FALSE;acs;2;0.62;9.13;0.59;94;0.58;NA;NA;15;0
9;FALSE;as;0;4.06;9.76;0.9;16;NA;NA;NA;NA;NA
10;FALSE;eas;2;1.56;4.76;0.41;64;NA;NA;40;41;0
11;FALSE;ras;1;2.81;7.26;0.16;88;NA;70;NA;29;0
12;FALSE;mmas;3;0.31;2.26;0.65;40;NA;NA;NA;6;1
13;FALSE;as;2;3.43;8.51;0.78;52;NA;NA;NA;35;0
14;FALSE;ras;0;0.93;3.51;0.28;100;NA;32;NA;NA;NA
15;FALSE;acs;3;4.68;6.01;0.04;76;0.9;NA;NA;23;1
16;FALSE;eas;1;2.18;1.01;0.53;28;NA;NA;322;46;0
17;TRUE;mmas;3;2.65;8.82;0.5;97;NA;NA;NA;25;0
18;FALSE;acs;1;0.15;3.82;0.99;49;0.74;NA;NA;48;1
19;FALSE;as;0;1.4;1.32;0.25;73;NA;NA;NA;NA;NA
20;FALSE;ras;2;3.9;6.32;0.75;25;NA;85;NA;36;1
21;FALSE;mmas;1;4.53;7.57;0.38;61;NA;NA;NA;31;1
22;FALSE;ras;3;2.03;2.57;0.87;13;NA;23;NA;8;0
23;FALSE;as;2;0.78;0.07;0.13;85;NA;NA;NA;42;1
24;FALSE;eas;0;3.28;5.07;0.62;37;NA;NA;111;NA;NA
25;FALSE;ras;1;1.72;9.45;0.07;7;NA;54;NA;5;1
26;TRUE;as;3;4.22;4.45;0.56;55;NA;NA;NA;28;0
27;TRUE;acs;2;2.97;1.95;0.31;31;0.43;NA;NA;16;1
28;FALSE;eas;0;0.47;6.95;0.81;79;NA;NA;64;NA;NA
29;FALSE;as;1;3.59;3.2;0.69;91;NA;NA;NA;22;1
30;FALSE;eas;3;1.09;8.2;0.19;43;NA;NA;345;45;0
31;FALSE;mmas;2;2.34;5.7;0.93;67;NA;NA;NA;11;1
32;FALSE;acs;0;4.84;0.7;0.44;19;0.8;NA;NA;NA;NA
33;FALSE;acs;3;0.7;7.42;0.42;69;0.63;NA;NA;18;1
34;FALSE;eas;1;3.2;2.42;0.92;21;NA;NA;685;41;0
35;FALSE;mmas;2;1.95;9.92;0.67;45;NA;NA;NA;30;0
36;FALSE;ras;0;4.45;4.92;0.18;93;NA;15;NA;NA;NA
37;FALSE;ras;2;2.58;3.67;0.05;57;NA;52;NA;47;0
38;FALSE;as;0;0.08;8.67;0.55;9;NA;NA;NA;NA;NA
39;FALSE;acs;1;1.33;6.17;0.3;81;0.01;NA;NA;36;0
40;FALSE;mmas;3;3.83;1.17;0.79;33;NA;NA;NA;13;1
41;FALSE;acs;0;3.51;9.29;0.86;63;0.44;NA;NA;NA;NA
42;FALSE;eas;2;1.01;4.29;0.36;15;NA;NA;544;27;0
43;TRUE;ras;3;2.26;1.79;0.61;87;NA;46;NA;39;1
44;FALSE;as;1;4.76;6.79;0.11;39;NA;NA;NA;16;0
45;FALSE;as;3;2.89;5.54;0.24;27;NA;NA;NA;44;1
46;FALSE;eas;0;3.77;6.62;0.3;54;NA;NA;44;NA;NA
47;FALSE;eas;3;3.79;3.63;0.7;57;NA;NA;563;27;1
48;TRUE;mmas;3;2.8;5.71;0.52;92;NA;NA;NA;20;0
49;FALSE;eas;3;2.64;2.65;0.67;68;NA;NA;704;27;0
50;FALSE;mmas;2;4.23;9.39;0.81;52;NA;NA;NA;23;0
51;FALSE;eas;2;3.45;2.03;0.01;50;NA;NA;154;15;1
52;FALSE;eas;1;2.78;3.5;0.58;77;NA;NA;494;43;0
53;FALSE;acs;3;2.29;6.86;0.39;84;0.3;NA;NA;14;0
54;FALSE;mmas;3;3.54;3.91;0.95;71;NA;NA;NA;37;1
55;FALSE;mmas;1;2.44;3.91;0.99;59;NA;NA;NA;37;0
56;FALSE;eas;1;2.82;6.45;0.35;41;NA;NA;197;32;0
57;FALSE;eas;3;4.7;3.29;0.49;33;NA;NA;397;50;0
58;FALSE;ras;2;1.54;6.47;0.36;47;NA;3;NA;13;0
59;FALSE;acs;2;1.48;8.33;0.82;100;0.29;NA;NA;15;0
60;FALSE;ras;0;3.09;6.46;0.61;73;NA;97;NA;NA;NA
61;FALSE;eas;3;0.82;8.42;0.2;41;NA;NA;243;46;1
62;FALSE;eas;1;3.96;7.22;0.28;23;NA;NA;279;24;1
63;FALSE;as;1;4.32;1.01;0.56;29;NA;NA;NA;11;1
64;FALSE;ras;3;3.88;6.45;0.92;63;NA;71;NA;11;0
65;FALSE;eas;3;3.19;1.1;0.41;95;NA;NA;624;48;0
66;TRUE;as;3;3.28;2.98;0.3;14;NA;NA;NA;26;1
67;FALSE;acs;2;3.4;7.4;0.49;90;0.18;NA;NA;34;1
68;FALSE;as;1;4.65;2.76;0.01;54;NA;NA;NA;14;1
69;FALSE;mmas;3;3.89;0.5;0.31;94;NA;NA;NA;41;1
70;FALSE;eas;3;1.13;9.21;0.85;55;NA;NA;319;27;1
71;FALSE;mmas;1;4.55;9.98;0.11;73;NA;NA;NA;25;0
72;FALSE;mmas;2;3.28;3.14;0.04;12;NA;NA;NA;22;1
73;FALSE;as;3;1.19;5.27;0.91;61;NA;NA;NA;18;0
74;FALSE;eas;2;3.73;7.77;0.54;71;NA;NA;631;35;0
75;FALSE;ras;0;4.23;5.78;0.36;36;NA;20;NA;NA;NA
76;FALSE;eas;1;2.22;8.88;0.87;55;NA;NA;688;23;0
77;TRUE;acs;3;1.89;6.23;0.72;63;0.92;NA;NA;12;0
78;FALSE;as;0;2.01;5.15;0.5;33;NA;NA;NA;NA;NA
79;FALSE;ras;2;1.94;2.72;0.61;98;NA;4;NA;19;1
80;FALSE;ras;0;1.59;9.17;0.21;21;NA;21;NA;NA;NA
81;FALSE;as;3;0.15;1.77;0.17;92;NA;NA;NA;10;1
82;FALSE;ras;3;2.86;2.68;0.09;31;NA;1;NA;33;1
83;FALSE;mmas;3;3.07;6;0.87;93;NA;NA;NA;24;0
84;FALSE;as;2;2.23;7.78;0.9;90;NA;NA;NA;18;1
85;FALSE;mmas;2;1.83;9.99;0.54;94;NA;NA;NA;10;1
86;FALSE;ras;1;2.87;0.87;0.42;75;NA;14;NA;20;1
87;FALSE;as;3;1.01;5.38;0.76;13;NA;NA;NA;5;0
88;FALSE;mmas;1;3.02;5.12;0.63;85;NA;NA;NA;14;0
89;FALSE;acs;3;0.17;4.86;0.84;38;0.95;NA;NA;17;0
90;FALSE;eas;3;1.91;6.71;0.92;96;NA;NA;106;40;0
91;TRUE;mmas;3;3.45;7.28;0.35;90;NA;NA;NA;14;0
92;FALSE;as;1;2.76;1.14;0.38;20;NA;NA;NA;31;0
93;FALSE;eas;0;1.02;5.6;0.34;76;NA;NA;292;NA;NA
94;FALSE;acs;3;3.48;3.27;0.76;87;0.58;NA;NA;35;1
95;FALSE;acs;2;2.91;2.09;0.14;23;0.11;NA;NA;33;1
96;FALSE;mmas;3;2.47;7.53;0.5;60;NA;NA;NA;27;0
97;FALSE;eas;3;2.39;5.57;0.86;16;NA;NA;683;26;0
98;FALSE;acs;2;2.79;8.95;0.75;68;0.98;NA;NA;13;0
99;FALSE;mmas;3;2.22;6.45;0.6;41;NA;NA;NA;26;0
100;TRUE;acs;3;2.55;5.06;0.74;30;0.76;NA;NA;33;1
101;FALSE;mmas;3;1.54;1.38;0.69;37;NA;NA;NA;29;0
102;FALSE;acs;3;4.1;4.97;0.78;41;0.87;NA;NA;15;0
103;FALSE;mmas;2;1.11;0.86;0.6;12;NA;NA;NA;17;0
104;FALSE;as;3;2.15;5.19;0.83;86;NA;NA;NA;16;0
105;FALSE;acs;3;2.58;1.77;0.17;83;0.18;NA;NA;20;0
106;FALSE;eas;3;2.43;6.35;0.82;56;NA;NA;109;38;0
107;FALSE;eas;3;2.72;8.34;0.52;83;NA;NA;133;23;1
108;FALSE;acs;3;3.58;1.2;0.6;36;0.5;NA;NA;34;0
109;TRUE;acs;3;2.87;3.48;0.47;70;0.96;NA;NA;25;0
110;TRUE;acs;3;2.31;3.58;0.75;52;0.88;NA;NA;6;0
111;FALSE;as;2;2;4.47;0.84;67;NA;NA;NA;44;0
112;FALSE;mmas;0;1.89;9.11;0.33;99;NA;NA;NA;NA;NA
113;FALSE;as;3;3.88;3.09;0.42;10;NA;NA;NA;21;0
114;FALSE;acs;2;3.73;3.04;0.82;49;0.44;NA;NA;23;0
115;FALSE;mmas;0;1.28;9.6;0.87;92;NA;NA;NA;NA;NA
116;FALSE;acs;1;1.29;6.49;0.12;60;0.27;NA;NA;22;0
117;FALSE;as;2;3.28;1.41;0.54;18;NA;NA;NA;42;1
118;FALSE;ras;3;3.75;1.94;0.79;47;NA;31;NA;25;1
119;FALSE;ras;3;4.04;4.65;0.4;97;NA;69;NA;14;0
120;FALSE;ras;0;1.89;3.35;0.65;57;NA;49;NA;NA;NA
121;FALSE;acs;2;1.25;7.71;0.34;67;0.4;NA;NA;18;1
122;FALSE;as;3;2.41;9.75;0.94;54;NA;NA;NA;12;0
123;FALSE;mmas;0;2.37;6.2;0.52;98;NA;NA;NA;NA;NA
124;FALSE;mmas;2;4.48;3.26;0.19;49;NA;NA;NA;11;0
125;FALSE;mmas;3;2.45;3.71;0.36;52;NA;NA;NA;19;0
126;FALSE;mmas;3;3.12;5.53;0.56;79;NA;NA;NA;8;1
127;FALSE;as;2;2.83;3.1;0.31;26;NA;NA;NA;7;0
128;FALSE;as;3;3.35;4.09;0.51;18;NA;NA;NA;26;1
129;FALSE;mmas;3;2.54;3.66;0.53;45;NA;NA;NA;5;1
130;FALSE;acs;3;2.11;4.87;0.65;62;0.43;NA;NA;45;1
