CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;32539684;32805421.8571429;7;75;102.142857142857;0.318965517241379;0.473829159864146;0.365509037697514;0.664495384345116;75;102.142857142857;0.318965517241379;0.473829159864146;0.740358062287728
2;33753794;33934291.8;5;181;195.8;0.823275862068966;0.846993152222682;4.04811377393581;4.1323238028605;181;195.8;0.823275862068966;0.846993152222682;1.42930094437578
3;37109928;37968135.4;5;198;207.4;0.875;0.897621803608912;12.9743902801935;16.5150410894276;198;207.4;0.875;0.897621803608912;1.51473679359004
4;32958837;33166079.6;5;127;144.8;0.543103448275862;0.627771282478379;1.42803778680482;1.77539319945271;127;144.8;0.543103448275862;0.627771282478379;1.05936403918227
5;34342239;34819401.8;5;190;203.8;0.862068965517241;0.881557575151976;6.16799876044422;6.8466078591351;190;203.8;0.862068965517241;0.881557575151976;1.48762840806896
6;32684751;32953394;5;112;126.2;0.476923076923077;0.547471935108472;0.823875319362711;1.12237396032883;112;126.2;0.476923076923077;0.547471935108472;0.923858890495547
7;32482544;32803270.5714286;7;83;105.285714285714;0.361233480176211;0.486096122565361;0.418807612633378;0.657321415129137;83;105.285714285714;0.361233480176211;0.486096122565361;0.759525191508377
8;42397334;43060172.6;5;213;226.6;0.974137931034483;0.980107385969976;30.2090231927909;32.134542837928;213;226.6;0.974137931034483;0.980107385969976;1.65393121382433
9;39587285;40467960;5;208;219.6;0.929515418502203;0.949830038345506;21.642521423258;24.1812984313704;208;219.6;0.929515418502203;0.949830038345506;1.60283818970804
10;33303398;33555474.4;5;170;181;0.738461538461539;0.783912528900688;2.36081354518896;2.97066810633627;170;181;0.738461538461539;0.783912528900688;1.32285239251991
11;32928080;33188554.8;5;133;148.2;0.568965517241379;0.641155861018145;1.74114858684612;1.84362190936323;133;148.2;0.568965517241379;0.641155861018145;1.08195051546812
12;32785250;33264635.6;5;144;158;0.619230769230769;0.683583626055182;1.35461410541269;2.07690899143207;144;158;0.619230769230769;0.683583626055182;1.15354736896812
13;33563032;33963898.2;5;176;194.6;0.779735682819383;0.840929088285229;3.13139279668945;4.22247653643464;176;194.6;0.779735682819383;0.840929088285229;1.41906783648132
14;39587452;40082518.2;5;205;218;0.934615384615385;0.943048548228188;21.8148498603514;23.0001742933157;205;218;0.934615384615385;0.943048548228188;1.59139442513507
15;33879165;34128387.8;5;185;198.6;0.831896551724138;0.859277906538631;4.31723093656414;4.72839199117704;185;198.6;0.831896551724138;0.859277906538631;1.45003146728394
16;32722408;33052405;5;121;136.8;0.517241379310345;0.591692304967327;1.16033995287116;1.4253508761608;121;136.8;0.517241379310345;0.591692304967327;0.998480764632364
17;32701560;32861423.2857143;7;87;118.285714285714;0.370689655172414;0.550495849868671;0.547041903036642;0.836600920633178;87;118.285714285714;0.370689655172414;0.550495849868671;0.860149765419798
18;33966876;34238285.4;5;187;201.2;0.84051724137931;0.870139618232327;4.87492391199528;5.06451807094686;187;201.2;0.84051724137931;0.870139618232327;1.46836060576705
19;33910491;34196803.6;5;186;200.6;0.844827586206897;0.867499507615576;4.83326280659962;4.9372103240931;186;200.6;0.844827586206897;0.867499507615576;1.46390541910129
20;76438557;77087315.2;5;216;231.2;1;1;133.354180637273;136.560917708863;216;231.2;1;1;1.6875
21;38966134;39562496.8;5;204;216.4;0.922413793103448;0.935591196765226;20.4626310535927;21.3986299196392;204;216.4;0.922413793103448;0.935591196765226;1.57881014454132
22;33028345;33262127.6;5;134;154.8;0.573275862068966;0.670222089146607;1.88099682503414;2.06943785305745;134;154.8;0.573275862068966;0.670222089146607;1.1309997754349
23;32574242;32829270.7142857;7;84;115.285714285714;0.448275862068966;0.526231780250215;0.486646456391362;0.737188839428679;84;115.285714285714;0.448275862068966;0.526231780250215;0.82223715664096
24;33130787;33428217;5;164;172.4;0.702586206896552;0.746342340002807;2.31738833244235;2.57918089170794;164;172.4;0.702586206896552;0.746342340002807;1.25945269875474
25;32699664;32923144.2;5;109;121;0.438461538461538;0.52566704616328;0.714275748398707;1.02975194153374;109;121;0.438461538461538;0.52566704616328;0.887063140400535
26;33209280;33635079.2;5;175;185.4;0.75;0.80122272290007;2.66549009443575;3.21242621894687;175;185.4;0.75;0.80122272290007;1.35206334489387
27;32790864;33043230.2;5;117;136.6;0.5;0.590348886781167;1.32952195450872;1.3971368853688;117;136.6;0.5;0.590348886781167;0.996213746443219
28;50280036;51085644.6;5;215;230.2;0.995348837209302;0.995635751452215;54.8044508386763;56.7582305323546;215;230.2;0.995348837209302;0.995635751452215;1.68013533057561
29;33058225;33342852;5;149;166.2;0.663793103448276;0.718384753828933;2.11612203763627;2.31689337665061;149;166.2;0.663793103448276;0.718384753828933;1.21227427208632
30;32658554;33066940.2;5;122;138.6;0.533039647577093;0.597196900649828;0.96293723277334;1.46876189203574;122;138.6;0.533039647577093;0.597196900649828;1.00776976984658
31;33599727;33831908;5;178;192.8;0.806034482758621;0.834031221382024;3.62019269391165;3.81781973935713;178;192.8;0.806034482758621;0.834031221382024;1.40742768608217
32;41776199;42526802.2;5;212;225.4;0.964757709251101;0.974935930046549;28.3685451487716;30.4997884981549;212;225.4;0.964757709251101;0.974935930046549;1.64520438195355
33;37717910;38467123.8;5;197;209;0.887931034482759;0.90395091142409;16.6037841075693;18.0380010716505;197;209;0.887931034482759;0.90395091142409;1.52541716302815
34;33625221;34214441.4;5;189;201;0.857758620689655;0.869304238947662;3.95135918329795;4.99055839500505;189;201;0.857758620689655;0.869304238947662;1.46695090322418
35;33707889;34075195.4;5;183;197.4;0.836206896551724;0.85368119410986;4.20692481841942;4.56424588394005;183;197.4;0.836206896551724;0.85368119410986;1.44058701506039
36;32637608;32907201;5;101;120.6;0.460829493087558;0.520590282506517;0.828059227421296;0.97996316242887;101;120.6;0.460829493087558;0.520590282506517;0.878496101729748
37;33002516;33235663.6;5;135;152;0.577586206896552;0.658637434701592;1.6877166682083;1.98870900583111;135;152;0.577586206896552;0.658637434701592;1.11145067105894
38;33084665;33298378.4;5;131;158.4;0.560344827586207;0.685268506507199;1.82872567103324;2.18040525056921;131;158.4;0.560344827586207;0.685268506507199;1.1563906047309
39;41528630;42020753.8;5;211;224.2;0.965384615384615;0.969791252046527;27.5410936648713;28.9497022732401;211;224.2;0.965384615384615;0.969791252046527;1.63652273782851
40;33471332;33754538;5;173;190;0.792626728110599;0.821427524677675;3.26534392149717;3.58024271720929;173;190;0.792626728110599;0.821427524677675;1.38615894789358
41;32956257;33242417.4;5;136;153.4;0.581896551724138;0.662905267244325;1.8434694747881;2.008555066698;136;153.4;0.581896551724138;0.662905267244325;1.1186526384748
42;38165358;38490029.2;5;195;208;0.884615384615385;0.900034752826037;17.5433330337198;18.112726820735;195;208;0.884615384615385;0.900034752826037;1.51880864539394
43;33334740;33623568;5;168;185;0.769585253456221;0.799655457228166;2.97065944821909;3.17829100996372;168;185;0.769585253456221;0.799655457228166;1.34941858407253
44;33010049;33410737.2;5;138;169.6;0.59051724137931;0.732896292539114;1.94170752845891;2.52398814783063;138;169.6;0.59051724137931;0.732896292539114;1.23676249365975
45;33584202;33775261.6;5;175;190.2;0.788793103448276;0.822817929158153;3.40064071741301;3.64461291917114;175;190.2;0.788793103448276;0.822817929158153;1.38850525545438
46;33068264;33283634.4;5;123;156.8;0.525862068965517;0.653902683821555;1.55795065136246;1.87921919575679;123;156.8;0.525862068965517;0.653902683821555;1.10346077894887
47;43730719;45584259.4;5;214;235;0.981566820276498;0.987169867342077;34.1447293062506;39.5375492471491;214;235;0.981566820276498;0.987169867342077;1.66584915113975
48;37949559;38625420.2;5;196;215.6;0.883620689655172;0.904948223387854;15.8563941627482;18.2317725296406;196;215.6;0.883620689655172;0.904948223387854;1.527100126967
49;39339377;39734021.8;5;206;223.2;0.915384615384615;0.937545603849108;19.5800654867772;21.6269923880818;206;223.2;0.915384615384615;0.937545603849108;1.58210820649537
50;32754429;32924337.8;5;81;113;0.344827586206897;0.473418538072186;0.557753511390144;0.780591717742751;81;113;0.344827586206897;0.473418538072186;0.798893782996815
51;39122044;39322403;5;201;221.4;0.913793103448276;0.929343224474497;19.9256889618526;20.3648488887802;201;221.4;0.913793103448276;0.929343224474497;1.56826669130071
52;33303327;33455702.4;5;160;178;0.685344827586207;0.746230347642099;1.67188977987579;2.40726223183245;160;178;0.685344827586207;0.746230347642099;1.25926371164604
53;33122955;33356765.8;5;128;164.2;0.547413793103448;0.688594010167501;1.72591549762937;2.10431202042446;128;164.2;0.547413793103448;0.688594010167501;1.16200239215766
54;32801215;32909580.4;5;96;112.2;0.40948275862069;0.467786867081265;0.532393030486797;0.734966752744295;96;112.2;0.40948275862069;0.467786867081265;0.789390338199634
55;32928229;33091099.4;5;115;140.8;0.491379310344828;0.585985640603781;1.04063954646913;1.28975139396999;115;140.8;0.491379310344828;0.585985640603781;0.98885076851888
56;33250522;33405520.4;5;144;169.4;0.616379310344828;0.708715070896649;2.1176942463034;2.2528642294737;144;169.4;0.616379310344828;0.708715070896649;1.1959566821381
57;33979115;34184738.2;5;184;205;0.827586206896552;0.859733075305317;4.35532038654856;4.63817436104885;184;205;0.827586206896552;0.859733075305317;1.45079956457772
