CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;ras;1;1.8;0.88;0.38;91;NA;16;NA;18;0
2;FALSE;FALSE;as;3;4.3;5.88;0.88;43;NA;NA;NA;41;1
3;FALSE;FALSE;mmas;0;0.55;3.38;0.63;19;NA;NA;NA;NA;NA
4;FALSE;FALSE;acs;2;3.05;8.38;0.14;67;0.61;NA;NA;6;0
5;FALSE;FALSE;mmas;2;2.43;4.63;0.51;31;NA;NA;NA;24;0
6;FALSE;FALSE;ras;0;4.93;9.63;0.01;79;NA;78;NA;NA;NA
7;FALSE;FALSE;as;1;3.68;7.13;0.75;7;NA;NA;NA;12;0
8;FALSE;FALSE;eas;3;1.18;2.13;0.26;55;NA;NA;438;35;1
9;FALSE;FALSE;mmas;0;1.49;7.75;0.32;37;NA;NA;NA;NA;NA
10;FALSE;FALSE;ras;2;3.99;2.75;0.82;85;NA;47;NA;50;0
11;FALSE;FALSE;acs;1;0.24;5.25;0.57;61;0.3;NA;NA;38;0
12;FALSE;FALSE;eas;3;2.74;0.25;0.07;13;NA;NA;485;15;1
13;FALSE;FALSE;mmas;1;4.62;1.5;0.2;49;NA;NA;NA;44;0
14;FALSE;FALSE;acs;3;2.12;6.5;0.69;97;0.92;NA;NA;21;1
15;FALSE;FALSE;as;2;0.87;9;0.45;25;NA;NA;NA;32;0
16;FALSE;FALSE;eas;0;3.37;4;0.94;73;NA;NA;579;NA;NA
17;FALSE;FALSE;eas;1;1.96;9.94;0.91;88;NA;NA;415;34;1
18;TRUE;FALSE;acs;3;4.46;4.94;0.41;40;0.08;NA;NA;11;0
19;FALSE;FALSE;mmas;2;3.21;2.44;0.66;64;NA;NA;NA;45;1
20;FALSE;FALSE;ras;0;0.71;7.44;0.17;16;NA;100;NA;NA;NA
21;FALSE;FALSE;ras;2;1.34;6.19;0.04;52;NA;38;NA;28;1
22;FALSE;FALSE;as;0;3.84;1.19;0.54;100;NA;NA;NA;NA;NA
23;FALSE;FALSE;mmas;3;0.09;8.69;0.79;76;NA;NA;NA;17;0
24;FALSE;FALSE;acs;1;2.59;3.69;0.29;28;0.7;NA;NA;40;1
25;FALSE;FALSE;eas;1;4.15;8.06;0.72;34;NA;NA;555;14;1
26;FALSE;FALSE;as;3;1.65;3.06;0.23;82;NA;NA;NA;37;0
27;FALSE;FALSE;mmas;0;2.9;5.56;0.48;58;NA;NA;NA;NA;NA
28;FALSE;FALSE;acs;2;0.4;0.56;0.97;10;0.39;NA;NA;25;1
29;FALSE;FALSE;ras;3;3.52;9.31;0.6;22;NA;69;NA;42;0
30;FALSE;FALSE;as;1;1.02;4.31;0.1;70;NA;NA;NA;19;1
31;FALSE;FALSE;eas;2;4.77;6.81;0.35;94;NA;NA;649;8;1
32;FALSE;FALSE;acs;0;2.27;1.81;0.85;46;0.77;NA;NA;NA;NA
33;FALSE;FALSE;ras;1;0.48;9.16;0.83;39;NA;49;NA;9;1
34;FALSE;FALSE;as;3;2.98;4.16;0.34;87;NA;NA;NA;32;0
35;FALSE;FALSE;acs;2;4.23;1.66;0.58;15;0.13;NA;NA;20;1
36;FALSE;FALSE;mmas;0;1.73;6.66;0.09;63;NA;NA;NA;NA;NA
37;FALSE;FALSE;ras;3;2.35;7.91;0.96;27;NA;86;NA;49;0
38;FALSE;FALSE;mmas;1;4.85;2.91;0.46;75;NA;NA;NA;26;1
39;FALSE;FALSE;acs;0;3.6;0.41;0.71;51;0.5;NA;NA;NA;NA
40;FALSE;FALSE;eas;2;1.1;5.41;0.21;99;NA;NA;262;14;1
41;TRUE;FALSE;mmas;3;3.91;9.78;0.65;69;NA;NA;NA;23;0
42;FALSE;FALSE;ras;1;1.41;4.78;0.15;21;NA;42;NA;46;1
43;FALSE;FALSE;eas;2;2.66;7.28;0.4;45;NA;NA;309;34;1
44;FALSE;FALSE;as;0;0.16;2.28;0.89;93;NA;NA;NA;NA;NA
45;FALSE;FALSE;acs;3;0.79;3.53;0.03;33;0.31;NA;NA;6;0
46;FALSE;FALSE;mmas;0;3.56;8.88;0.25;14;NA;NA;NA;NA;NA
47;FALSE;FALSE;eas;3;3.55;4.21;0.28;26;NA;NA;608;7;1
48;FALSE;FALSE;ras;1;0.94;5.03;0.74;54;NA;72;NA;18;1
49;FALSE;FALSE;acs;2;4.65;3.31;0.4;43;0.16;NA;NA;24;1
50;FALSE;FALSE;mmas;2;3.29;8.14;0.04;45;NA;NA;NA;32;1
51;FALSE;FALSE;eas;1;4.35;0.59;0.87;67;NA;NA;312;15;1
52;FALSE;FALSE;ras;2;3.09;1.94;0.89;31;NA;83;NA;26;0
53;FALSE;FALSE;eas;1;1.59;9.9;0.2;68;NA;NA;359;22;0
54;FALSE;FALSE;as;3;3.91;5.22;0.49;47;NA;NA;NA;26;1
55;FALSE;FALSE;acs;3;1.23;7.3;0.29;62;0.71;NA;NA;44;1
56;FALSE;FALSE;ras;3;4.53;6.34;0.11;33;NA;53;NA;7;1
57;FALSE;FALSE;acs;3;0.99;1.96;0.59;8;0.4;NA;NA;15;1
58;FALSE;FALSE;ras;3;2.24;3.46;0.44;6;NA;58;NA;25;1
59;FALSE;FALSE;acs;3;2.71;4.66;0.61;67;0.14;NA;NA;14;0
60;FALSE;FALSE;acs;3;3.55;3.91;0.78;31;0.49;NA;NA;6;1
61;FALSE;FALSE;as;3;3.99;7.74;0.74;22;NA;NA;NA;23;1
62;FALSE;FALSE;acs;0;4.43;8.93;0.42;55;0.65;NA;NA;NA;NA
63;FALSE;FALSE;eas;1;4.84;6.85;0.77;12;NA;NA;618;18;1
64;FALSE;FALSE;mmas;2;2.97;9.34;0.56;84;NA;NA;NA;21;0
65;TRUE;FALSE;acs;3;2.49;8.21;0.91;47;0.08;NA;NA;39;1
66;FALSE;FALSE;eas;1;3.79;5.63;0.56;79;NA;NA;687;16;0
67;FALSE;FALSE;as;3;4.44;7.52;0.19;9;NA;NA;NA;8;0
68;FALSE;FALSE;as;2;3.45;7.24;0.88;71;NA;NA;NA;18;0
69;FALSE;FALSE;acs;2;3.65;4.64;0.04;55;0.17;NA;NA;15;0
70;FALSE;FALSE;mmas;3;4.55;3.28;0.38;56;NA;NA;NA;16;1
71;FALSE;FALSE;ras;3;2.2;5.27;0.98;35;NA;39;NA;36;0
72;FALSE;FALSE;as;3;3.26;3.12;0.78;83;NA;NA;NA;30;0
73;FALSE;FALSE;acs;3;3.05;5.05;0.34;91;0.14;NA;NA;14;0
74;FALSE;FALSE;eas;1;3.62;1.56;0.55;14;NA;NA;118;13;0
75;FALSE;FALSE;mmas;0;3.66;9.77;0.51;80;NA;NA;NA;NA;NA
76;FALSE;FALSE;acs;3;1.26;9.75;0.44;43;0.24;NA;NA;11;0
77;FALSE;FALSE;acs;1;4.56;0.28;0.58;35;0.17;NA;NA;8;1
78;TRUE;FALSE;acs;3;2.65;5.25;0.2;46;0.63;NA;NA;41;0
79;FALSE;FALSE;eas;3;4.92;9.45;0.33;45;NA;NA;598;30;0
80;FALSE;FALSE;mmas;3;1.65;7.76;0.5;7;NA;NA;NA;33;1
81;FALSE;FALSE;eas;3;2.27;7.55;0.52;38;NA;NA;487;7;0
82;FALSE;FALSE;as;3;1.65;7.99;0.66;45;NA;NA;NA;36;0
83;FALSE;FALSE;ras;2;3.1;2.27;0.46;27;NA;32;NA;7;0
84;FALSE;FALSE;eas;2;4.39;7.19;0.76;51;NA;NA;251;17;1
85;FALSE;FALSE;ras;2;4.08;8.87;0.79;63;NA;99;NA;33;1
86;FALSE;FALSE;as;1;4.32;3.2;0.5;89;NA;NA;NA;20;0
87;FALSE;FALSE;acs;1;4.26;8.54;0.53;71;0.09;NA;NA;20;1
88;TRUE;FALSE;acs;3;3.99;5.99;0.37;33;0;NA;NA;45;0
89;FALSE;FALSE;acs;3;4.29;1.92;0.24;97;0.84;NA;NA;40;0
90;FALSE;FALSE;acs;3;3.12;8.45;0.99;69;0.13;NA;NA;17;1
91;FALSE;FALSE;mmas;2;0.88;8.75;0.96;46;NA;NA;NA;24;0
92;FALSE;FALSE;acs;2;2.89;3.68;0.25;27;0.7;NA;NA;41;0
93;FALSE;FALSE;as;3;2.27;3.32;0.01;22;NA;NA;NA;46;1
94;FALSE;FALSE;acs;3;1.8;6.54;0.65;94;0.09;NA;NA;32;1
95;FALSE;FALSE;acs;2;2.74;8.82;0.17;31;0.83;NA;NA;37;0
96;FALSE;FALSE;acs;0;1.62;7.62;0.85;72;0.27;NA;NA;NA;NA
97;FALSE;FALSE;mmas;3;2.99;5.01;0.51;56;NA;NA;NA;48;0
98;FALSE;FALSE;acs;3;2.23;2.45;0.3;90;0.54;NA;NA;47;0
99;FALSE;FALSE;acs;0;4.81;8.25;0.63;89;0.53;NA;NA;NA;NA
100;FALSE;FALSE;acs;2;1.44;8.86;0.92;71;0.75;NA;NA;43;1
101;FALSE;FALSE;mmas;3;1.05;7.71;0.96;86;NA;NA;NA;15;1
102;FALSE;FALSE;mmas;3;0.4;5.85;0.79;35;NA;NA;NA;21;1
103;FALSE;FALSE;eas;0;3.18;0.75;0.56;17;NA;NA;69;NA;NA
104;FALSE;FALSE;ras;3;1.55;7.4;0.73;93;NA;18;NA;18;1
105;FALSE;FALSE;acs;3;4.41;8.36;0.51;54;0.27;NA;NA;36;1
106;FALSE;FALSE;acs;0;0.66;8.45;0.44;55;0.04;NA;NA;NA;NA
107;FALSE;FALSE;acs;3;3.2;9.19;0.88;27;0.36;NA;NA;28;0
108;FALSE;FALSE;acs;0;2.97;7.44;0.7;47;0.49;NA;NA;NA;NA
109;FALSE;FALSE;acs;3;1.08;6.56;0.66;69;0.4;NA;NA;31;1
110;FALSE;FALSE;ras;3;2.72;7.96;0.44;65;NA;35;NA;42;0
111;FALSE;FALSE;acs;3;0.99;7.76;0.83;85;0.16;NA;NA;35;0
112;FALSE;FALSE;acs;3;2.55;5.69;0.63;44;0.08;NA;NA;36;1
113;FALSE;FALSE;acs;3;1.98;0.69;0.17;30;0.9;NA;NA;39;0
114;TRUE;FALSE;acs;3;2.73;7.55;0.33;7;0.54;NA;NA;36;0
115;FALSE;FALSE;acs;0;2.02;5.3;0.12;44;0.79;NA;NA;NA;NA
116;FALSE;FALSE;mmas;2;1.15;3.74;0.14;80;NA;NA;NA;39;0
117;FALSE;FALSE;mmas;0;2.62;4.39;0.5;14;NA;NA;NA;NA;NA
118;FALSE;FALSE;acs;3;1.54;5.72;0.29;45;0.54;NA;NA;26;0
119;FALSE;FALSE;acs;3;3.96;4.99;0.13;53;0.8;NA;NA;37;0
120;FALSE;FALSE;ras;3;4.4;7.79;0.21;61;NA;10;NA;36;0
121;TRUE;FALSE;acs;3;2.33;3.05;0.11;20;0.53;NA;NA;26;0
122;FALSE;FALSE;acs;3;2.34;6.75;0.27;67;0.38;NA;NA;31;0
123;FALSE;FALSE;acs;3;3.96;2.82;0.35;50;0.81;NA;NA;44;0
124;FALSE;FALSE;acs;3;4.89;3.25;0.41;32;0.37;NA;NA;47;0
125;FALSE;FALSE;acs;3;1.93;4.68;0.01;28;0.82;NA;NA;39;1
126;FALSE;FALSE;acs;3;4.32;7.47;0.34;60;0.21;NA;NA;49;1
127;FALSE;FALSE;acs;2;1.28;4.32;0.8;34;0;NA;NA;39;1
128;FALSE;FALSE;acs;3;0.3;4.65;0.33;54;0.37;NA;NA;23;0
129;FALSE;FALSE;ras;3;1.53;9.17;0.13;60;NA;66;NA;48;0
130;FALSE;FALSE;acs;3;4.04;6.2;0.44;75;0.51;NA;NA;30;0
131;FALSE;FALSE;acs;3;1.78;6.6;0.23;60;0.48;NA;NA;43;0
132;FALSE;FALSE;acs;3;3.54;4.91;0.46;37;0.07;NA;NA;43;0
133;FALSE;FALSE;acs;3;4.91;4.73;0.13;23;0.14;NA;NA;42;0
134;FALSE;FALSE;acs;3;2.91;8;0.84;36;0.51;NA;NA;41;1
135;FALSE;FALSE;ras;3;2.23;9.64;0.92;19;NA;37;NA;34;0
136;TRUE;FALSE;acs;3;3.6;5.32;0.61;35;0.17;NA;NA;44;0
137;FALSE;FALSE;eas;3;4.22;2.31;0.11;46;NA;NA;30;39;0
138;FALSE;FALSE;acs;2;2.4;7.94;0.8;72;0.1;NA;NA;29;1
139;FALSE;FALSE;acs;3;3.47;1.47;0.14;27;0.85;NA;NA;17;0
140;FALSE;FALSE;eas;3;2.75;8.33;0.47;8;NA;NA;465;36;1
141;FALSE;FALSE;acs;1;1.18;9.78;0.75;46;0.17;NA;NA;41;1
142;TRUE;FALSE;acs;3;2.42;5.25;0.38;31;0.01;NA;NA;41;0
143;FALSE;FALSE;acs;3;1.35;6.28;0.87;41;0.27;NA;NA;36;1
144;FALSE;FALSE;acs;3;3.07;6.98;0.47;39;0.46;NA;NA;32;0
145;FALSE;FALSE;acs;3;3.13;2.19;0.31;28;0.35;NA;NA;18;1
146;FALSE;FALSE;ras;3;3.77;8.77;0.21;85;NA;8;NA;46;0
147;FALSE;FALSE;acs;3;0.88;2.69;0.27;19;0.16;NA;NA;12;0
148;FALSE;FALSE;acs;3;2.57;3.98;0.24;56;0.5;NA;NA;37;0
149;FALSE;FALSE;acs;3;3.31;5.58;0.51;23;0.65;NA;NA;35;0
150;TRUE;FALSE;acs;3;2.48;6.74;0.14;39;0.78;NA;NA;34;0
151;FALSE;FALSE;acs;3;3.48;7.69;0.6;32;0.06;NA;NA;42;0
152;FALSE;FALSE;acs;3;2.09;6.73;0.13;80;0.28;NA;NA;35;0
153;FALSE;FALSE;acs;3;1.77;5.86;0.09;31;0.78;NA;NA;33;0
154;FALSE;FALSE;acs;3;3.08;4.84;0.17;73;0.49;NA;NA;46;0
155;FALSE;FALSE;acs;3;1.38;4.21;0.1;20;0.46;NA;NA;23;0
156;FALSE;FALSE;acs;3;4.5;4.39;0.34;57;0.16;NA;NA;49;0
157;FALSE;FALSE;acs;3;1.85;7.88;0.88;47;0.08;NA;NA;28;1
158;FALSE;FALSE;acs;3;2.37;5.01;0.56;32;0.23;NA;NA;35;1
159;FALSE;FALSE;acs;3;3.79;4.86;0.43;20;0.15;NA;NA;49;0
160;FALSE;FALSE;acs;3;1.26;6.99;0.13;30;0.54;NA;NA;37;1
