EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;223;1698173429;2000-527.tsp;32729956
2;126;897033292;2000-320.tsp;32396057
3;285;273413337;2000-707.tsp;32595833
4;313;394993924;2000-735.tsp;32430672
5;286;1932913714;2000-708.tsp;32727025
6;295;17961402;2000-717.tsp;32414542
7;144;23398968;2000-337.tsp;32561519
8;324;808199305;2000-805.tsp;32823739
9;310;1128251915;2000-732.tsp;32383736
10;78;2138501557;2000-223.tsp;31976970
11;382;1442343208;2000-922.tsp;32842612
12;385;1947351331;2000-925.tsp;32801466
13;128;2032540361;2000-322.tsp;32600968
14;320;1061552638;2000-801.tsp;32667812
15;335;1936515083;2000-816.tsp;32764060
16;108;1458909151;2000-304.tsp;32574687
17;175;1447060027;2000-420.tsp;32591063
