CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;eas;2;0.83;9.12;0.75;26;NA;NA;245;34;1
2;FALSE;as;0;3.33;4.12;0.25;74;NA;NA;NA;NA;NA
3;FALSE;acs;1;4.58;1.62;0.99;50;0.81;NA;NA;45;1
4;FALSE;mmas;3;2.08;6.62;0.5;98;NA;NA;NA;22;0
5;FALSE;eas;1;0.2;5.37;0.37;62;NA;NA;151;28;1
6;TRUE;acs;3;2.7;0.37;0.87;14;0.44;NA;NA;5;0
7;FALSE;ras;0;1.45;7.87;0.62;38;NA;13;NA;NA;NA
8;FALSE;mmas;2;3.95;2.87;0.13;86;NA;NA;NA;39;1
9;FALSE;mmas;0;4.89;9.75;0.81;80;NA;NA;NA;NA;NA
10;FALSE;ras;2;2.39;4.75;0.31;32;NA;69;NA;19;1
11;FALSE;as;3;1.14;2.25;0.56;56;NA;NA;NA;31;0
12;FALSE;eas;1;3.64;7.25;0.06;8;NA;NA;10;8;1
13;FALSE;ras;3;4.26;6;0.19;44;NA;31;NA;48;0
14;FALSE;as;1;1.76;1;0.68;92;NA;NA;NA;25;1
15;FALSE;mmas;2;3.01;8.5;0.93;68;NA;NA;NA;14;1
16;FALSE;acs;0;0.51;3.5;0.44;20;0.75;NA;NA;NA;NA
17;FALSE;acs;2;4.73;6.31;0.59;89;0.91;NA;NA;12;0
18;FALSE;eas;0;2.23;1.31;0.1;41;NA;NA;221;NA;NA
19;FALSE;as;3;3.48;8.81;0.34;17;NA;NA;NA;47;1
20;FALSE;ras;1;0.98;3.81;0.84;65;NA;78;NA;24;0
21;TRUE;eas;3;1.61;2.56;0.96;77;NA;NA;128;29;1
22;FALSE;as;1;4.11;7.56;0.47;29;NA;NA;NA;6;0
23;FALSE;ras;0;2.86;5.06;0.71;53;NA;16;NA;NA;NA
24;FALSE;mmas;2;0.36;0.06;0.22;5;NA;NA;NA;18;0
25;FALSE;ras;0;3.79;0.69;0.28;95;NA;22;NA;NA;NA
26;FALSE;as;2;1.29;5.69;0.78;47;NA;NA;NA;38;0
27;FALSE;acs;3;0.04;8.19;0.03;71;0.59;NA;NA;26;1
28;FALSE;mmas;1;2.54;3.19;0.53;23;NA;NA;NA;49;0
29;FALSE;ras;2;3.17;1.94;0.4;59;NA;60;NA;44;0
30;FALSE;mmas;0;0.67;6.94;0.9;11;NA;NA;NA;NA;NA
31;FALSE;acs;1;1.92;9.44;0.16;83;0.22;NA;NA;32;0
32;FALSE;eas;3;4.42;4.44;0.65;35;NA;NA;81;9;1
33;FALSE;acs;0;1.84;6.47;0.85;60;0.02;NA;NA;NA;NA
34;FALSE;mmas;2;4.34;1.47;0.36;12;NA;NA;NA;24;0
35;FALSE;as;1;0.59;8.97;0.11;36;NA;NA;NA;13;0
36;TRUE;ras;3;3.09;3.97;0.61;84;NA;8;NA;36;1
