CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;32619879;32924453.6;5;102;154.8;0.328025477707006;0.458548039735096;0.848022262904422;1.05854355282618;102;154.8;0.328025477707006;0.458548039735096
2;33005935;33419933.8;5;131;238.4;0.550847457627119;0.713118507096192;2.13508685060451;2.57871077299739;131;238.4;0.550847457627119;0.713118507096192
3;32464130;32923100.4;5;101;153.8;0.401273885350318;0.462247798047445;0.840983221741582;1.05281826797025;101;153.8;0.401273885350318;0.462247798047445
4;39056582;39389291.6;5;219;307.8;0.923728813559322;0.939387872596798;20.3497539248412;20.9026119679145;219;307.8;0.923728813559322;0.939387872596798
5;33005380;33331588.2;5;137;227.4;0.576271186440678;0.681483017871575;2.09581361692378;2.30799373792705;137;227.4;0.576271186440678;0.681483017871575
6;32670837;33493145;5;169;242.8;0.648241206030151;0.741138378221021;1.48306225231522;2.79928953049932;169;242.8;0.648241206030151;0.741138378221021
7;46446217;47497869.4;5;233;322;0.977707006369427;0.984611349603795;42.0180429279834;45.7971990636878;233;322;0.977707006369427;0.984611349603795
8;33165262;33431876.2;5;150;239.8;0.63135593220339;0.719999789711989;2.47137331289004;2.61651446073145;150;239.8;0.63135593220339;0.719999789711989
9;33081497;33406635.8;5;148;237.4;0.622881355932203;0.713258979559227;2.42833683491708;2.53848140009366;148;237.4;0.622881355932203;0.713258979559227
10;33046035;33626570.8;5;168;256.2;0.707627118644068;0.776230135596131;2.64851271172476;3.21120166993803;168;256.2;0.707627118644068;0.776230135596131
11;37207378;38012905.8;5;205;295.2;0.864406779661017;0.899192053937346;15.5745920381355;16.6717162958589;205;295.2;0.864406779661017;0.899192053937346
12;33257111;33665341.4;5;170;261.2;0.716101694915254;0.789778237446552;3.27421300846632;3.33179049951935;170;261.2;0.716101694915254;0.789778237446552
13;40619903;40995541;5;227;315.4;0.957377049180328;0.963844389329881;25.3272598594388;25.8318391686867;227;315.4;0.957377049180328;0.963844389329881
14;32512882;32891250.1666667;6;80;147.833333333333;0.272131147540984;0.426891653650129;0.657323786317692;0.853971991786219;80;147.833333333333;0.272131147540984;0.426891653650129
15;32870543;33180266.2;5;122;206.4;0.51271186440678;0.615771808322331;1.61625429574696;1.84367709154418;122;206.4;0.51271186440678;0.615771808322331
