network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L1;min;0.11904422;20;17275;16818;456;3597;13424;254;13615;12393;0;1222;0.0897539478516342;3597;0;1;0;0.941814259763851;0.058185740236149;1;1.57626628075253;0.788133140376266;0.788133140376266;0.786122012129861;0;0.861842105263158;29.8574561403509;1;0;0.05;0;1;0;NA;0;3660;0.120298312435268;5.78871201157742e-05;0.973545586107091;0.0263965267727931;0.20821997105644;0.777076700434153;0.0147033285094067;0.910246052148366;0;0.0897539478516342
BH-L2;min;0.11904422;20;16998;16544;453;3596;13188;214;13508;12096;0;1412;0.10453064850459;3596;0;1;0;0.939036827195467;0.0609631728045326;1;1.58936345452406;0.794681727262031;0.794681727262031;0.791465183752418;0;0.911699779249448;29.8189845474614;1;0;0.05;0;1;0;NA;0;3635;0.120298312435268;5.88304506412519e-05;0.973290975408872;0.0266501941404871;0.211554300505942;0.77585598305683;0.0125897164372279;0.89546935149541;0;0.10453064850459
BH-L3;min;0.11904422;20;15356;14924;431;3586;11678;92;12947;11005;0;1942;0.149996138101491;3586;0;1;0;0.918903708706174;0.0810962912938263;1;1.68624641833811;0.843123209169054;0.843123209169054;0.827995175556151;0;1.36658932714617;30.0394431554524;1;0;0.05;0;1;0;NA;0;3608;0.120298312435268;6.51211252930451e-05;0.971867673873405;0.0280672050013024;0.23352435530086;0.76048450117218;0.00599114352696015;0.850003861898509;0;0.149996138101491
BH-L4;min;0.11904422;20;13058;12657;400;3510;9532;16;12073;10005;0;2068;0.171291311190259;3510;0;1;0;0.875532153260139;0.124467846739861;1;1.84913463011181;0.924567315055904;0.924567315055904;0.876353006241606;0;2.45;30.1825;1;0;0.05;0;1;0;NA;0;3521;0.120298312435268;7.65814060346148e-05;0.969290856180119;0.0306325624138459;0.268800735181498;0.729973962321948;0.00122530249655384;0.828708688809741;0;0.171291311190259
BH-L5;min;0.12879456;20;11065;10692;372;3285;7773;7;11346;9076;0;2270;0.200070509430636;3285;0;1;0;0.812755473430763;0.187244526569237;1;2.05079078174424;1.02539539087212;1.02539539087212;0.923587729143285;0;3.95161290322581;30.5;1;0;0.05;0;1;0;NA;0;3286;0.120298312435268;9.03750564844103e-05;0.966290103931315;0.0336195210122006;0.296882060551288;0.702485314053321;0.000632625395390872;0.799929490569364;0;0.200070509430636
BH-90-L1;min;0.12464368;20;10599;10144;454;1721;7178;1700;8799;7885;0;914;0.103875440390954;1721;0;1;0;0.908110992529349;0.091889007470651;1;1.66034531559581;0.830172657797905;0.830172657797905;0.830343059936908;0;0.825991189427313;19.2511013215859;1;59;0.1;0;1;0;NA;0;1800;0.0837433862433862;9.43485234456081e-05;0.957071421832248;0.0428342296443061;0.162373808849891;0.677233701292575;0.160392489857534;0.896124559609046;0;0.103875440390954
BH-90-L2;min;0.12846592;20;10481;10027;453;1721;7163;1597;8738;7732;0;1006;0.115129320210574;1721;0;1;0;0.906465654528082;0.0935343454719185;1;1.66739814903158;0.833699074515791;0.833699074515791;0.833050762940062;0;0.847682119205298;19.2891832229581;1;0;0.05;0;0;1;NA;0;1783;0.0837433862433862;9.54107432496899e-05;0.956683522564641;0.0432210666921095;0.164201889132716;0.683427153897529;0.152370956969755;0.884870679789425;0;0.115129320210574
BH-90-L3;min;0.16884641;20;9698;9256;441;1716;6900;1082;8440;7119;0;1321;0.156516587677725;1716;0;1;0;0.887246406361505;0.112753593638495;1;1.74056506496185;0.870282532480924;0.870282532480924;0.860414866032844;0;1.07709750566893;19.1383219954649;1;0;0.05;0;0;1;NA;0;1760;0.0837433862433862;0.000103114044132811;0.954423592493298;0.0454732934625696;0.176943699731903;0.711486904516395;0.111569395751701;0.843483412322275;0;0.156516587677725
BH-90-L4;min;0.19939912;20;8290;7867;422;1691;6150;449;7997;6591;0;1406;0.175815930974115;1691;0;1;0;0.851731394681462;0.148268605318538;1;1.92931242460796;0.964656212303981;0.964656212303981;0.926147197152663;0;1.6824644549763;18.9052132701422;1;19;0.1;0;1;0;NA;0;1717;0.0837433862433862;0.000120627261761158;0.94897466827503;0.0509047044632087;0.203980699638118;0.741857659831122;0.05416164053076;0.824184069025885;0;0.175815930974115
BH-90-L5;min;0.18011434;20;7001;6606;394;1625;5188;188;7553;6117;0;1436;0.190123129882166;1625;0;1;0;0.785449833395039;0.214550166604961;1;2.15769175832024;1.07884587916012;1.07884587916012;0.972600666061157;0;2.86040609137056;19.1319796954315;1;15;0.1;0;1;0;NA;0;1641;0.0837433862433862;0.000142836737608913;0.943579488644479;0.0562776746179117;0.232109698614484;0.741036994715041;0.0268533066704756;0.809876870117834;0;0.190123129882166
