"INSTANCE","BEST"
"2000-100.tsp",32474701
"2000-159.tsp",32569719
"2000-160.tsp",32117169
"2000-171.tsp",32786333
"2000-184.tsp",32896600
"2000-246.tsp",32312985
"2000-256.tsp",32672409
"2000-267.tsp",32822017
"2000-294.tsp",32442893
"2000-355.tsp",32487179
"2000-365.tsp",32454071
"2000-380.tsp",32652524
"2000-382.tsp",32683408
"2000-41.tsp",32363362
"2000-451.tsp",32346945
"2000-463.tsp",32420247
"2000-464.tsp",32530349
"2000-474.tsp",32440893
"2000-52.tsp",32211076
"2000-542.tsp",32447735
"2000-556.tsp",32339542
"2000-575.tsp",32875299
"2000-599.tsp",32479100
"2000-650.tsp",32592725
"2000-660.tsp",32243204
"2000-669.tsp",32179220
"2000-690.tsp",32616799
"2000-750.tsp",32540673
"2000-760.tsp",32069501
"2000-770.tsp",32292214
"2000-780.tsp",32714630
"2000-845.tsp",32430332
"2000-855.tsp",32701081
"2000-86.tsp",32394951
"2000-865.tsp",32602608
"2000-875.tsp",32470419
"2000-947.tsp",32466341
"2000-957.tsp",32462587
"2000-967.tsp",32211002
"2000-977.tsp",32209229
