network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-L1;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;2;1;2;0;2;0;1;0;2;0;2;0;1;0;2;0;2;0;1;0;2;0;1;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-L2;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;9;1;7;0;3;0;2;0;8;0;7;0;2;0;7;0;7;0;1;0;2;0;3;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-L3;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;29;1;25;0;6;0;3;0;25;0;14;0;3;0;22;0;10;0;2;0;4;0;6;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-L4;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;68;1;62;0;10;0;3;0;53;0;25;0;3;0;51;0;19;0;3;0;9;0;8;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-L5;min;20;0.20066729;9112;8719;393;2653;5622;1037;2553;5287;879;100;335;158;111;1;95;0;16;0;4;0;91;0;28;0;4;0;80;0;26;0;2;0;11;0;12;0;0.956870061457419;0.0431299385425812;0.291154521510097;0.616988586479368;0.113805970149254;0.280179982440737;0.580223880597015;0.0964661984196664;0.0109745390693591;0.0367647058823529;0.0173397717295874
BH-65-L0;min;20;0.24144377;5918;5532;386;1298;3520;1300;1198;3215;1119;100;305;181;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.934775261912808;0.0652247380871916;0.219330855018587;0.594795539033457;0.219668807029402;0.202433254477864;0.543257857384251;0.189084150050693;0.0168976005407232;0.0515376816492058;0.030584656978709
BH-65-L1;min;20;0.24144377;5918;5532;386;1298;3520;1300;1198;3215;1119;100;305;181;2;1;2;0;1;0;1;0;2;0;2;0;1;0;2;0;2;0;1;0;1;0;1;0;0.934775261912808;0.0652247380871916;0.219330855018587;0.594795539033457;0.219668807029402;0.202433254477864;0.543257857384251;0.189084150050693;0.0168976005407232;0.0515376816492058;0.030584656978709
BH-65-L2;min;20;0.24144377;5918;5532;386;1298;3520;1300;1198;3215;1119;100;305;181;5;1;5;0;3;0;2;0;3;0;5;0;2;0;3;0;5;0;1;0;2;0;2;0;0.934775261912808;0.0652247380871916;0.219330855018587;0.594795539033457;0.219668807029402;0.202433254477864;0.543257857384251;0.189084150050693;0.0168976005407232;0.0515376816492058;0.030584656978709
BH-65-L3;min;20;0.24144377;5918;5532;386;1298;3520;1300;1198;3215;1119;100;305;181;26;1;20;0;6;0;2;0;8;0;24;0;2;0;5;0;19;0;2;0;3;0;5;0;0.934775261912808;0.0652247380871916;0.219330855018587;0.594795539033457;0.219668807029402;0.202433254477864;0.543257857384251;0.189084150050693;0.0168976005407232;0.0515376816492058;0.030584656978709
