network_name;problem_type;number_of_runs;best_known_elite_solution;elite_components;single_elite_components;multiple_elite_components;max_elite_distance;mean_elite_distance;sd_elite_distance;min_nodes_multiple_elite_components;max_nodes_multiple_elite_components;mean_nodes_multiple_elite_components;sd_nodes_multiple_elite_components;elite_nodes;elite_best_nodes;elite_start_nodes;elite_standard_nodes;elite_end_nodes;elite_edges;elite_to_elite_worsening_edges;elite_to_elite_equal_edges;elite_to_elite_improving_edges;elite_to_regular_worsening_edges;elite_to_regular_equal_edges;elite_to_regular_improving_edges;max_elite_to_elite_degree;min_elite_to_elite_degree;average_elite_to_elite_degree;max_in_elite_to_elite_degree;min_in_elite_to_elite_degree;average_in_elite_to_elite_degree;max_out_elite_to_elite_degree;min_out_elite_to_elite_degree;average_out_elite_to_elite_degree;max_out_elite_to_regular_degree;min_out_elite_to_regular_degree;average_out_elite_to_regular_degree;best_elite_nodes_rate;start_elite_nodes_rate;standard_elite_nodes_rate;end_elite_nodes_rate;elite_to_elite_worsening_edges_rate;elite_to_elite_equal_edges_rate;elite_to_elite_improving_edges_rate
BH-L0;min;20;0.20066729;100;49;51;6;2.56862745098039;1.38931496732432;2;19;7.17647058823529;5.55591894236387;415;1;100;393;122;315;232;0;83;433;0;6020;6;0;1.51807228915663;1;0;0.759036144578313;5;0;0.759036144578313;97;0;15.5493975903614;0.00240963855421687;0.240963855421687;0.946987951807229;0.293975903614458;0.736507936507937;0;0.263492063492063
BH-L1;min;20;0.20066729;97;48;49;6;2.57142857142857;1.4142135623731;2;21;7.44897959183673;6.05551134810883;413;1;100;392;121;317;232;0;85;430;0;6006;6;0;1.53510895883777;2;0;0.767554479418886;5;0;0.767554479418886;97;0;15.5835351089588;0.00242130750605327;0.242130750605327;0.949152542372881;0.292978208232446;0.73186119873817;0;0.26813880126183
BH-L2;min;20;0.20066729;64;43;21;18;2.33333333333333;3.6923344016128;2;275;16.4761904761905;59.3073511865258;389;1;101;381;114;466;318;0;148;433;0;5446;11;0;2.39588688946015;5;0;1.19794344473008;9;0;1.19794344473008;92;0;15.1131105398458;0.0025706940874036;0.259640102827764;0.979434447300771;0.29305912596401;0.682403433476395;0;0.317596566523605
BH-L3;min;20;0.20066729;39;28;11;14;2.36363636363636;3.88001874409718;2;257;25.5454545454545;76.7663515302944;309;1;104;307;87;656;384;0;272;310;0;4558;29;0;4.24595469255663;10;0;2.12297734627832;21;0;2.12297734627832;87;0;15.7540453074434;0.00323624595469256;0.336569579288026;0.993527508090615;0.281553398058252;0.585365853658537;0;0.414634146341463
BH-L4;min;20;0.20066729;25;21;4;16;5.25;7.18215380880508;2;229;59.25;113.167648498441;258;1;106;257;78;806;429;0;377;224;0;4003;41;0;6.24806201550388;17;0;3.12403100775194;24;0;3.12403100775194;100;0;16.3837209302326;0.00387596899224806;0.410852713178295;0.996124031007752;0.302325581395349;0.532258064516129;0;0.467741935483871
BH-L5;min;20;0.20066729;8;5;3;11;4.33333333333333;5.77350269189626;2;205;69.6666666666667;117.202104645494;214;1;115;214;60;834;414;0;420;234;0;3466;43;0;7.79439252336449;17;0;3.89719626168224;29;0;3.89719626168224;72;0;17.2897196261682;0.00467289719626168;0.537383177570093;1;0.280373831775701;0.496402877697842;0;0.503597122302158
BH-65-L0;min;20;0.24603017;100;45;55;6;3;1.82574185835055;2;23;8;6.65554628083197;485;1;100;461;124;385;287;0;98;417;0;5577;6;0;1.58762886597938;1;0;0.793814432989691;5;0;0.793814432989691;71;0;12.3587628865979;0.00206185567010309;0.206185567010309;0.950515463917526;0.255670103092783;0.745454545454545;0;0.254545454545455
BH-65-L1;min;20;0.24603017;97;45;52;8;2.94230769230769;1.96452320751903;2;55;8.46153846153846;9.71447583372268;485;1;100;463;125;396;292;0;104;418;0;5514;6;0;1.63298969072165;2;0;0.816494845360825;5;0;0.816494845360825;70;0;12.2309278350515;0.00206185567010309;0.206185567010309;0.954639175257732;0.257731958762887;0.737373737373737;0;0.262626262626263
BH-65-L2;min;20;0.24603017;70;44;26;28;3.03846153846154;5.37014539267435;2;245;15.2692307692308;47.8911747129324;441;1;100;437;119;600;373;0;227;427;0;4458;14;0;2.72108843537415;7;0;1.36054421768707;10;0;1.36054421768707;60;0;11.0770975056689;0.00226757369614512;0.226757369614512;0.990929705215419;0.26984126984127;0.621666666666667;0;0.378333333333333
BH-65-L3;min;20;0.24603017;46;33;13;24;3;6.33771778061051;2;275;23.3076923076923;75.6266979042285;336;1;101;335;80;749;401;0;348;260;0;3472;26;0;4.45833333333333;11;0;2.22916666666667;17;0;2.22916666666667;60;0;11.1071428571429;0.00297619047619048;0.300595238095238;0.99702380952381;0.238095238095238;0.535380507343124;0;0.464619492656876
BH-65-L4;min;20;0.24603017;31;25;6;14;3.66666666666667;5.12510162500869;2;250;44;100.925715256321;289;1;99;289;73;762;385;0;377;233;0;2926;34;0;5.27335640138408;16;0;2.63667820069204;21;0;2.63667820069204;52;0;10.9307958477509;0.00346020761245675;0.342560553633218;1;0.252595155709343;0.505249343832021;0;0.494750656167979
BH-65-L5;min;20;0.24603017;22;19;3;15;5.66666666666667;8.08290376865476;2;222;75.3333333333333;127.017059221718;245;1;111;245;59;849;400;0;449;184;0;2478;41;0;6.93061224489796;15;0;3.46530612244898;26;0;3.46530612244898;77;0;10.865306122449;0.00408163265306122;0.453061224489796;1;0.240816326530612;0.471142520612485;0;0.528857479387515
BL-L0;min;20;0.19521317;100;49;51;5;2.43137254901961;1.26893501741869;2;17;6.58823529411765;4.56585795043269;385;1;100;348;137;285;197;0;88;222;0;2906;8;0;1.48051948051948;1;0;0.74025974025974;8;0;0.74025974025974;48;0;8.12467532467532;0.0025974025974026;0.25974025974026;0.903896103896104;0.355844155844156;0.691228070175439;0;0.308771929824561
BL-L1;min;20;0.19521317;100;49;51;5;2.43137254901961;1.26893501741869;2;17;6.56862745098039;4.56620149341128;384;1;100;347;137;284;194;0;90;222;0;2904;8;0;1.47916666666667;1;0;0.739583333333333;8;0;0.739583333333333;48;0;8.140625;0.00260416666666667;0.260416666666667;0.903645833333333;0.356770833333333;0.683098591549296;0;0.316901408450704
BL-L2;min;20;0.19521317;83;46;37;7;2.16216216216216;1.48161911272607;2;127;8.75675675675676;20.5945049378137;370;1;100;340;134;309;195;0;114;217;0;2819;8;0;1.67027027027027;3;0;0.835135135135135;8;0;0.835135135135135;47;0;8.20540540540541;0.0027027027027027;0.27027027027027;0.918918918918919;0.362162162162162;0.631067961165049;0;0.368932038834951
BL-L3;min;20;0.19521317;56;38;18;17;2.5;3.76125761196031;2;228;16.4444444444444;52.9019317141158;334;1;101;318;125;399;232;0;167;184;0;2535;14;0;2.38922155688623;5;0;1.19461077844311;9;0;1.19461077844311;47;0;8.14071856287425;0.0029940119760479;0.302395209580838;0.952095808383233;0.374251497005988;0.581453634085213;0;0.418546365914787
BL-L4;min;20;0.19521317;42;30;12;18;2.75;4.84533515118126;2;238;22.5;67.8802421381014;300;1;106;290;116;509;270;0;239;161;0;2262;17;0;3.39333333333333;11;0;1.69666666666667;11;0;1.69666666666667;42;0;8.07666666666667;0.00333333333333333;0.353333333333333;0.966666666666667;0.386666666666667;0.530451866404715;0;0.469548133595285
BL-L5;min;20;0.19521317;24;20;4;15;4.5;7;2;232;59.5;115;258;1;109;255;104;601;292;0;309;143;0;1945;30;0;4.65891472868217;14;0;2.32945736434109;18;0;2.32945736434109;39;0;8.09302325581395;0.00387596899224806;0.422480620155039;0.988372093023256;0.403100775193798;0.48585690515807;0;0.51414309484193
BL-32-L0;min;20;0.25472579;100;54;46;6;3.17391304347826;1.70364769214095;2;21;9.19565217391304;6.57476510849506;477;1;100;446;131;377;256;0;121;185;0;2551;9;0;1.58071278825996;1;0;0.790356394129979;8;0;0.790356394129979;33;0;5.73584905660377;0.00209643605870021;0.209643605870021;0.935010482180293;0.274633123689727;0.679045092838196;0;0.320954907161804
BL-32-L1;min;20;0.25472579;99;54;45;7;3.17777777777778;1.76182871018735;2;34;9.35555555555556;7.37673109284605;475;1;100;445;130;377;254;0;123;185;0;2544;9;0;1.58736842105263;2;0;0.793684210526316;8;0;0.793684210526316;33;0;5.74526315789474;0.00210526315789474;0.210526315789474;0.936842105263158;0.273684210526316;0.673740053050398;0;0.326259946949602
BL-32-L2;min;20;0.25472579;85;52;33;8;2.75757575757576;1.95304734694117;2;151;12.0606060606061;26.8862643764658;450;1;100;434;120;415;265;0;150;187;0;2347;12;0;1.84444444444444;4;0;0.922222222222222;10;0;0.922222222222222;33;0;5.63111111111111;0.00222222222222222;0.222222222222222;0.964444444444444;0.266666666666667;0.63855421686747;0;0.36144578313253
BL-32-L3;min;20;0.25472579;66;49;17;19;3.23529411764706;4.35214619131621;2;251;20.1764705882353;59.7193805373491;392;1;101;383;109;506;299;0;207;163;0;1892;16;0;2.58163265306122;7;0;1.29081632653061;11;0;1.29081632653061;29;0;5.24234693877551;0.00255102040816327;0.25765306122449;0.977040816326531;0.278061224489796;0.590909090909091;0;0.409090909090909
