network_name;problem_type;number_of_runs;best_known_solution;components;single_components;multiple_components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;max_degree;min_degree;average_degree;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.20066729;2653;2553;100;9421;9006;415;2653;0;409;6768;784;0;5984;100;0;1.43679014966564;0.716522318454364;0.759036144578313;16.3084337349398;1;1;1;0.1;0;0;1;8;1;0.000106145844390192;0.95594947457807;0.0440505254219297;0.28160492516718;0;0.0434136503555886;0.115839243498818;0;0.884160756501182
BH-L1;min;20;0.20066729;2642;2553;89;9389;8976;413;2653;0;406;6753;779;0;5974;100;0;1.43849185216743;0.717023172905526;0.767554479418886;16.3510895883777;1;1;1;0.1;0;0;1;8;1;0.000106507615294494;0.956012354883374;0.0439876451166258;0.282564703376291;0;0.0432420918095644;0.115356138012735;0;0.884643861987265
BH-L2;min;20;0.20066729;2568;2528;40;8375;7986;389;2646;0;303;6345;822;0;5523;95;0;1.51522388059701;0.736163285750063;1.19794344473008;16.3110539845758;1;3;1;0.3;0;0;1;7.53846153846154;13;0.000119402985074627;0.95355223880597;0.0464477611940299;0.315940298507463;0;0.0361791044776119;0.129550827423168;0;0.870449172576832
BH-L3;min;20;0.20066729;2342;2331;11;6740;6431;309;2580;0;156;5524;767;0;4757;102;0;1.63916913946588;0.756958482351112;2.12297734627832;17.8770226537217;1;6;17;0.7;0;0;1;9.21739130434783;46;0.000148367952522255;0.954154302670623;0.0458456973293769;0.382789317507418;0;0.0231454005934718;0.138848660391021;0;0.861151339608979
BH-L4;min;20;0.20066729;2004;2001;3;5454;5196;258;2456;0;129;5033;685;0;4348;129;0;1.84561789512285;0.8135103926097;3.12403100775194;19.5077519379845;1;12;8;1.65;0;0;1;5.59649122807018;57;0.000183351668500183;0.952695269526953;0.0473047304730473;0.45031169783645;0;0.0236523652365237;0.136101728591297;0;0.863898271408703
BH-L5;min;20;0.20066729;1417;1415;2;3905;3691;214;2224;0;84;4534;677;0;3857;103;0;2.32215108834827;1.0024383635871;3.89719626168224;21.1869158878505;1;12;26;4.85;0;0;1;5.67441860465116;86;0.000256081946222791;0.945198463508323;0.0548015364916773;0.569526248399488;0;0.0215108834827145;0.149316277018086;0;0.850683722981914
BH-65-L0;min;20;0.22882067;1298;1200;98;7118;6664;454;1298;0;1300;5820;717;0;5103;69;0;1.63529081202585;0.820228091236495;0.779735682819383;12.8193832599119;1;1;0;0.05;0;0;1;10;1;0.000140488901376791;0.936218038774937;0.0637819612250632;0.182354593987075;0;0.182635571789829;0.12319587628866;0;0.87680412371134
BH-65-L1;min;20;0.22882067;1288;1200;88;7077;6623;454;1298;0;1276;5802;724;0;5078;68;0;1.63967782958881;0.821531028234939;0.795154185022026;12.7797356828194;1;1;0;0.05;0;0;1;10;1;0.000141302811925957;0.935848523385615;0.0641514766143846;0.183411049879893;0;0.180302388017522;0.124784557049293;0;0.875215442950707
BH-65-L2;min;20;0.22882067;1237;1191;46;5939;5517;422;1297;0;760;5245;777;0;4468;63;0;1.76629062131672;0.857712524922965;1.21563981042654;12.4289099526066;1;5;0;0.3;0;0;1;19.5;22;0.000168378514901499;0.928944266711568;0.0710557332884324;0.218386933827244;0;0.127967671325139;0.148141086749285;0;0.851858913250715
BH-65-L3;min;20;0.22882067;1150;1127;23;4590;4255;335;1285;0;343;4387;674;0;3713;73;0;1.91154684095861;0.864394829612221;2.11641791044776;13.0955223880597;1;8;14;0.8;0;0;1;11.0882352941176;34;0.000217864923747277;0.927015250544662;0.0729847494553377;0.279956427015251;0;0.0747276688453159;0.153635741964896;0;0.846364258035104
BH-65-L4;min;20;0.22882067;1033;1022;11;3723;3438;285;1253;0;215;3877;635;0;3242;85;0;2.08272898200376;0.9173938336242;2.53684210526316;13.6035087719298;1;10;42;3.85;0;0;1;8.11904761904762;42;0.0002686005909213;0.92344883158743;0.0765511684125705;0.336556540424389;0;0.0577491270480795;0.163786432808873;0;0.836213567191127
BH-65-L5;min;20;0.22882067;812;808;4;2865;2622;243;1191;0;157;3474;602;0;2872;107;0;2.42513089005236;1.01411136536995;3.35390946502058;14.2962962962963;1;13;7;2.3;0;0;1;4.86885245901639;61;0.000349040139616056;0.915183246073298;0.0848167539267016;0.415706806282722;0;0.0547993019197208;0.17328727691422;0;0.82671272308578
BL-L0;min;20;0.19521317;1317;1217;100;4730;4345;385;1317;0;466;3413;451;0;2962;52;0;1.4431289640592;0.719907940161105;0.74025974025974;8.86493506493506;1;1;0;0.1;0;0;1;8;1;0.000211416490486258;0.918604651162791;0.0813953488372093;0.278435517970402;0;0.0985200845665962;0.132141810723703;0;0.867858189276297
BL-L1;min;20;0.19521317;1317;1217;100;4727;4343;384;1317;0;466;3410;450;0;2960;52;0;1.44277554474297;0.71977895463965;0.739583333333333;8.88020833333333;1;1;0;0.1;0;0;1;8;1;0.000211550666384599;0.918764544108314;0.0812354558916861;0.278612227628517;0;0.0985826105352232;0.131964809384164;0;0.868035190615836
BL-L2;min;20;0.19521317;1281;1211;70;4553;4183;370;1314;0;427;3345;447;0;2898;51;0;1.46936086097079;0.725794884054506;0.835135135135135;9.04054054054054;1;2;0;0.15;0;0;1;5.66666666666667;3;0.000219635405227323;0.918734900065891;0.0812650999341094;0.288600922468702;0;0.0937843180320668;0.133632286995516;0;0.866367713004484
BL-L3;min;20;0.19521317;1214;1179;35;4017;3683;334;1309;0;310;3118;436;0;2682;61;0;1.55240229026637;0.738256855824056;1.19461077844311;9.33532934131737;1;4;9;0.4;0;0;1;8.26666666666667;15;0.000248941996514812;0.916853373164053;0.0831466268359472;0.325865073437889;0;0.0771720189195917;0.139833226427197;0;0.860166773572803
BL-L4;min;20;0.19521317;1095;1074;21;3459;3159;300;1284;0;242;2932;458;0;2474;50;0;1.69528765539173;0.767014878125989;1.69666666666667;9.77333333333333;1;6;29;0.7;0;0;1;6.19354838709677;31;0.000289100896212778;0.913269731136166;0.0867302688638335;0.371205550737207;0;0.0699624168834923;0.156207366984993;0;0.843792633015007
BL-L5;min;20;0.19521317;880;871;9;2674;2416;258;1204;0;178;2689;433;0;2256;56;0;2.0112191473448;0.864238410596026;2.32945736434109;10.422480620155;1;5;2;1.05;0;0;1;6.96428571428571;56;0.00037397157816006;0.903515332834705;0.0964846671652954;0.450261780104712;0;0.0665669409124907;0.161026403867609;0;0.838973596132391
BL-32-L0;min;20;0.23225396;640;544;96;3422;2990;432;640;0;640;2782;441;0;2341;38;0;1.62594973699591;0.819397993311037;0.768518518518518;6.43981481481481;1;1;6;0.1;0;0;1;5;1;0.000292226767971946;0.873758036236119;0.126241963763881;0.187025131502046;0;0.187025131502046;0.158519051042416;0;0.841480948957585
BL-32-L1;min;20;0.23225396;639;544;95;3416;2985;431;640;0;637;2778;441;0;2337;38;0;1.62646370023419;0.819430485762144;0.77030162412993;6.44547563805104;1;1;6;0.1;0;0;1;5;1;0.000292740046838407;0.873829039812646;0.126170960187354;0.187353629976581;0;0.186475409836066;0.158747300215983;0;0.841252699784017
BL-32-L2;min;20;0.23225396;611;542;69;3218;2802;416;638;0;541;2687;433;0;2254;38;0;1.66998135487881;0.830835117773019;0.862980769230769;6.45913461538461;1;1;4;0.1;0;0;1;9;3;0.000310752019888129;0.870727159726538;0.129272840273462;0.198259788688626;0;0.168116842759478;0.161146259769259;0;0.838853740230741
BL-32-L3;min;20;0.23225396;578;527;51;2728;2357;371;638;0;333;2430;436;0;1994;35;0;1.78152492668622;0.843445057276199;1.19137466307278;6.54986522911051;1;4;4;0.25;0;0;1;5.14285714285714;7;0.000366568914956012;0.86400293255132;0.13599706744868;0.233870967741935;0;0.122067448680352;0.179423868312757;0;0.820576131687243
BL-32-L4;min;20;0.23225396;521;497;24;2294;1962;332;633;0;245;2224;439;0;1785;44;0;1.93897122929381;0.879204892966361;1.50301204819277;6.69879518072289;1;1;5;0.2;0;0;1;13.1111111111111;27;0.0004359197907585;0.855274629468178;0.144725370531822;0.275937227550131;0;0.106800348735833;0.197392086330935;0;0.802607913669065
BL-32-L5;min;20;0.23225396;449;439;10;1880;1596;284;620;0;166;2013;424;0;1589;36;0;2.14148936170213;0.894736842105263;2.05985915492958;7.08802816901408;1;5;7;0.55;0;0;1;10.4347826086957;46;0.000531914893617021;0.848936170212766;0.151063829787234;0.329787234042553;0;0.0882978723404255;0.210630899155489;0;0.789369100844511
