CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
6;TRUE;119;4;0;NA;NA;0.58;1.94;0.66
13;TRUE;156;4;0;NA;NA;0.74;2.09;0.6
40;TRUE;35;1;1;NA;NA;0.07;2.45;0.36
46;TRUE;41;1;2;NA;NA;2.5;1.12;0.67
55;TRUE;29;4;1;NA;NA;2.03;1.59;0.84
85;TRUE;62;4;0;NA;NA;0.04;2.24;0.39
80;TRUE;160;4;0;NA;NA;1.72;2.03;0.66
99;TRUE;83;4;0;NA;NA;0.95;1.85;0.62
142;TRUE;84;4;0;NA;NA;0.76;2.24;0.49
150;TRUE;127;4;2;NA;NA;2.23;2.23;0.68
145;TRUE;108;4;0;NA;NA;1.7;2.09;0.7
154;TRUE;99;4;0;NA;NA;0.66;2.26;0.58
175;TRUE;55;4;0;NA;NA;1.06;1.9;0.67
213;TRUE;76;4;0;NA;NA;1.32;2.23;0.6
225;TRUE;130;4;0;NA;NA;0.84;2.43;0.44
230;TRUE;97;4;0;NA;NA;1.97;2.36;0.69
269;TRUE;119;4;0;NA;NA;0.85;2.49;0.5
266;TRUE;90;4;0;NA;NA;1.38;2.49;0.47
280;TRUE;66;4;0;NA;NA;2.06;2.33;0.59
302;TRUE;65;4;0;NA;NA;0.99;2.41;0.46
317;TRUE;93;4;0;NA;NA;1.42;2.44;0.49
325;TRUE;120;4;0;NA;NA;0.97;2.5;0.47
332;TRUE;122;4;0;NA;NA;0.95;2.49;0.47
