CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
14;TRUE;FALSE;71;1;0;NA;NA;1.08;2.37;0.39;14;14
24;TRUE;FALSE;15;2;0;NA;NA;2.25;1.04;0.59;24;24
26;TRUE;FALSE;65;4;2;NA;NA;1.62;1.66;0.81;26;26
29;TRUE;FALSE;40;5;0;NA;6;1.31;1.98;0.02;29;29
53;TRUE;FALSE;56;4;0;NA;NA;1.74;2.33;0.52;53;53
82;TRUE;FALSE;120;4;2;NA;NA;1.46;2.09;0.82;82;82
85;TRUE;FALSE;28;1;0;NA;NA;1.91;2.03;0.31;85;85
92;TRUE;FALSE;81;4;0;NA;NA;1.99;1.55;0.25;92;92
165;TRUE;FALSE;34;4;0;NA;NA;1.9;2.34;0.5;165;165
176;TRUE;FALSE;48;1;0;NA;NA;1.72;2.4;0.39;176;176
185;TRUE;FALSE;16;4;0;NA;NA;1.09;2.06;0.33;185;185
194;TRUE;FALSE;26;4;0;NA;NA;1.66;2.46;0.39;194;194
209;TRUE;FALSE;19;1;0;NA;NA;1.82;2.16;0.49;209;209
215;TRUE;TRUE;14;4;0;NA;NA;1.38;2.15;0.26;215;215
221;TRUE;FALSE;39;4;0;NA;NA;1.69;2.29;0.47;221;221
251;TRUE;FALSE;20;4;0;NA;NA;1.46;1.94;0.3;251;251
260;TRUE;FALSE;19;4;0;NA;NA;1.17;2.32;0.27;260;260
265;TRUE;FALSE;33;4;0;NA;NA;2.07;2.49;0.48;265;265
336;TRUE;FALSE;16;4;0;NA;NA;1.5;2.16;0.23;336;336
347;TRUE;FALSE;27;4;0;NA;NA;1.32;2.29;0.24;347;347
354;TRUE;FALSE;15;4;0;NA;NA;1.13;2;0.33;354;354
366;TRUE;FALSE;27;4;0;NA;NA;1.39;2.24;0.27;366;366
