PATH;ORIGIN_ITER;ORIGIN_CONFIG_ID;DESTINY_ITER;DESTINY_CONFIG_ID
FALSE;1;10;1;10
FALSE;1;39;1;39
FALSE;1;41;1;41
FALSE;1;56;1;56
FALSE;1;65;1;65
FALSE;1;10;2;10
FALSE;1;41;2;41
FALSE;1;56;2;56
FALSE;1;39;2;39
FALSE;1;65;2;65
TRUE;1;10;2;75
TRUE;1;56;2;103
TRUE;1;10;2;122
TRUE;2;56;3;103
TRUE;2;10;3;122
TRUE;2;10;3;75
FALSE;2;10;3;10
FALSE;2;56;3;56
TRUE;2;103;3;152
TRUE;2;56;3;166
TRUE;2;75;3;170
TRUE;3;75;4;170
TRUE;3;56;4;103
TRUE;3;10;4;75
TRUE;3;103;4;152
TRUE;3;56;4;166
TRUE;3;75;4;192
TRUE;3;75;4;195
TRUE;3;170;4;204
TRUE;3;152;4;241
TRUE;4;75;5;195
TRUE;4;75;5;192
FALSE;4;75;5;75
TRUE;4;170;5;204
TRUE;4;152;5;241
TRUE;4;192;5;257
TRUE;4;195;5;275
TRUE;4;192;5;292
TRUE;5;195;6;275
TRUE;5;192;6;257
TRUE;5;75;6;195
TRUE;5;75;6;192
TRUE;5;192;6;292
TRUE;5;257;6;346
TRUE;5;257;6;359
