CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
97;TRUE;94;1;1;NA;NA;2.12;2.11;0.63
74;TRUE;29;4;1;NA;NA;1.38;0.9;0.48
23;TRUE;9;1;1;NA;NA;1.12;1.51;0.67
105;TRUE;107;2;0;NA;NA;0.71;2.27;0.46
109;TRUE;187;4;1;NA;NA;1.57;2.04;0.83
200;TRUE;31;1;1;NA;NA;1.6;1.62;0.44
168;TRUE;64;1;1;NA;NA;2.25;1.03;0.58
158;TRUE;10;5;1;NA;4;1.41;1.84;0.56
204;TRUE;31;1;1;NA;NA;2.49;0.32;0.65
208;TRUE;97;1;2;NA;NA;2.09;2.23;0.57
282;TRUE;47;1;1;NA;NA;2.33;0.9;0.52
279;TRUE;55;1;1;NA;NA;2.37;1.21;0.57
247;TRUE;43;1;1;NA;NA;1.93;1.12;0.49
249;TRUE;72;1;1;NA;NA;2.13;1.06;0.5
343;TRUE;49;1;1;NA;NA;2.14;1.22;0.5
319;TRUE;45;1;1;NA;NA;2.38;1.45;0.59
359;TRUE;52;1;1;NA;NA;1.97;1.4;0.48
347;TRUE;55;1;1;NA;NA;2.11;1.48;0.52
392;TRUE;66;1;1;NA;NA;2.05;1.48;0.59
432;TRUE;52;1;1;NA;NA;2.42;1.2;0.57
446;TRUE;56;1;1;NA;NA;2.34;1.19;0.62
