CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
6;TRUE;FALSE;164;4;0;NA;NA;1.1;2.48;0.63;6;6
19;TRUE;FALSE;183;1;0;NA;NA;2.28;2.09;0.72;19;19
59;TRUE;FALSE;118;4;2;NA;NA;0.21;1.66;0.73;59;59
65;TRUE;FALSE;82;1;1;NA;NA;2.06;1.64;0.85;65;65
124;TRUE;FALSE;114;4;0;NA;NA;1.97;2.18;0.76;124;124
150;TRUE;FALSE;186;4;0;NA;NA;1.31;2.25;0.7;150;150
163;TRUE;FALSE;101;4;0;NA;NA;0.14;2.13;0.38;163;163
195;TRUE;FALSE;195;4;0;NA;NA;0.72;2.28;0.45;195;195
224;TRUE;FALSE;81;4;0;NA;NA;1.84;2.14;0.85;224;224
246;TRUE;FALSE;89;4;0;NA;NA;1.8;1.99;0.74;246;246
280;TRUE;FALSE;174;5;0;NA;3;0.88;2.07;0.68;280;280
302;TRUE;FALSE;159;4;0;NA;NA;0.78;2.44;0.64;302;302
322;TRUE;FALSE;74;4;0;NA;NA;1.7;1.85;0.72;322;322
346;TRUE;FALSE;74;4;0;NA;NA;1.89;2.3;0.74;346;346
375;TRUE;FALSE;103;4;0;NA;NA;1.86;2.31;0.66;375;375
388;TRUE;FALSE;77;4;0;NA;NA;2.11;1.92;0.71;388;388
393;TRUE;FALSE;97;4;0;NA;NA;1.94;2.39;0.68;393;393
426;TRUE;FALSE;62;4;0;NA;NA;2.04;1.64;0.69;426;426
440;TRUE;FALSE;63;4;0;NA;NA;1.74;2.17;0.68;440;440
449;TRUE;TRUE;90;4;0;NA;NA;1.94;2.4;0.65;449;449
463;TRUE;FALSE;68;4;0;NA;NA;1.97;2.28;0.72;463;463
