CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
26;TRUE;36;1;2;NA;NA;1.88;2.38;0.56
12;TRUE;29;4;0;NA;NA;0.08;1.68;0.14
30;TRUE;110;0;0;NA;NA;0.32;2.07;0.45
32;TRUE;51;0;0;NA;NA;2.08;1.79;0.75
29;TRUE;11;3;1;NA;NA;1.57;0.82;0
43;TRUE;53;4;0;NA;NA;1.37;1.04;0.22
44;TRUE;29;1;2;NA;NA;1.98;1.59;0.32
41;TRUE;135;4;0;NA;NA;1.02;2.29;0.75
56;TRUE;53;1;2;NA;NA;1.19;2.06;0.5
65;TRUE;32;4;2;NA;NA;1.46;2.12;0.43
63;TRUE;43;1;0;NA;NA;1.35;1.62;0.36
84;TRUE;78;4;0;NA;NA;0.84;1.44;0.32
60;TRUE;30;4;0;NA;NA;2.07;0.83;0.27
112;TRUE;34;4;0;NA;NA;2.31;2.4;0.33
97;TRUE;38;4;0;NA;NA;1.72;2.19;0.22
107;TRUE;40;4;2;NA;NA;1.16;1.99;0.7
91;TRUE;42;4;0;NA;NA;1.65;1.59;0.2
100;TRUE;11;1;0;NA;NA;1.43;1.97;0.24
139;TRUE;57;4;0;NA;NA;2.21;2.35;0.35
130;TRUE;27;4;0;NA;NA;2.46;2.2;0.42
117;TRUE;11;4;0;NA;NA;1.86;2.49;0.42
122;TRUE;24;4;0;NA;NA;1.77;2.24;0.33
141;TRUE;17;4;0;NA;NA;2.39;2.19;0.39
159;TRUE;59;4;0;NA;NA;2.1;2.46;0.48
148;TRUE;21;4;0;NA;NA;2.3;2.28;0.31
