CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
5;TRUE;FALSE;63;4;2;NA;NA;0.24;1.1;0.82;5;5
6;TRUE;FALSE;162;1;0;NA;NA;1.49;2.35;0.37;6;6
20;TRUE;FALSE;156;4;2;NA;NA;0.79;1.65;0.8;20;20
24;TRUE;FALSE;119;4;1;NA;NA;0.32;1.8;0.85;24;24
32;TRUE;FALSE;165;4;0;NA;NA;0.67;2.31;0.53;32;32
47;TRUE;FALSE;120;4;2;NA;NA;2.26;2.15;0.8;47;47
52;TRUE;FALSE;165;4;2;NA;NA;1.08;1.76;0.86;52;52
57;TRUE;FALSE;135;4;1;NA;NA;0.99;2.3;0.86;57;57
63;TRUE;FALSE;196;4;2;NA;NA;1.14;2.28;0.7;63;63
68;TRUE;FALSE;153;4;2;NA;NA;2.17;2.26;0.7;68;68
74;TRUE;FALSE;143;4;0;NA;NA;1.37;2.16;0.61;74;74
76;TRUE;FALSE;183;4;0;NA;NA;1.25;1.9;0.56;76;76
97;TRUE;FALSE;176;4;2;NA;NA;1.27;2.24;0.69;97;97
111;TRUE;FALSE;109;4;2;NA;NA;1.51;2.35;0.75;111;111
127;TRUE;FALSE;138;4;0;NA;NA;1.79;1.99;0.63;127;127
129;TRUE;FALSE;81;4;0;NA;NA;1.53;2.03;0.63;129;129
134;TRUE;FALSE;154;4;2;NA;NA;1.07;2.46;0.84;134;134
136;TRUE;FALSE;145;4;0;NA;NA;1.26;2.47;0.54;136;136
147;TRUE;FALSE;140;4;0;NA;NA;1.82;2.09;0.7;147;147
151;TRUE;TRUE;135;4;0;NA;NA;1.32;2.29;0.57;151;151
156;TRUE;FALSE;133;4;0;NA;NA;2.13;2.02;0.65;156;156
176;TRUE;FALSE;141;4;0;NA;NA;1.27;2.4;0.57;176;176
180;TRUE;FALSE;131;4;0;NA;NA;1.45;2.48;0.49;180;180
187;TRUE;FALSE;140;4;0;NA;NA;1.34;2.23;0.57;187;187
189;TRUE;FALSE;123;4;0;NA;NA;1.51;2.41;0.57;189;189
