PATH;ORIGIN_ITER;ORIGIN_CONFIG_ID;DESTINY_ITER;DESTINY_CONFIG_ID
FALSE;1;6;1;6
FALSE;1;20;1;20
FALSE;1;32;1;32
FALSE;1;40;1;40
FALSE;1;65;1;65
FALSE;1;40;2;40
FALSE;1;32;2;32
FALSE;1;65;2;65
FALSE;1;6;2;6
FALSE;1;20;2;20
TRUE;1;32;2;76
TRUE;1;32;2;105
TRUE;1;32;2;112
TRUE;2;32;3;76
FALSE;2;40;3;40
TRUE;2;32;3;112
FALSE;2;65;3;65
TRUE;2;32;3;105
TRUE;2;76;3;123
TRUE;2;40;3;156
FALSE;3;76;4;76
TRUE;3;40;4;156
TRUE;3;76;4;123
FALSE;3;40;4;40
FALSE;3;112;4;112
TRUE;3;76;4;165
TRUE;3;76;4;172
TRUE;3;123;4;197
FALSE;4;76;5;76
TRUE;4;76;5;172
FALSE;4;40;5;40
TRUE;4;76;5;165
TRUE;4;123;5;197
TRUE;4;40;5;207
TRUE;4;76;5;219
TRUE;4;165;5;226
TRUE;4;40;5;230
TRUE;4;40;5;231
TRUE;5;40;6;231
TRUE;5;40;6;230
TRUE;5;40;6;207
TRUE;5;76;6;219
TRUE;5;165;6;226
TRUE;5;231;6;242
TRUE;5;230;6;252
