CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
1;TRUE;FALSE;47;2;1;NA;NA;2.31;2.32;0.27;1;1
8;TRUE;FALSE;72;1;2;NA;NA;1.99;1.38;0.61;8;8
26;TRUE;FALSE;41;5;1;NA;7;0.35;1.77;0.69;26;26
44;TRUE;FALSE;156;0;1;NA;NA;1.41;0.17;0.74;44;44
54;TRUE;FALSE;187;1;2;NA;NA;0.55;2.28;0.88;54;54
71;TRUE;FALSE;86;1;0;NA;NA;1.31;2.1;0.53;71;71
80;TRUE;FALSE;183;1;2;NA;NA;0.31;2.4;0.7;80;80
93;TRUE;FALSE;24;1;1;NA;NA;2.17;2.16;0.46;93;93
96;TRUE;FALSE;180;0;1;NA;NA;1.73;2.29;0.59;96;96
127;TRUE;FALSE;80;4;1;NA;NA;1.73;2.19;0.5;127;127
135;TRUE;FALSE;29;1;1;NA;NA;1.93;1.34;0.45;135;135
136;TRUE;FALSE;49;1;1;NA;NA;2.43;2.18;0.26;136;136
152;TRUE;FALSE;42;1;1;NA;NA;2.17;1.33;0.49;152;152
161;TRUE;FALSE;62;1;1;NA;NA;2.24;2.46;0.26;161;161
171;TRUE;FALSE;38;1;1;NA;NA;1.9;2.22;0.44;171;171
181;TRUE;FALSE;33;1;1;NA;NA;2.19;2.26;0.36;181;181
192;TRUE;FALSE;32;1;1;NA;NA;2.39;1.96;0.35;192;192
208;TRUE;FALSE;11;1;1;NA;NA;1.97;2.14;0.41;208;208
213;TRUE;FALSE;31;1;1;NA;NA;1.98;2.02;0.31;213;213
217;TRUE;TRUE;22;1;1;NA;NA;2.31;2.37;0.25;217;217
220;TRUE;FALSE;28;1;1;NA;NA;2.2;2.13;0.5;220;220
222;TRUE;FALSE;33;1;1;NA;NA;2.32;2.3;0.45;222;222
