CONFIG_ID;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;MNRG
1;21;4;0;NA;NA;1.89;2.36;0.38;0.51276320245102
10;45;4;0;NA;NA;1.79;2.42;0.5;0.454674111102153
11;82;4;0;NA;NA;1.24;2.44;0.35;0.469270660324115
12;106;4;0;NA;NA;1.91;2.36;0.46;0.434369184874627
13;77;4;0;NA;NA;1.28;2.47;0.42;0.431941062646134
14;57;4;0;NA;NA;0.59;2.22;0.56;0.478139643634605
15;20;0;1;NA;NA;2.46;2.08;0.31;0.5462466338789
16;108;4;0;NA;NA;2.14;2.28;0.67;0.452002015641377
17;142;4;0;NA;NA;2.03;2.45;0.37;0.456104893977264
18;101;4;0;NA;NA;2.28;2.16;0.5;0.466762557445779
19;6;5;0;NA;6;2.43;2.33;0.21;0.583815931629444
2;134;4;0;NA;NA;2.09;2.3;0.53;0.456090300733693
20;18;0;1;NA;NA;1.86;2.3;0.24;0.548556962025316
21;149;4;0;NA;NA;1.24;2.43;0.4;0.46341997903733
22;77;4;0;NA;NA;2.05;2.34;0.44;0.458409336450859
23;20;0;1;NA;NA;1.84;2.22;0.29;0.551240506329114
24;144;4;0;NA;NA;1.96;2.47;0.6;0.431748206079174
25;93;4;0;NA;NA;1.42;2.44;0.49;0.423571555268887
26;50;1;1;NA;NA;2.16;1.78;0.58;0.616030799000242
27;67;4;0;NA;NA;2.44;2.38;0.56;0.410799080867532
28;75;4;0;NA;NA;1.87;2.34;0.55;0.441230992501814
29;165;4;0;NA;NA;2.45;2.44;0.37;0.471469080061276
3;9;1;0;NA;NA;1.54;2.48;0.26;0.549486172700153
30;68;4;0;NA;NA;1.89;2.34;0.69;0.43338160122551
31;92;4;0;NA;NA;1.3;2.43;0.41;0.449092558252036
32;16;4;0;NA;NA;1.09;2.06;0.33;0.537334677094251
33;80;4;0;NA;NA;1.65;2.5;0.27;0.48102918648714
34;11;4;0;NA;NA;1.41;2.38;0.48;0.557916633072644
35;37;1;1;NA;NA;2.4;1.94;0.24;0.572322180117713
36;134;4;0;NA;NA;2.01;2.42;0.53;0.41995194710957
37;102;4;0;NA;NA;2.17;2.48;0.43;0.419408046440377
38;110;4;0;NA;NA;2.13;2.41;0.56;0.420506651616544
39;179;5;0;NA;6;0.86;2.44;0.29;0.632105458356849
4;142;4;0;NA;NA;1.27;2.48;0.5;0.428279690397484
40;21;0;1;NA;NA;2.25;2.32;0.22;0.547398613238733
41;38;4;0;NA;NA;2.21;1.6;0.53;0.589446424252197
42;150;4;0;NA;NA;1.95;2.33;0.58;0.462521406111425
43;4;4;2;NA;NA;1.77;2.47;0.41;0.587271869708941
44;105;4;0;NA;NA;0.43;2.38;0.25;0.549104007095058
45;75;4;0;NA;NA;2.17;2.11;0.61;0.458544787551399
46;115;1;1;NA;NA;2.36;2.43;0.66;0.664269934693219
47;115;4;0;NA;NA;2.26;2.13;0.74;0.466367088607595
48;83;4;0;NA;NA;2.38;2.39;0.11;0.508092074498105
49;38;4;0;NA;NA;2.46;1.83;0.67;0.497848988148029
5;67;4;0;NA;NA;1.58;2.49;0.41;0.428725550270096
50;83;4;0;NA;NA;1.42;2.41;0.7;0.442887527211159
51;79;4;0;NA;NA;1.02;2.39;0.45;0.444774651294042
52;83;4;0;NA;NA;2.35;2.47;0.44;0.422371684269935
53;25;1;0;NA;NA;1.69;2.28;0.33;0.538777231315004
54;89;4;2;NA;NA;2.41;2.46;0.72;0.554633959525921
55;25;1;2;NA;NA;2.11;2.38;0.3;0.602411029589615
56;103;4;0;NA;NA;0.96;2.24;0.45;0.469582439732323
57;84;4;0;NA;NA;2.11;2.48;0.32;0.462851003789406
58;103;4;0;NA;NA;0.5;2.49;0.48;0.434570910263646
59;28;0;0;NA;NA;1.99;1.81;0.13;0.588296460533742
6;66;1;1;NA;NA;2.05;1.48;0.59;0.650549705716359
60;22;1;1;NA;NA;2.31;2.37;0.25;0.571246392001935
61;48;1;0;NA;NA;1.53;2.12;0.18;0.578561880190277
62;85;4;0;NA;NA;2.11;2.33;0.54;0.416876723373377
63;104;4;0;NA;NA;2.27;2.39;0.41;0.441368620495042
64;107;4;0;NA;NA;0.3;2.33;0.2;0.565230186245263
65;129;4;0;NA;NA;1.28;2.45;0.4;0.443823349189712
66;68;1;2;NA;NA;0.38;2.48;0.53;0.67071450455535
67;62;1;0;NA;NA;1.72;2.22;0.69;0.491734983471741
68;69;4;2;NA;NA;0.21;2.15;0.81;0.465050713537048
69;98;0;0;NA;NA;1.95;2;0.67;0.621498347174071
7;90;4;0;NA;NA;1.94;2.4;0.65;0.431190518422962
70;117;4;0;NA;NA;1.52;2.26;0.52;0.45711610094332
71;68;4;0;NA;NA;0.99;2.49;0.28;0.468017173264533
72;34;4;0;NA;NA;2.31;2.4;0.33;0.498207530436185
73;107;4;0;NA;NA;2.02;2.32;0.19;0.526370878013384
74;163;4;2;NA;NA;1.3;2.44;0.68;0.537785777634443
75;84;4;0;NA;NA;1.29;2.49;0.24;0.480434814157865
76;90;4;0;NA;NA;1.66;2.3;0.57;0.440292913004918
77;84;4;0;NA;NA;0.78;2.24;0.29;0.521598484237684
78;135;4;0;NA;NA;1.32;2.29;0.57;0.452051761670564
79;102;0;0;NA;NA;1.96;2.4;0.23;0.601435136660485
8;162;4;2;NA;NA;0.44;2.37;0.81;0.461544545674434
80;200;4;2;NA;NA;2.48;2.31;0.64;0.595458356849149
9;85;4;0;NA;NA;2.15;2.28;0.55;0.431876239619447
