CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;122;1;2;NA;NA;1.32;1.91;0.41
2;FALSE;23;4;0;NA;NA;0.07;0.66;0.86
3;FALSE;73;2;1;NA;NA;0.7;1.28;0.64
4;FALSE;172;6;0;16;NA;1.95;0.03;0.19
5;FALSE;147;3;1;NA;NA;2.26;0.97;0.75
6;FALSE;48;0;0;NA;NA;1.01;2.22;0.3
7;FALSE;97;5;2;NA;3;0.39;0.34;0.07
8;FALSE;197;2;1;NA;NA;1.64;1.59;0.52
9;FALSE;184;5;2;NA;3;1.48;1.13;0.69
10;FALSE;85;1;1;NA;NA;0.23;2.38;0.24
11;FALSE;135;3;0;NA;NA;2.11;1.75;0.47
12;FALSE;110;5;0;NA;6;1.79;0.19;0.13
13;FALSE;10;2;2;NA;NA;0.54;1.44;0.58
14;FALSE;160;0;1;NA;NA;2.42;2.06;0.35
15;TRUE;60;4;0;NA;NA;1.17;0.81;0.8
16;FALSE;178;1;0;NA;NA;0.93;0.42;0.27
17;FALSE;79;4;1;NA;NA;2.18;1.67;0.72
18;FALSE;29;3;1;NA;NA;1.56;1.05;0.49
19;FALSE;153;3;1;NA;NA;0.62;1.36;0.83
20;FALSE;54;0;2;NA;NA;1.87;0.11;0.38
21;FALSE;4;5;0;NA;2;2.5;1.98;0.16
22;FALSE;104;2;2;NA;NA;1.25;0.73;0.61
23;TRUE;41;3;2;NA;NA;1.71;1.83;0.78
24;FALSE;141;0;0;NA;NA;0.46;0.58;0.33
25;TRUE;91;1;0;NA;NA;2.34;1.2;0.55
26;FALSE;191;5;1;NA;5;1.09;2.45;0.1
27;TRUE;116;4;0;NA;NA;0.78;1.52;0.89
28;FALSE;17;0;2;NA;NA;2.03;0.27;0.44
29;FALSE;166;2;2;NA;NA;0.15;0.89;0.66
30;FALSE;66;6;1;17;NA;1.4;2.14;0.21
31;FALSE;119;2;1;NA;NA;1.05;0.15;0.76
32;FALSE;69;1;0;NA;NA;1.68;0.77;0.09
33;FALSE;169;4;2;NA;NA;0.43;2.02;0.54
34;TRUE;144;5;0;NA;9;0.11;1.71;0.42
35;FALSE;45;2;1;NA;NA;1.36;0.46;0.87
36;FALSE;94;3;1;NA;NA;1.99;2.34;0.65
37;FALSE;194;0;2;NA;NA;0.74;1.09;0.2
38;FALSE;132;1;1;NA;NA;0.58;1.24;0.14
39;FALSE;32;5;0;NA;10;1.83;2.49;0.59
40;FALSE;181;6;0;9;NA;1.21;1.87;0.37
41;FALSE;82;3;2;NA;NA;2.46;0.62;0.82
42;FALSE;156;2;0;NA;NA;0.27;0.31;0.71
43;FALSE;57;6;1;19;NA;1.52;1.56;0.26
44;FALSE;7;0;1;NA;NA;2.14;0.93;0.03
45;FALSE;107;4;2;NA;NA;0.89;2.18;0.48
46;FALSE;200;3;0;NA;NA;1.29;0.54;0.62
47;FALSE;101;0;2;NA;NA;0.04;1.79;0.17
48;FALSE;150;1;2;NA;NA;1.91;2.41;0.85
49;FALSE;51;5;1;NA;8;0.66;1.16;0.4
50;FALSE;175;1;1;NA;NA;2.22;1.48;0.06
51;FALSE;76;4;2;NA;NA;0.97;0.23;0.51
52;FALSE;125;6;1;4;NA;1.6;0.85;0.28
53;FALSE;26;2;0;NA;NA;0.35;2.1;0.73
54;FALSE;63;2;0;NA;NA;0.82;1.95;0.68
55;FALSE;163;5;2;NA;9;2.07;0.7;0.23
56;FALSE;13;4;1;NA;NA;0.19;0.07;0.45
57;FALSE;113;0;0;NA;NA;1.44;1.32;0
58;FALSE;138;4;1;NA;NA;2.38;0.38;0.57
59;FALSE;38;1;2;NA;NA;1.13;1.63;0.12
60;FALSE;88;6;0;7;NA;0.5;1.01;0.34
61;FALSE;188;3;2;NA;NA;1.75;2.26;0.79
62;FALSE;80;5;0;NA;8;1.7;0.01;0.88
63;FALSE;180;2;2;NA;NA;0.45;1.26;0.43
64;FALSE;130;4;0;NA;NA;1.07;0.64;0.21
65;FALSE;31;0;1;NA;NA;2.32;1.89;0.66
66;FALSE;74;0;2;NA;NA;1.64;0.07;0.54
67;FALSE;171;0;0;NA;NA;1.72;1.79;0.82
68;FALSE;9;0;0;NA;NA;0.72;0.94;0.74
69;FALSE;53;5;2;NA;8;1.57;1.15;0.8
70;FALSE;65;3;1;NA;NA;0.37;2.18;0.74
71;FALSE;60;5;1;NA;4;1.39;2.48;0.68
72;FALSE;32;4;0;NA;NA;1.25;1.02;0.55
73;FALSE;96;4;0;NA;NA;1.62;0.36;0.59
74;FALSE;162;4;0;NA;NA;0.56;1.1;0.25
75;FALSE;44;4;0;NA;NA;1.39;0.21;0.3
76;FALSE;25;5;0;NA;10;0.85;1.36;0.78
77;TRUE;78;4;1;NA;NA;1.68;2.14;0.65
78;FALSE;44;1;0;NA;NA;1.6;0.92;0.85
79;FALSE;30;6;1;19;NA;0.48;0.35;0.61
80;FALSE;56;1;2;NA;NA;0.81;1.68;0.6
81;FALSE;157;6;1;16;NA;1.51;1.3;0.44
82;FALSE;27;5;2;NA;5;1.02;1.08;0.48
83;FALSE;110;2;2;NA;NA;0.31;1.61;0.65
84;FALSE;29;4;1;NA;NA;0.46;1.32;0.77
85;FALSE;88;1;1;NA;NA;1.81;0.32;0.8
86;FALSE;101;0;0;NA;NA;0.3;0.92;0.71
87;FALSE;10;0;0;NA;NA;0.24;1.37;0.29
88;FALSE;105;0;2;NA;NA;1.66;1.8;0.78
89;FALSE;128;5;0;NA;9;0.34;1.49;0.29
90;FALSE;132;1;0;NA;NA;0.91;0.53;0.35
91;FALSE;54;3;0;NA;NA;1.71;0.01;0.66
92;FALSE;101;4;2;NA;NA;2.1;1.08;0.65
93;FALSE;18;1;0;NA;NA;2.26;0.94;0.87
94;FALSE;200;5;0;NA;2;1.28;0.77;0.74
95;FALSE;178;5;1;NA;6;0.2;1.61;0.33
96;FALSE;176;5;0;NA;9;0.7;1.57;0.4
97;FALSE;23;0;0;NA;NA;1.07;0.09;0.81
98;FALSE;153;2;0;NA;NA;0.59;0.63;0.89
99;TRUE;65;4;0;NA;NA;2.27;1.21;0.59
100;FALSE;42;6;1;15;NA;1.66;1.2;0.43
101;TRUE;55;4;0;NA;NA;1.01;1.97;0.71
102;FALSE;77;3;0;NA;NA;1.95;2;0.45
103;FALSE;47;2;2;NA;NA;0.74;0.42;0.45
104;FALSE;105;1;2;NA;NA;1.62;0.79;0.2
105;FALSE;18;3;0;NA;NA;1.06;1.8;0.89
106;FALSE;51;4;1;NA;NA;0.78;1.38;0.74
107;FALSE;160;4;0;NA;NA;1.22;0.64;0.72
108;FALSE;129;5;1;NA;7;0.16;1.98;0.06
109;FALSE;95;3;1;NA;NA;1.84;1;0.83
110;FALSE;36;4;0;NA;NA;1.39;2.48;0.56
111;FALSE;127;3;1;NA;NA;1.02;1.74;0.29
112;FALSE;25;4;1;NA;NA;1.44;0.56;0.79
113;FALSE;89;5;2;NA;5;1.3;1.45;0.49
114;TRUE;6;2;2;NA;NA;1.54;1.35;0.6
115;FALSE;98;4;0;NA;NA;0.28;1.2;0.72
116;FALSE;25;3;1;NA;NA;0.63;1.25;0.6
117;FALSE;60;2;0;NA;NA;1.99;0.83;0.74
118;FALSE;24;1;0;NA;NA;1.78;2.27;0.84
119;TRUE;59;4;2;NA;NA;1.34;1.08;0.63
120;FALSE;112;5;0;NA;6;0.31;2.12;0.43
121;FALSE;127;6;1;14;NA;1.7;1.13;0.44
122;FALSE;34;3;2;NA;NA;1.75;0.38;0.6
123;FALSE;191;0;0;NA;NA;1.09;1.81;0.77
124;FALSE;123;6;1;6;NA;0.23;1.62;0.48
125;FALSE;93;2;0;NA;NA;1.57;1.93;0.25
