CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;190;0;2;NA;NA;0.67;1.65;0.27
2;FALSE;FALSE;90;3;0;NA;NA;1.92;0.4;0.72
3;FALSE;FALSE;40;2;1;NA;NA;1.29;2.28;0.5
4;FALSE;FALSE;140;5;0;NA;7;0.04;1.03;0.05
5;FALSE;FALSE;165;4;2;NA;NA;0.36;0.09;0.83
6;FALSE;FALSE;65;1;0;NA;NA;1.61;1.34;0.38
7;FALSE;FALSE;115;3;1;NA;NA;0.98;1.97;0.61
8;FALSE;FALSE;3;0;1;NA;NA;2.07;1.5;0.44
9;FALSE;FALSE;103;3;2;NA;NA;0.82;0.25;0.89
10;TRUE;FALSE;152;1;0;NA;NA;0.2;2.12;0.66
11;FALSE;FALSE;53;5;2;NA;9;1.45;0.87;0.21
12;FALSE;FALSE;78;2;2;NA;NA;2.39;2.44;0.55
13;FALSE;FALSE;177;6;1;12;NA;1.14;1.19;0.1
14;FALSE;FALSE;28;4;0;NA;NA;1.76;0.56;0.78
15;FALSE;FALSE;127;0;1;NA;NA;0.51;1.81;0.33
16;TRUE;FALSE;196;4;0;NA;NA;1.37;2.36;0.69
17;FALSE;FALSE;96;0;1;NA;NA;0.12;1.11;0.24
18;FALSE;FALSE;146;2;2;NA;NA;2;0.48;0.47
19;FALSE;FALSE;47;5;1;NA;9;0.75;1.73;0.02
20;FALSE;FALSE;72;5;2;NA;6;1.06;2.05;0.8
21;FALSE;FALSE;171;1;0;NA;NA;2.31;0.8;0.35
22;FALSE;FALSE;22;3;0;NA;NA;0.43;0.17;0.58
23;FALSE;FALSE;121;6;1;7;NA;1.68;1.42;0.13
24;FALSE;FALSE;159;5;2;NA;8;2.15;1.26;0.19
25;FALSE;FALSE;59;2;1;NA;NA;0.9;0.01;0.64
26;FALSE;FALSE;9;3;1;NA;NA;0.28;1.89;0.86
27;FALSE;FALSE;109;0;0;NA;NA;1.53;0.64;0.41
28;FALSE;FALSE;34;1;2;NA;NA;1.22;0.95;0.3
29;TRUE;FALSE;134;4;1;NA;NA;2.47;2.2;0.75
30;FALSE;FALSE;84;6;0;4;NA;0.59;1.58;0.07
31;FALSE;FALSE;183;2;2;NA;NA;1.84;0.33;0.52
32;TRUE;FALSE;187;4;2;NA;NA;1.49;1.77;0.62
33;FALSE;FALSE;87;1;1;NA;NA;0.24;0.52;0.17
34;FALSE;FALSE;137;2;0;NA;NA;2.11;1.15;0.85
35;FALSE;FALSE;112;5;0;NA;3;1.8;2.08;0.28
36;FALSE;FALSE;12;1;2;NA;NA;0.55;0.83;0.73
37;FALSE;FALSE;62;3;0;NA;NA;1.18;1.46;0.51
38;FALSE;FALSE;162;0;1;NA;NA;2.43;0.21;0.06
39;FALSE;FALSE;75;3;1;NA;NA;0.71;0.68;0.68
40;FALSE;FALSE;174;6;0;12;NA;1.96;1.93;0.23
41;FALSE;FALSE;124;1;2;NA;NA;1.33;0.05;0
42;FALSE;FALSE;25;4;1;NA;NA;0.08;1.3;0.45
43;FALSE;FALSE;100;5;2;NA;6;0.4;2.24;0.34
44;FALSE;FALSE;199;2;1;NA;NA;1.65;0.99;0.79
45;FALSE;FALSE;149;4;2;NA;NA;2.27;1.62;0.57
46;FALSE;FALSE;50;0;0;NA;NA;1.02;0.37;0.12
47;FALSE;FALSE;93;2;0;NA;NA;2.19;1.85;0.82
48;FALSE;FALSE;193;6;1;10;NA;0.94;0.6;0.37
49;FALSE;FALSE;143;0;0;NA;NA;0.32;2.47;0.14
50;FALSE;FALSE;44;4;2;NA;NA;1.57;1.22;0.59
51;FALSE;FALSE;68;6;1;20;NA;1.25;0.29;0.26
52;FALSE;FALSE;168;3;2;NA;NA;0;1.54;0.71
53;FALSE;FALSE;118;5;0;NA;5;0.63;0.91;0.48
54;FALSE;FALSE;19;1;2;NA;NA;1.88;2.16;0.03
55;FALSE;FALSE;31;2;0;NA;NA;1.41;1.69;0.88
