CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;137;0;1;NA;NA;0.5;0.82;0.42
2;FALSE;FALSE;37;4;2;NA;NA;1.75;2.07;0.87
3;FALSE;FALSE;186;5;1;NA;7;1.12;1.45;0.19
4;FALSE;FALSE;87;2;0;NA;NA;2.37;0.2;0.64
5;FALSE;FALSE;62;6;1;5;NA;1.43;1.76;0.08
6;FALSE;FALSE;162;3;2;NA;NA;0.18;0.51;0.53
7;FALSE;FALSE;112;5;0;NA;9;0.81;2.38;0.75
8;TRUE;FALSE;12;1;2;NA;NA;2.06;1.13;0.3
9;FALSE;FALSE;74;0;2;NA;NA;1.59;0.98;0.25
10;FALSE;FALSE;174;3;1;NA;NA;0.34;2.23;0.7
11;FALSE;FALSE;124;2;1;NA;NA;0.96;0.35;0.47
12;FALSE;FALSE;25;5;0;NA;10;2.21;1.6;0.02
13;FALSE;FALSE;199;1;0;NA;NA;0.65;0.67;0.36
14;TRUE;FALSE;99;4;1;NA;NA;1.9;1.92;0.81
15;FALSE;FALSE;50;2;0;NA;NA;1.28;0.04;0.58
16;FALSE;FALSE;180;2;1;NA;NA;1.82;1.99;0.67
17;FALSE;FALSE;81;5;2;NA;9;0.57;0.74;0.22
18;FALSE;FALSE;31;0;0;NA;NA;1.2;1.37;0.44
19;FALSE;FALSE;130;4;2;NA;NA;2.45;0.12;0.89
20;FALSE;FALSE;155;6;0;11;NA;2.14;1.06;0.11
21;FALSE;FALSE;56;3;1;NA;NA;0.89;2.31;0.56
22;FALSE;FALSE;6;4;0;NA;NA;0.26;0.43;0.78
23;FALSE;FALSE;106;1;2;NA;NA;1.51;1.68;0.33
24;FALSE;FALSE;118;5;0;NA;6;1.67;1.21;0.05
25;FALSE;FALSE;19;1;2;NA;NA;0.42;2.46;0.5
26;FALSE;FALSE;68;3;0;NA;NA;1.04;0.59;0.72
27;FALSE;FALSE;168;0;1;NA;NA;2.29;1.84;0.27
28;FALSE;FALSE;93;0;1;NA;NA;0.11;1.52;0.39
29;FALSE;FALSE;193;4;2;NA;NA;1.36;0.27;0.84
30;FALSE;FALSE;43;6;1;9;NA;0.73;0.9;0.16
31;FALSE;FALSE;143;2;0;NA;NA;1.98;2.15;0.61
32;FALSE;FALSE;3;3;0;NA;NA;0.61;1.8;0.88
33;FALSE;FALSE;102;6;1;18;NA;1.86;0.55;0.43
34;FALSE;FALSE;152;1;0;NA;NA;2.49;2.42;0.2
