CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;19.3287592052585;23689.3279656207;7;36;255.285714285714;0.0864197530864197;0.650486399128041;31.8815631979297;36888.0928948455;36;255.285714285714;0.0864197530864197;0.650486399128041
2;0.679326607545188;69269.0973018987;7;14;204.428571428571;0.028322440087146;0.528943962803805;19.2977531441012;3733.09526040617;14;204.428571428571;0.028322440087146;0.528943962803805
3;0.311332254324445;28399.917816581;7;96;244.142857142857;0.234567901234568;0.626889962098358;40.5306552656671;38178.2245197031;96;244.142857142857;0.234567901234568;0.626889962098358
4;168.239268728784;1709358156.59233;5;241;355.6;0.689655172413793;0.880909083018506;36.9766670283805;6095342.68931548;241;355.6;0.689655172413793;0.880909083018506
5;0.264370092562573;34313.4189355112;7;15;206.857142857143;0.0333333333333333;0.530122608179004;13.3745662442093;30973.928097612;15;206.857142857143;0.0333333333333333;0.530122608179004
6;0.419671597203386;22866.2318640835;7;117;198.285714285714;0.252723311546841;0.509919763429103;10.7353841919759;13362.6390165813;117;198.285714285714;0.252723311546841;0.509919763429103
7;146.824271133247;838694078.90804;5;327;357.4;0.75599128540305;0.896379195104962;37.3212319996101;3013079.9203355;327;357.4;0.75599128540305;0.896379195104962
8;64.6772714204588;37592.9598034671;5;73;284.2;0.177777777777778;0.717017819250054;40.104935103116;60822.9929066248;73;284.2;0.177777777777778;0.717017819250054
9;18.8763637750203;50178.4778956232;5;122;283.8;0.298765432098765;0.706729041050082;19.5719030650933;86837.3375465765;122;283.8;0.298765432098765;0.706729041050082
10;51.738465157338;20100.4712860203;7;7;255;0.0148148148148148;0.652011881795618;35.9117758012883;34918.2604512591;7;255;0.0148148148148148;0.652011881795618
11;28.0991114615987;63293.717033269;5;274;320.4;0.748148148148148;0.799547411703831;35.5072603312595;65231.4041863128;274;320.4;0.748148148148148;0.799547411703831
12;20.0744467090502;22835.4910915714;7;47;249.428571428571;0.11358024691358;0.64123967900499;34.3636977140737;31010.6531996125;47;249.428571428571;0.11358024691358;0.64123967900499
13;0.318659127785196;25003.0844070542;7;6;188.285714285714;0.0133333333333333;0.481784077205197;24.2711450040164;22473.3293394826;6;188.285714285714;0.0133333333333333;0.481784077205197
14;21.126456208711;33985.2488009776;5;12;272.8;0.0271604938271605;0.686869643069002;42.729707139037;61896.3213650671;12;272.8;0.0271604938271605;0.686869643069002
15;0.304129583772346;30029.3369555162;9;11;124;0.0266666666666667;0.374224287981375;7.66461331981208;11262.8752918511;11;124;0.0266666666666667;0.374224287981375
16;173.434865718757;258868380.759659;5;270;328.8;0.620915032679739;0.824016200789719;36.1854521472534;973001.652289717;270;328.8;0.620915032679739;0.824016200789719
17;0.283527148585985;26467.7447283354;7;8;163.428571428571;0.0186666666666667;0.416665606677736;25.2597053623029;27202.2105148941;8;163.428571428571;0.0186666666666667;0.416665606677736
18;0.285517789475454;41396.8980031299;7;52;247.857142857143;0.121428571428571;0.631079157572205;19.397824180389;65667.1043926654;52;247.857142857143;0.121428571428571;0.631079157572205
19;0.758386771058399;44669.0087563068;7;104;247.428571428571;0.295977011494253;0.617568890638558;22.9083759388853;41015.7734839979;104;247.428571428571;0.295977011494253;0.617568890638558
20;43.1851399256407;50884.4018893795;5;136;317.4;0.333333333333333;0.796624107088976;44.3765053789351;87692.2681554259;136;317.4;0.333333333333333;0.796624107088976
21;0.313820764724219;26868.8531081026;7;138;227.571428571429;0.326190476190476;0.589295567700522;15.9676099686251;17450.5217673957;138;227.571428571429;0.326190476190476;0.589295567700522
22;74.2104003296787;60494.4718883352;5;294;333.4;0.723456790123457;0.83611403550596;35.2093928012175;69306.4644188854;294;333.4;0.723456790123457;0.83611403550596
23;0.316566263464091;30901.4432171521;7;23;162.571428571429;0.0586666666666667;0.400049039367438;19.0912722402029;37691.817600874;23;162.571428571429;0.0586666666666667;0.400049039367438
24;0.895228099162764;23584.7719353918;7;75;197;0.21264367816092;0.494974046264864;11.7902588266033;21542.1179976788;75;197;0.21264367816092;0.494974046264864
25;0.322541982567071;31538.821766913;7;138;188.857142857143;0.365333333333333;0.474866552529351;11.2665042612592;29889.9050475009;138;188.857142857143;0.365333333333333;0.474866552529351
26;108.813317314368;434950141.546456;5;268;347.4;0.751633986928105;0.868909661387743;43.0539663827057;1593970.03057075;268;347.4;0.751633986928105;0.868909661387743
27;0.371610838084827;66372.9611016906;7;41;159.285714285714;0.104575163398693;0.403678281998895;14.1191243987351;8508.45900635301;41;159.285714285714;0.104575163398693;0.403678281998895
28;0.327072832528129;41255.9265033977;5;43;257.2;0.103703703703704;0.650822439647299;42.8064091474704;71088.7966822111;43;257.2;0.103703703703704;0.650822439647299
29;123.830680982788;533775365.468308;5;333;376.8;0.907103825136612;0.94050190450738;38.2242315106817;1999897.13408701;333;376.8;0.907103825136612;0.94050190450738
30;230.867141543439;1166328218.46486;5;323;384.8;0.879781420765027;0.959250301632283;37.1075639063365;4253931.39677805;323;384.8;0.879781420765027;0.959250301632283
31;0.285387737993961;47325.3202712376;5;51;242.2;0.119047619047619;0.617463160043659;32.6121989553492;52991.1902060493;51;242.2;0.119047619047619;0.617463160043659
32;65.1101735474974;45305.5807495249;5;184;280.6;0.451851851851852;0.697678265075266;20.7851066647084;65466.1768217237;184;280.6;0.451851851851852;0.697678265075266
33;0.278152882770769;27674.1902209827;7;31;195.714285714286;0.0714285714285714;0.500825726165935;30.622154217446;29648.214618609;31;195.714285714286;0.0714285714285714;0.500825726165935
34;0.343262091040989;19670.3093789709;9;9;151.888888888889;0.0229885057471264;0.434915271200696;10.918760744246;3459.24481999419;9;151.888888888889;0.0229885057471264;0.434915271200696
